"AID","CID"
"AID96","CID1"
"AID134","CID1"
"AID971","CID1"
"AID1101","CID1"
"AID288","CID2"
"AID289","CID2"
"AID103","CID2"
"AID1100","CID2"
"AID1814","CID2"
"AID43","CID3"
"AID1031","CID3"
"AID1396","CID3"
"AID1423","CID3"
"AID1501","CID3"
"AID454","CID4"
"AID850","CID4"
"AID223","CID5"
"AID455","CID5"
"AID103","CID6"
"AID691","CID6"
"AID772","CID6"
"AID1690","CID6"
"AID404","CID6"
"AID620","CID6"
"AID1660","CID6"
"AID1865","CID6"
"AID1967","CID6"
"AID595","CID7"
"AID630","CID7"
"AID1077","CID7"
"AID1294","CID7"
"AID1447","CID7"
"AID343","CID7"
"AID348","CID7"
"AID1989","CID7"
"AID521","CID8"
"AID1136","CID8"
"AID1679","CID8"
"AID389","CID8"
"AID707","CID8"
"AID594","CID9"
"AID1609","CID9"
"AID1680","CID9"
"AID525","CID11"
"AID906","CID11"
"AID1899","CID11"
"AID1965","CID11"
"AID451","CID12"
"AID1643","CID12"
"AID322","CID13"
"AID825","CID13"
"AID1004","CID13"
"AID681","CID13"
"AID689","CID13"
"AID766","CID13"
"AID1005","CID13"
"AID1849","CID13"
"AID698","CID14"
"AID1007","CID14"
"AID1263","CID14"
"AID978","CID15"
"AID1144","CID15"
"AID1510","CID15"
"AID605","CID16"
"AID1415","CID16"
"AID1686","CID16"
"AID878","CID16"
"AID1236","CID16"
"AID1612","CID16"
"AID1253","CID17"
"AID687","CID18"
"AID1106","CID18"
"AID1219","CID18"
"AID1737","CID18"
"AID615","CID19"
"AID1587","CID19"
"AID1711","CID19"
"AID1928","CID19"
"AID47","CID19"
"AID1780","CID19"
"AID1120","CID20"
"AID1754","CID20"
"AID981","CID20"
"AID1029","CID20"
"AID1047","CID20"
"AID1262","CID20"
"AID3","CID21"
"AID612","CID21"
"AID998","CID21"
"AID1171","CID21"
"AID1481","CID21"
"AID1981","CID21"
"AID43","CID22"
"AID1031","CID22"
"AID1396","CID22"
"AID1423","CID22"
"AID1501","CID22"
"AID1171","CID23"
"AID1387","CID23"
"AID1644","CID23"
"AID13","CID24"
"AID1677","CID24"
"AID115","CID25"
"AID892","CID25"
"AID959","CID25"
"AID1647","CID25"
"AID590","CID26"
"AID661","CID26"
"AID755","CID26"
"AID279","CID27"
"AID450","CID27"
"AID947","CID27"
"AID1806","CID27"
"AID543","CID27"
"AID919","CID27"
"AID1154","CID27"
"AID820","CID28"
"AID1812","CID28"
"AID1923","CID28"
"AID1889","CID29"
"AID409","CID30"
"AID853","CID30"
"AID1215","CID30"
"AID120","CID31"
"AID182","CID31"
"AID549","CID31"
"AID1532","CID31"
"AID910","CID32"
"AID94","CID33"
"AID1616","CID33"
"AID1970","CID33"
"AID516","CID33"
"AID813","CID33"
"AID1080","CID33"
"AID1167","CID33"
"AID709","CID34"
"AID935","CID34"
"AID1003","CID34"
"AID1225","CID34"
"AID1904","CID34"
"AID30","CID35"
"AID104","CID35"
"AID207","CID35"
"AID557","CID35"
"AID574","CID35"
"AID792","CID35"
"AID1241","CID35"
"AID1336","CID35"
"AID1648","CID35"
"AID131","CID36"
"AID1098","CID36"
"AID232","CID36"
"AID1064","CID36"
"AID203","CID37"
"AID667","CID37"
"AID1847","CID37"
"AID1915","CID37"
"AID201","CID37"
"AID1003","CID37"
"AID1033","CID37"
"AID1536","CID37"
"AID666","CID38"
"AID780","CID38"
"AID848","CID38"
"AID1626","CID38"
"AID1798","CID38"
"AID378","CID38"
"AID1048","CID38"
"AID1260","CID38"
"AID1357","CID38"
"AID856","CID39"
"AID1247","CID39"
"AID1892","CID39"
