"BID","DID"
"BID1061","DID112"
"BID1779","DID112"
"BID215","DID112"
"BID383","DID112"
"BID538","DID112"
"BID905","DID112"
"BID1061","DID215"
"BID1779","DID215"
"BID215","DID215"
"BID383","DID215"
"BID538","DID215"
"BID905","DID215"
"BID1061","DID233"
"BID1779","DID233"
"BID215","DID233"
"BID383","DID233"
"BID538","DID233"
"BID905","DID233"
"BID1061","DID38"
"BID1779","DID38"
"BID215","DID38"
"BID383","DID38"
"BID538","DID38"
"BID905","DID38"
"BID1061","DID581"
"BID1779","DID581"
"BID215","DID581"
"BID383","DID581"
"BID538","DID581"
"BID905","DID581"
"BID1061","DID849"
"BID1779","DID849"
"BID215","DID849"
"BID383","DID849"
"BID538","DID849"
"BID905","DID849"
"BID1056","DID221"
"BID1131","DID221"
"BID1439","DID221"
"BID1447","DID221"
"BID1661","DID221"
"BID348","DID221"
"BID1056","DID292"
"BID1131","DID292"
"BID1439","DID292"
"BID1447","DID292"
"BID1661","DID292"
"BID348","DID292"
"BID1056","DID497"
"BID1131","DID497"
"BID1439","DID497"
"BID1447","DID497"
"BID1661","DID497"
"BID348","DID497"
"BID1056","DID726"
"BID1131","DID726"
"BID1439","DID726"
"BID1447","DID726"
"BID1661","DID726"
"BID348","DID726"
"BID1056","DID801"
"BID1131","DID801"
"BID1439","DID801"
"BID1447","DID801"
"BID1661","DID801"
"BID348","DID801"
"BID1056","DID985"
"BID1131","DID985"
"BID1439","DID985"
"BID1447","DID985"
"BID1661","DID985"
"BID348","DID985"
"BID1150","DID200"
"BID1557","DID200"
"BID1859","DID200"
"BID705","DID200"
"BID794","DID200"
"BID909","DID200"
"BID1150","DID372"
"BID1557","DID372"
"BID1859","DID372"
"BID705","DID372"
"BID794","DID372"
"BID909","DID372"
"BID1150","DID73"
"BID1557","DID73"
"BID1859","DID73"
"BID705","DID73"
"BID794","DID73"
"BID909","DID73"
"BID1150","DID822"
"BID1557","DID822"
"BID1859","DID822"
"BID705","DID822"
"BID794","DID822"
"BID909","DID822"
"BID1150","DID840"
"BID1557","DID840"
"BID1859","DID840"
"BID705","DID840"
"BID794","DID840"
"BID909","DID840"
"BID1150","DID949"
"BID1557","DID949"
"BID1859","DID949"
"BID705","DID949"
"BID794","DID949"
"BID909","DID949"
"BID1099","DID507"
"BID1598","DID507"
"BID1690","DID507"
"BID173","DID507"
"BID28","DID507"
"BID296","DID507"
"BID1099","DID741"
"BID1598","DID741"
"BID1690","DID741"
"BID173","DID741"
"BID28","DID741"
"BID296","DID741"
"BID1099","DID799"
"BID1598","DID799"
"BID1690","DID799"
"BID173","DID799"
"BID28","DID799"
"BID296","DID799"
"BID1099","DID8"
"BID1598","DID8"
"BID1690","DID8"
"BID173","DID8"
"BID28","DID8"
"BID296","DID8"
"BID1099","DID897"
"BID1598","DID897"
"BID1690","DID897"
"BID173","DID897"
"BID28","DID897"
"BID296","DID897"
"BID1099","DID957"
"BID1598","DID957"
"BID1690","DID957"
"BID173","DID957"
"BID28","DID957"
"BID296","DID957"
"BID1006","DID231"
"BID1293","DID231"
"BID1915","DID231"
"BID1984","DID231"
"BID608","DID231"
"BID709","DID231"
"BID1006","DID322"
"BID1293","DID322"
"BID1915","DID322"
"BID1984","DID322"
"BID608","DID322"
"BID709","DID322"
"BID1006","DID367"
"BID1293","DID367"
"BID1915","DID367"
"BID1984","DID367"
"BID608","DID367"
"BID709","DID367"
"BID1006","DID448"
"BID1293","DID448"
"BID1915","DID448"
"BID1984","DID448"
"BID608","DID448"
"BID709","DID448"
"BID1006","DID628"
"BID1293","DID628"
"BID1915","DID628"
"BID1984","DID628"
"BID608","DID628"
"BID709","DID628"
"BID1006","DID85"
"BID1293","DID85"
"BID1915","DID85"
"BID1984","DID85"
"BID608","DID85"
"BID709","DID85"
"BID1104","DID107"
"BID1463","DID107"
"BID1796","DID107"
"BID1870","DID107"
"BID361","DID107"
"BID724","DID107"
"BID1104","DID364"
"BID1463","DID364"
"BID1796","DID364"
"BID1870","DID364"
"BID361","DID364"
"BID724","DID364"
"BID1104","DID447"
"BID1463","DID447"
"BID1796","DID447"
"BID1870","DID447"
"BID361","DID447"
"BID724","DID447"
"BID1104","DID725"
"BID1463","DID725"
"BID1796","DID725"
"BID1870","DID725"
"BID361","DID725"
"BID724","DID725"
"BID1104","DID926"
"BID1463","DID926"
"BID1796","DID926"
"BID1870","DID926"
"BID361","DID926"
"BID724","DID926"
"BID1104","DID989"
"BID1463","DID989"
"BID1796","DID989"
"BID1870","DID989"
"BID361","DID989"
"BID724","DID989"
"BID1079","DID166"
"BID1320","DID166"
"BID1345","DID166"
"BID1720","DID166"
"BID414","DID166"
"BID835","DID166"
"BID1079","DID186"
"BID1320","DID186"
"BID1345","DID186"
"BID1720","DID186"
"BID414","DID186"
"BID835","DID186"
"BID1079","DID204"
"BID1320","DID204"
"BID1345","DID204"
"BID1720","DID204"
"BID414","DID204"
"BID835","DID204"
"BID1079","DID374"
"BID1320","DID374"
"BID1345","DID374"
"BID1720","DID374"
"BID414","DID374"
