AID,BID
AID1,BID536
AID1,BID586
AID1,BID844
AID2,BID740
AID2,BID845
AID2,BID924
AID3,BID400
AID3,BID699
AID3,BID880
AID4,BID138
AID4,BID389
AID4,BID740
AID5,BID33
AID5,BID572
AID5,BID843
AID6,BID379
AID6,BID514
AID6,BID846
AID7,BID390
AID7,BID788
AID7,BID875
AID8,BID164
AID8,BID502
AID8,BID776
AID9,BID711
AID9,BID715
AID9,BID779
AID10,BID429
AID10,BID677
AID10,BID773
AID11,BID517
AID11,BID546
AID11,BID986
AID12,BID152
AID12,BID184
AID12,BID84
AID13,BID252
AID13,BID842
AID13,BID90
AID14,BID108
AID14,BID490
AID14,BID731
AID15,BID415
AID15,BID770
AID15,BID875
AID16,BID194
AID16,BID474
AID16,BID703
AID17,BID2
AID17,BID415
AID17,BID828
AID18,BID286
AID18,BID351
AID18,BID383
AID19,BID253
AID19,BID830
AID19,BID927
AID20,BID261
AID20,BID373
AID20,BID377
AID21,BID296
AID21,BID503
AID21,BID62
AID22,BID2
AID22,BID861
AID22,BID969
AID23,BID164
AID23,BID938
AID23,BID964
AID24,BID191
AID24,BID284
AID24,BID726
AID25,BID132
AID25,BID307
AID25,BID327
AID26,BID147
AID26,BID73
AID26,BID772
AID27,BID291
AID27,BID396
AID27,BID895
AID28,BID479
AID28,BID614
AID28,BID675
AID29,BID206
AID29,BID885
AID29,BID941
AID30,BID239
AID30,BID369
AID30,BID749
AID31,BID306
AID31,BID591
AID31,BID950
AID32,BID471
AID32,BID922
AID32,BID98
AID33,BID160
AID33,BID882
AID33,BID918
AID34,BID161
AID34,BID223
AID34,BID680
AID35,BID2
AID35,BID851
AID35,BID973
AID36,BID229
AID36,BID548
AID36,BID777
AID37,BID300
AID37,BID383
AID37,BID439
AID38,BID310
AID38,BID351
AID38,BID913
AID39,BID30
AID39,BID448
AID39,BID833
AID40,BID252
AID40,BID808
AID40,BID975
AID41,BID336
AID41,BID59
AID41,BID934
AID42,BID395
AID42,BID49
AID42,BID62
AID43,BID13
AID43,BID328
AID43,BID875
AID44,BID478
AID44,BID497
AID44,BID749
AID45,BID469
AID45,BID483
AID45,BID698
AID46,BID267
AID46,BID55
AID46,BID913
AID47,BID292
AID47,BID735
AID47,BID801
AID48,BID361
AID48,BID583
AID48,BID685
AID49,BID748
AID49,BID849
AID49,BID935
AID50,BID169
AID50,BID29
AID50,BID704
AID51,BID239
AID51,BID375
AID51,BID561
AID52,BID281
AID52,BID306
AID52,BID74
AID53,BID305
AID53,BID695
AID53,BID77
AID54,BID669
AID54,BID676
AID54,BID750
AID55,BID594
AID55,BID697
AID55,BID762
AID56,BID421
AID56,BID609
AID56,BID610
AID57,BID169
AID57,BID39
AID57,BID863
AID58,BID14
AID58,BID461
AID58,BID554
AID59,BID618
AID59,BID919
AID59,BID958
AID60,BID229
AID60,BID376
AID60,BID532
AID61,BID68
AID61,BID76
AID61,BID986
AID62,BID256
AID62,BID312
AID62,BID424
AID63,BID176
AID63,BID237
AID63,BID699
AID64,BID736
AID64,BID772
AID64,BID796
AID65,BID203
AID65,BID458
AID65,BID667
AID66,BID572
AID66,BID908
AID66,BID948
AID67,BID297
AID67,BID834
AID67,BID844
AID68,BID598
AID68,BID898
AID68,BID917
AID69,BID103
AID69,BID687
AID69,BID87
AID70,BID356
AID70,BID63
AID70,BID992
AID71,BID126
AID71,BID411
AID71,BID491
AID72,BID582
AID72,BID766
AID72,BID808
AID73,BID264
AID73,BID370
AID73,BID612
AID74,BID255
