AID,BID
AID1,BID1723
AID1,BID402
AID1,BID638
AID2,BID1331
AID2,BID1765
AID2,BID376
AID3,BID1435
AID3,BID1940
AID3,BID391
AID4,BID1478
AID4,BID1901
AID4,BID621
AID5,BID1035
AID5,BID1367
AID5,BID1517
AID6,BID1912
AID6,BID717
AID6,BID887
AID7,BID1128
AID7,BID1206
AID7,BID816
AID8,BID1770
AID8,BID1784
AID8,BID571
AID9,BID1643
AID9,BID1690
AID9,BID188
AID10,BID1234
AID10,BID1620
AID10,BID547
AID11,BID1196
AID11,BID1617
AID11,BID1638
AID12,BID1008
AID12,BID1395
AID12,BID1541
AID13,BID1601
AID13,BID1928
AID13,BID766
AID14,BID1162
AID14,BID202
AID14,BID921
AID15,BID110
AID15,BID1210
AID15,BID576
AID16,BID1061
AID16,BID1586
AID16,BID404
AID17,BID1223
AID17,BID344
AID17,BID504
AID18,BID1761
AID18,BID477
AID18,BID640
AID19,BID453
AID19,BID751
AID19,BID9
AID20,BID1291
AID20,BID1700
AID20,BID1876
AID21,BID296
AID21,BID784
AID21,BID956
AID22,BID1735
AID22,BID1888
AID22,BID973
AID23,BID1104
AID23,BID294
AID23,BID846
AID24,BID1878
AID24,BID1982
AID24,BID361
AID25,BID1171
AID25,BID142
AID25,BID1629
AID26,BID1390
AID26,BID1499
AID26,BID273
AID27,BID1403
AID27,BID1519
AID27,BID58
AID28,BID1126
AID28,BID168
AID28,BID1767
AID29,BID1376
AID29,BID348
AID29,BID512
AID30,BID1036
AID30,BID1504
AID30,BID1714
AID31,BID1222
AID31,BID1974
AID31,BID975
AID32,BID1753
AID32,BID770
AID32,BID894
AID33,BID119
AID33,BID1844
AID33,BID303
AID34,BID335
AID34,BID336
AID34,BID593
AID35,BID1274
AID35,BID292
AID35,BID463
AID36,BID1583
AID36,BID678
AID36,BID912
AID37,BID1194
AID37,BID1675
AID37,BID1821
AID38,BID1396
AID38,BID854
AID38,BID94
AID39,BID1319
AID39,BID1686
AID39,BID1943
AID40,BID1324
AID40,BID1610
AID40,BID773
AID41,BID1185
AID41,BID567
AID41,BID908
AID42,BID1076
AID42,BID1927
AID42,BID305
AID43,BID1366
AID43,BID429
AID43,BID723
AID44,BID1019
AID44,BID519
AID44,BID787
AID45,BID1014
AID45,BID1677
AID45,BID686
AID46,BID159
AID46,BID318
AID46,BID607
AID47,BID130
AID47,BID1694
AID47,BID1987
AID48,BID1281
AID48,BID5
AID48,BID8
AID49,BID1395
AID49,BID225
AID49,BID395
AID50,BID1363
AID50,BID1879
AID50,BID1896
AID51,BID1081
AID51,BID140
AID51,BID622
AID52,BID1390
AID52,BID205
AID52,BID823
AID53,BID1766
AID53,BID1875
AID53,BID218
AID54,BID12
AID54,BID1913
AID54,BID1948
AID55,BID1424
AID55,BID733
AID55,BID763
AID56,BID1312
AID56,BID139
AID56,BID352
AID57,BID1471
AID57,BID757
AID57,BID996
AID58,BID1478
AID58,BID1973
AID58,BID776
AID59,BID1165
AID59,BID1400
AID59,BID973
AID60,BID1498
AID60,BID1876
AID60,BID751
AID61,BID1210
AID61,BID1467
AID61,BID837
AID62,BID1622
AID62,BID1674
AID62,BID171
AID63,BID1283
AID63,BID273
AID63,BID776
AID64,BID1074
AID64,BID830
AID64,BID995
AID65,BID107
AID65,BID1191
AID65,BID797
AID66,BID1589
AID66,BID1831
AID66,BID746
AID67,BID1553
AID67,BID1749
AID67,BID52
AID68,BID1072
AID68,BID1256
AID68,BID643
AID69,BID1704
AID69,BID1746
AID69,BID1892
AID70,BID1132
AID70,BID52
AID70,BID805
AID71,BID1919
AID71,BID1978
AID71,BID841
AID72,BID1234
AID72,BID1572
AID72,BID592
AID73,BID1390
AID73,BID1842
AID73,BID43
AID74,BID1731
AID74,BID36
AID74,BID734
AID75,BID1211
AID75,BID1889
AID75,BID312
AID76,BID1112
AID76,BID314
AID76,BID73
AID77,BID316
AID77,BID499
AID77,BID600
AID78,BID115
AID78,BID1171
AID78,BID1382
AID79,BID1296
AID79,BID1815
AID79,BID347
AID80,BID1379
AID80,BID1539
AID80,BID342
AID81,BID140
AID81,BID664
AID81,BID995
AID82,BID574
AID82,BID707
AID82,BID847
AID83,BID1880
AID83,BID789
AID83,BID974
AID84,BID1894
AID84,BID225
AID84,BID443
AID85,BID1651
AID85,BID1903
AID85,BID944
AID86,BID1699
AID86,BID231
AID86,BID877
AID87,BID1070
AID87,BID1158
AID87,BID1970
AID88,BID1315
AID88,BID1624
AID88,BID540
AID89,BID1471
AID89,BID1922
AID89,BID92
AID90,BID239
AID90,BID491
AID90,BID602
AID91,BID393
AID91,BID726
AID91,BID787
AID92,BID1135
AID92,BID375
AID92,BID927
AID93,BID140
AID93,BID1775
AID93,BID426
AID94,BID1354
AID94,BID136
AID94,BID1541
AID95,BID1274
AID95,BID1816
AID95,BID572
AID96,BID234
AID96,BID58
AID96,BID752
AID97,BID1732
AID97,BID252
AID97,BID680
AID98,BID155
AID98,BID670
AID98,BID910
AID99,BID1489
AID99,BID1943
AID99,BID315
AID100,BID1137
AID100,BID1593
AID100,BID983
AID101,BID1653
AID101,BID240
AID101,BID333
AID102,BID826
AID102,BID850
AID102,BID958
AID103,BID1173
AID103,BID1325
AID103,BID318
AID104,BID1252
AID104,BID3
AID104,BID500
AID105,BID1765
AID105,BID289
AID105,BID356
AID106,BID1505
AID106,BID400
AID106,BID652
AID107,BID1075
AID107,BID1542
AID107,BID162
AID108,BID1039
AID108,BID1812
AID108,BID226
AID109,BID1053
AID109,BID1902
AID109,BID952
AID110,BID21
AID110,BID307
AID110,BID919
AID111,BID1648
AID111,BID45
AID111,BID520
AID112,BID1003
AID112,BID1477
AID112,BID94
AID113,BID1029
AID113,BID1692
AID113,BID733
AID114,BID1067
AID114,BID415
AID114,BID750
AID115,BID575
AID115,BID861
AID115,BID884
AID116,BID5
AID116,BID718
AID116,BID815
AID117,BID1094
AID117,BID1259
AID117,BID425
AID118,BID1092
AID118,BID1410
AID118,BID1588
AID119,BID1590
AID119,BID205
AID119,BID391
AID120,BID1849
AID120,BID1859
AID120,BID643
AID121,BID1570
AID121,BID192
AID121,BID1958
AID122,BID129
AID122,BID1369
AID122,BID931
AID123,BID1552
AID123,BID1991
AID123,BID812
AID124,BID143
AID124,BID319
AID124,BID714
AID125,BID202
AID125,BID597
AID125,BID613
AID126,BID1735
AID126,BID449
AID126,BID615
AID127,BID1036
AID127,BID1427
AID127,BID51
AID128,BID1486
AID128,BID32
AID128,BID43
