DID,CID
DID1,CID5653
DID1,CID5760
DID1,CID7627
DID1,CID8418
DID2,CID4759
DID2,CID6146
DID2,CID7912
DID2,CID8037
DID3,CID4754
DID3,CID5888
DID3,CID6819
DID4,CID5354
DID5,CID1015
DID5,CID6685
DID6,CID1867
DID6,CID328
DID6,CID3485
DID6,CID5973
DID6,CID692
DID7,CID4526
DID7,CID4903
DID7,CID5448
DID8,CID6838
DID9,CID5852
DID10,CID7170
DID11,CID1455
DID11,CID5096
DID11,CID6561
DID11,CID6953
DID12,CID4423
DID12,CID4653
DID12,CID6876
DID12,CID7127
DID13,CID5023
DID14,CID1742
DID14,CID2371
DID14,CID4364
DID14,CID5279
DID14,CID6802
DID15,CID17
DID15,CID3959
DID15,CID702
DID15,CID8365
DID16,CID1942
DID16,CID954
DID17,CID2735
DID17,CID4985
DID17,CID8169
DID18,CID7726
DID18,CID8152
DID18,CID8177
DID18,CID8517
DID19,CID2287
DID19,CID3474
DID19,CID6070
DID20,CID6295
DID21,CID8260
DID21,CID8498
DID22,CID5594
DID22,CID7565
DID23,CID8762
DID24,CID5372
DID24,CID5412
DID24,CID6118
DID24,CID7325
DID25,CID1845
DID25,CID3323
DID25,CID7436
DID26,CID4615
DID26,CID5769
DID27,CID2413
DID27,CID2566
DID27,CID670
DID27,CID75
DID27,CID8895
DID28,CID1617
DID28,CID3525
DID28,CID4334
DID28,CID5983
DID28,CID6429
DID29,CID1113
DID29,CID5022
DID29,CID6033
DID30,CID1546
DID30,CID2430
DID30,CID5988
DID30,CID7096
DID30,CID7777
DID31,CID1018
DID31,CID3989
DID31,CID5890
DID31,CID7233
DID31,CID7738
DID32,CID5213
DID32,CID5764
DID32,CID6898
DID32,CID7188
DID33,CID2018
DID33,CID587
DID33,CID656
DID33,CID6975
DID34,CID5626
DID35,CID1569
DID35,CID3993
DID35,CID4852
DID35,CID5124
DID35,CID5659
DID36,CID3279
DID36,CID3684
DID37,CID3437
DID37,CID3629
DID37,CID6341
DID38,CID5291
DID38,CID7524
DID38,CID8146
DID38,CID993
DID39,CID1343
DID39,CID427
DID39,CID5179
DID40,CID2346
DID40,CID5757
DID40,CID5844
DID40,CID6669
DID40,CID8468
DID41,CID3808
DID41,CID3896
DID41,CID5742
DID41,CID7944
DID42,CID1288
DID42,CID6375
DID43,CID1217
DID43,CID6524
DID44,CID6700
DID45,CID2256
DID45,CID3613
DID45,CID3891
DID45,CID4457
DID46,CID3734
DID46,CID7156
DID47,CID3949
DID47,CID5054
DID47,CID5276
DID47,CID5786
DID47,CID8615
DID48,CID7117
DID48,CID715
DID49,CID4935
DID49,CID6169
DID50,CID4311
DID51,CID1846
DID52,CID3633
DID53,CID7325
DID54,CID4000
DID54,CID7697
DID54,CID7868
DID54,CID8882
DID55,CID2877
DID55,CID4428
DID55,CID7396
DID55,CID7674
DID56,CID2151
DID56,CID2531
DID56,CID265
DID56,CID5278
DID57,CID2009
DID57,CID3577
DID57,CID3914
DID58,CID2393
DID58,CID4312
DID59,CID3072
DID59,CID3610
DID59,CID955
DID60,CID1347
DID60,CID3207
DID60,CID4156
DID60,CID682
DID61,CID7154
DID61,CID7547
DID62,CID6328
DID62,CID7382
DID63,CID2481
DID63,CID2649
DID63,CID3966
DID63,CID4183
DID63,CID4413
DID64,CID5945
DID64,CID8190
DID64,CID8678
DID64,CID8992
DID65,CID3418
DID65,CID965
DID66,CID5117
DID67,CID1179
