CID,BID
CID1,BID2073
CID1,BID3021
CID1,BID4911
CID2,BID3681
CID2,BID3685
CID2,BID4300
CID2,BID4769
CID3,BID2536
CID3,BID2754
CID3,BID3103
CID3,BID4410
CID4,BID2577
CID4,BID2744
CID4,BID3919
CID4,BID4818
CID5,BID2427
CID5,BID3426
CID5,BID4955
CID6,BID179
CID6,BID2385
CID6,BID4180
CID6,BID828
CID7,BID1045
CID7,BID2380
CID7,BID3570
CID8,BID1646
CID8,BID3555
CID8,BID459
CID9,BID1192
CID9,BID2804
CID9,BID687
CID10,BID1129
CID10,BID3459
CID11,BID231
CID11,BID3793
CID11,BID4434
CID11,BID522
CID12,BID1116
CID12,BID150
CID12,BID3770
CID12,BID4806
CID13,BID1613
CID13,BID2662
CID13,BID3037
CID13,BID4373
CID14,BID1309
CID14,BID198
CID14,BID565
CID15,BID3081
CID15,BID3139
CID16,BID1077
CID16,BID2401
CID16,BID462
CID16,BID4672
CID17,BID1219
CID17,BID244
CID17,BID3432
CID17,BID4116
CID18,BID235
CID18,BID3163
CID18,BID4042
CID19,BID1885
CID19,BID2270
CID19,BID4407
CID20,BID1008
CID20,BID1153
CID21,BID1319
CID21,BID2410
CID21,BID41
CID22,BID378
CID22,BID3824
CID22,BID4139
CID22,BID624
CID23,BID2
CID23,BID4590
CID24,BID1742
CID24,BID3277
CID24,BID401
CID24,BID4551
CID25,BID1780
CID25,BID208
CID25,BID232
CID25,BID3236
CID26,BID2093
CID26,BID2481
CID26,BID449
CID27,BID2148
CID27,BID2447
CID28,BID2494
CID28,BID4377
CID28,BID4422
CID29,BID1695
CID29,BID2540
CID29,BID3362
CID29,BID3424
CID30,BID1209
CID30,BID3258
CID30,BID4963
CID31,BID3314
CID31,BID4283
CID32,BID1216
CID32,BID1709
CID32,BID3018
CID32,BID3358
CID33,BID1709
CID33,BID2176
CID33,BID255
CID33,BID3748
CID34,BID1163
CID34,BID1275
CID34,BID3567
CID34,BID4284
CID35,BID2225
CID35,BID601
CID36,BID1559
CID36,BID3121
CID36,BID4270
CID36,BID4446
CID37,BID159
CID37,BID2788
CID37,BID3097
CID38,BID1072
CID38,BID2801
CID39,BID266
CID39,BID3464
CID39,BID3688
CID39,BID691
CID40,BID3206
CID40,BID4114
CID41,BID3417
CID41,BID3562
CID42,BID2071
CID42,BID2295
CID42,BID3772
CID43,BID3386
CID43,BID3557
CID43,BID401
CID44,BID2040
CID44,BID2459
CID44,BID3774
CID45,BID3212
CID45,BID3829
CID45,BID4668
CID46,BID1179
CID46,BID1547
CID46,BID2266
CID47,BID1117
CID47,BID2501
CID47,BID2668
CID47,BID4652
CID48,BID1094
CID48,BID2719
CID48,BID3135
CID48,BID3224
CID49,BID1214
CID49,BID3261
CID50,BID1674
CID50,BID24
CID50,BID2621
CID51,BID1760
CID51,BID4023
CID52,BID3869
CID52,BID4509
CID52,BID641
CID53,BID2379
CID53,BID2808
CID53,BID4062
CID53,BID4939
CID54,BID1472
CID54,BID4145
CID55,BID1777
CID55,BID2417
CID56,BID177
CID56,BID2879
CID56,BID673
CID56,BID915
CID57,BID1221
CID57,BID1972
CID58,BID1304
CID58,BID1559
CID59,BID1150
CID59,BID2839
CID60,BID1002
CID60,BID134
CID60,BID2593
CID61,BID4378
CID61,BID600
CID62,BID2860
CID62,BID3500
CID62,BID3619
CID62,BID47
CID63,BID2690
CID63,BID3217
CID63,BID3232
CID63,BID800
CID64,BID1701
CID64,BID4581
CID64,BID482
CID65,BID1537
CID65,BID2423
CID66,BID2632
CID66,BID4650
CID67,BID2938
CID67,BID923
CID68,BID3547
CID68,BID4487
CID69,BID1493
CID69,BID3602
CID69,BID4762
CID70,BID1714
CID70,BID3217
CID70,BID4780
CID71,BID3177
CID71,BID4599
CID72,BID1727
CID72,BID942
CID73,BID1169
CID73,BID2376
CID73,BID4255
CID74,BID1569
CID74,BID3030
CID74,BID472
CID75,BID2420
CID75,BID3262
CID75,BID3418
CID75,BID4630
CID76,BID1415
CID76,BID2158
CID76,BID270
CID77,BID1105
CID77,BID2694
CID77,BID4369
CID77,BID708
CID78,BID2394
CID78,BID3695
CID79,BID2725
CID79,BID3534
CID80,BID3702
