BID,AID
BID1,AID1777
BID2,AID2941
BID2,AID965
BID3,AID3929
BID3,AID3941
BID3,AID700
BID4,AID3956
BID5,AID3531
BID6,AID2779
BID6,AID38
BID7,AID2324
BID7,AID3962
BID8,AID1236
BID8,AID3157
BID8,AID478
BID9,AID104
BID9,AID2780
BID10,AID2130
BID10,AID644
BID11,AID2739
BID11,AID441
BID12,AID2303
BID12,AID238
BID12,AID2684
BID12,AID398
BID13,AID1473
BID13,AID3510
BID14,AID1974
BID14,AID2285
BID14,AID662
BID15,AID1045
BID15,AID2098
BID15,AID3871
BID16,AID1571
BID17,AID2038
BID17,AID2070
BID18,AID1810
BID18,AID2670
BID19,AID145
BID20,AID2414
BID21,AID26
BID22,AID1494
BID22,AID2651
BID23,AID2095
BID23,AID2259
BID23,AID2860
BID23,AID699
BID24,AID1968
BID24,AID3589
BID25,AID909
BID26,AID2763
BID27,AID1531
BID27,AID2714
BID27,AID3236
BID28,AID128
BID29,AID1026
BID30,AID1875
BID31,AID875
BID32,AID3362
BID33,AID179
BID33,AID2607
BID34,AID1288
BID34,AID3241
BID35,AID2019
BID36,AID2481
BID36,AID3272
BID36,AID560
BID37,AID2398
BID37,AID411
BID38,AID651
BID39,AID2331
BID39,AID991
BID40,AID1267
BID41,AID585
BID42,AID808
BID43,AID2257
BID44,AID1395
BID44,AID209
BID45,AID2787
BID46,AID1018
BID47,AID1182
BID48,AID194
BID49,AID3840
BID49,AID3850
BID50,AID1797
BID51,AID3662
BID52,AID3753
BID53,AID3117
BID54,AID2197
BID54,AID3040
BID55,AID209
BID55,AID2932
BID56,AID1068
BID57,AID3161
BID58,AID1006
BID58,AID1291
BID58,AID1324
BID58,AID1516
BID59,AID3220
BID60,AID706
BID61,AID1395
BID61,AID466
BID62,AID1562
BID62,AID3115
BID63,AID101
BID63,AID16
BID64,AID1619
BID64,AID2336
BID64,AID2479
BID64,AID3608
BID65,AID1723
BID65,AID3794
BID66,AID3382
BID66,AID83
BID67,AID2078
BID67,AID3329
BID68,AID2169
BID69,AID3894
BID70,AID115
BID70,AID3608
BID71,AID1448
BID71,AID2816
BID72,AID3010
BID73,AID1071
BID73,AID1761
BID74,AID1641
BID74,AID2376
BID75,AID2540
BID75,AID501
BID76,AID3113
BID77,AID1230
BID77,AID2121
BID78,AID2130
