"AID","CID"
"AID97","CID1"
"AID101","CID1"
"AID137","CID1"
"AID1067","CID1"
"AID227","CID2"
"AID1578","CID2"
"AID2372","CID2"
"AID864","CID2"
"AID1039","CID2"
"AID2492","CID2"
"AID418","CID3"
"AID589","CID3"
"AID643","CID3"
"AID1381","CID3"
"AID1781","CID3"
"AID1776","CID3"
"AID2367","CID3"
"AID1685","CID3"
"AID295","CID4"
"AID1356","CID4"
"AID2618","CID4"
"AID644","CID4"
"AID893","CID5"
"AID2586","CID5"
"AID2992","CID5"
"AID2416","CID5"
"AID49","CID6"
"AID100","CID6"
"AID2728","CID6"
"AID178","CID6"
"AID443","CID6"
"AID2484","CID6"
"AID247","CID7"
"AID2141","CID7"
"AID1623","CID7"
"AID1708","CID7"
"AID1729","CID7"
"AID1811","CID7"
"AID177","CID8"
"AID1540","CID8"
"AID2057","CID8"
"AID2397","CID8"
"AID852","CID8"
"AID1921","CID8"
"AID2400","CID8"
"AID263","CID9"
"AID884","CID9"
"AID1177","CID9"
"AID2706","CID9"
"AID2852","CID9"
"AID870","CID9"
"AID2143","CID10"
"AID1083","CID10"
"AID871","CID10"
"AID1191","CID10"
"AID306","CID11"
"AID661","CID11"
"AID1435","CID11"
"AID2300","CID11"
"AID416","CID12"
"AID1755","CID12"
"AID247","CID12"
"AID1910","CID12"
"AID1813","CID13"
"AID1910","CID13"
"AID1896","CID14"
"AID1360","CID14"
"AID2123","CID14"
"AID1174","CID14"
"AID318","CID15"
"AID472","CID15"
"AID1719","CID15"
"AID2477","CID15"
"AID2790","CID15"
"AID753","CID16"
"AID2760","CID16"
"AID1501","CID16"
"AID1759","CID16"
"AID2144","CID16"
"AID2266","CID16"
"AID464","CID16"
"AID1265","CID16"
"AID2156","CID16"
"AID2861","CID16"
"AID1937","CID17"
"AID1235","CID17"
"AID2616","CID17"
"AID2934","CID17"
"AID132","CID18"
"AID535","CID18"
"AID2237","CID18"
"AID2265","CID18"
"AID2421","CID18"
"AID2893","CID18"
"AID355","CID19"
"AID483","CID19"
"AID720","CID19"
"AID836","CID19"
"AID1452","CID19"
"AID1628","CID19"
"AID2477","CID19"
"AID1362","CID19"
"AID2725","CID19"
