CID,BID
CID1,BID2491
CID1,BID3861
CID2,BID3449
CID2,BID491
CID3,BID1391
CID3,BID1762
CID4,BID3108
CID4,BID3502
CID5,BID3764
CID5,BID879
CID6,BID1857
CID6,BID3605
CID7,BID1096
CID7,BID1936
CID8,BID3492
CID8,BID3496
CID9,BID3267
CID9,BID414
CID10,BID2502
CID10,BID2951
CID11,BID1896
CID11,BID2966
CID12,BID1442
CID12,BID2820
CID13,BID1535
CID13,BID1889
CID14,BID1864
CID14,BID3919
CID15,BID1072
CID15,BID3901
CID16,BID2644
CID16,BID2767
CID17,BID3148
CID17,BID3798
CID18,BID2460
CID18,BID3198
CID19,BID1146
CID19,BID3413
CID20,BID1865
CID20,BID2781
CID21,BID2096
CID21,BID3169
CID22,BID1041
CID22,BID3853
CID23,BID2919
CID23,BID3272
CID24,BID1883
CID24,BID2185
CID25,BID2983
CID25,BID306
CID26,BID2026
CID26,BID3560
CID27,BID1550
CID27,BID587
CID28,BID1128
CID28,BID7
CID29,BID2967
CID29,BID416
CID30,BID3367
CID30,BID3912
CID31,BID1645
CID31,BID305
CID32,BID1773
CID32,BID3383
CID33,BID3532
CID33,BID3718
CID34,BID3666
CID34,BID871
CID35,BID2571
CID35,BID3372
CID36,BID1135
CID36,BID967
CID37,BID2239
CID37,BID908
CID38,BID2076
CID38,BID3807
CID39,BID1903
CID39,BID740
CID40,BID1398
CID40,BID2239
CID41,BID1509
CID41,BID2649
CID42,BID3662
CID42,BID488
CID43,BID238
CID43,BID3616
CID44,BID1701
CID44,BID2268
CID45,BID2441
CID45,BID926
CID46,BID2645
CID46,BID3594
CID47,BID1377
CID47,BID3123
CID48,BID134
CID48,BID2132
CID49,BID2057
CID49,BID2539
CID50,BID3434
CID50,BID3512
CID51,BID3564
CID51,BID573
CID52,BID1129
CID52,BID3341
CID53,BID1265
CID53,BID3828
CID54,BID1584
CID54,BID629
CID55,BID3693
CID55,BID887
CID56,BID2091
CID56,BID2527
CID57,BID1410
CID57,BID3895
CID58,BID1566
CID58,BID541
CID59,BID1210
CID59,BID1866
CID60,BID180
CID60,BID1866
CID61,BID1553
CID61,BID316
CID62,BID1662
CID62,BID793
CID63,BID1142
CID63,BID2386
CID64,BID2993
CID64,BID708
CID65,BID218
CID65,BID486
CID66,BID1997
CID66,BID569
CID67,BID2039
CID67,BID2879
CID68,BID1322
CID68,BID3104
CID69,BID3969
CID69,BID703
CID70,BID1598
CID70,BID3139
CID71,BID2620
CID71,BID2878
CID72,BID2776
CID72,BID3468
CID73,BID3184
CID73,BID3903
CID74,BID1879
CID74,BID3299
CID75,BID211
CID75,BID2938
CID76,BID1278
CID76,BID1876
CID77,BID1541
CID77,BID2768
CID78,BID2243
CID78,BID3379
CID79,BID1765
CID79,BID3401
CID80,BID1447
CID80,BID2439
CID81,BID83
CID81,BID973
CID82,BID2628
CID82,BID3879
CID83,BID1432
CID83,BID2307
CID84,BID1362
CID84,BID3580
CID85,BID1638
CID85,BID201
CID86,BID1507
CID86,BID233
CID87,BID1684
CID87,BID169
CID88,BID2820
CID88,BID723
CID89,BID1605
CID89,BID514
CID90,BID121
CID90,BID2154
CID91,BID100
CID91,BID3257
CID92,BID2770
CID92,BID573
CID93,BID2526
CID93,BID2564
CID94,BID1284
