AID,BID
AID1,BID1056
AID2,BID1570
AID2,BID1779
AID2,BID79
AID3,BID2562
AID3,BID2590
AID3,BID438
AID4,BID1565
AID4,BID2139
AID4,BID2726
AID5,BID1508
AID5,BID196
AID6,BID1952
AID6,BID2804
AID6,BID384
AID7,BID1979
AID7,BID2970
AID7,BID557
AID8,BID1175
AID8,BID624
AID8,BID760
AID9,BID1975
AID10,BID1108
AID10,BID1749
AID11,BID2193
AID11,BID2634
AID12,BID233
AID13,BID1603
AID14,BID365
AID15,BID1071
AID15,BID1276
AID15,BID2842
AID16,BID1079
AID16,BID2517
AID16,BID429
AID17,BID490
AID17,BID630
AID18,BID1957
AID18,BID2474
AID19,BID1739
AID19,BID2498
AID19,BID303
AID20,BID825
AID21,BID2713
AID21,BID878
AID22,BID1444
AID22,BID2294
AID23,BID2943
AID24,BID163
AID24,BID2518
AID24,BID2882
AID25,BID1172
AID25,BID1879
AID26,BID2497
AID27,BID1030
AID27,BID2007
AID27,BID2134
AID28,BID2196
AID28,BID2546
AID29,BID1766
AID30,BID1163
AID30,BID2907
AID31,BID2758
AID32,BID1714
AID32,BID1723
AID32,BID668
AID33,BID2029
AID33,BID2629
AID34,BID132
AID34,BID1695
AID34,BID2495
AID35,BID1131
AID35,BID1839
AID35,BID2679
AID36,BID1631
AID36,BID2352
AID37,BID1805
AID37,BID2175
AID38,BID1060
AID38,BID301
AID39,BID2533
AID39,BID2590
AID39,BID541
AID40,BID780
AID41,BID1640
AID41,BID565
AID41,BID964
AID42,BID1826
AID43,BID848
AID44,BID2252
AID45,BID2469
AID45,BID2733
AID46,BID1201
AID46,BID1391
AID46,BID2500
AID47,BID2058
AID47,BID2664
AID48,BID2191
AID48,BID761
AID49,BID2265
AID50,BID1683
AID50,BID1966
AID50,BID616
AID51,BID2474
AID52,BID2476
AID53,BID1597
AID53,BID2811
AID54,BID2611
AID54,BID326
AID55,BID1972
AID55,BID2538
AID55,BID32
AID56,BID187
AID56,BID2448
AID57,BID2661
AID57,BID982
AID58,BID1525
AID58,BID1801
AID59,BID1227
AID59,BID2719
AID60,BID2316
AID60,BID957
AID61,BID2693
AID62,BID1492
AID62,BID2306
AID62,BID2719
AID63,BID815
AID64,BID69
AID64,BID854
AID65,BID2421
AID65,BID555
AID66,BID2330
AID66,BID2775
AID66,BID612
AID67,BID1235
AID67,BID2024
AID68,BID2221
AID69,BID1411
AID69,BID2941
AID70,BID370
AID70,BID780
AID71,BID2318
AID71,BID2461
AID72,BID1807
AID72,BID834
AID72,BID962
AID73,BID1511
AID74,BID1604
AID74,BID362
AID75,BID1205
AID75,BID1320
AID75,BID830
AID76,BID1447
AID77,BID1894
AID78,BID2728
AID78,BID499
AID79,BID1241
AID79,BID2398
AID79,BID903
AID80,BID1904
AID80,BID2833
AID80,BID2963
AID81,BID1786
AID82,BID1632
AID82,BID2669
AID82,BID507
AID83,BID1585
AID83,BID2658
AID83,BID385
AID84,BID1987
AID84,BID876
AID84,BID972
AID85,BID2373
AID85,BID2623
AID85,BID2964
AID86,BID1231
AID86,BID2823
AID87,BID1534
AID88,BID2138
AID88,BID2864
AID89,BID1629
AID89,BID2739
AID90,BID2763
AID90,BID648
AID91,BID1189
AID91,BID2697
AID91,BID2960
AID92,BID1653
AID92,BID508
AID93,BID478
AID94,BID1447
AID95,BID864
AID96,BID724
AID97,BID1508
AID98,BID2880
AID99,BID2064
AID99,BID2892
AID99,BID868
AID100,BID1308
AID100,BID2051
AID100,BID2502
AID101,BID2603
AID101,BID2702
AID102,BID2429
AID102,BID2803
AID103,BID1646
AID103,BID2058
AID103,BID680
AID104,BID247
AID104,BID837
AID105,BID1505
AID105,BID1576
AID105,BID2015
AID106,BID1148
AID106,BID1874
AID107,BID2425
AID107,BID2816
AID108,BID1467
AID109,BID1087
AID109,BID1874
AID109,BID2615
AID110,BID73
AID111,BID1213
AID111,BID1638
AID111,BID2060
AID112,BID1267
AID112,BID2799
AID112,BID783
AID113,BID653
AID113,BID82
AID113,BID820
AID114,BID1047
AID115,BID1346
AID116,BID509
AID117,BID1063
AID117,BID2571
AID118,BID1468
AID119,BID2116
AID119,BID2881
AID120,BID2573
AID120,BID2664
AID121,BID862
AID122,BID897
AID123,BID1829
AID123,BID23
AID123,BID772
AID124,BID1454
AID124,BID1723
AID124,BID2320
AID125,BID1475
AID126,BID124
AID126,BID649
AID127,BID1392
AID127,BID2938
AID127,BID371
AID128,BID1901
AID128,BID2245
AID128,BID284
AID129,BID2639
AID129,BID47
AID130,BID1667
AID130,BID2535
AID130,BID2879
AID131,BID1550
AID131,BID243
AID131,BID780
AID132,BID117
AID132,BID1679
AID132,BID1898
AID133,BID143
AID133,BID1454
AID133,BID2356
AID134,BID1560
AID134,BID2443
AID135,BID1746
AID135,BID2112
AID136,BID1180
AID136,BID1725
AID136,BID2924
AID137,BID2099
AID137,BID736
AID137,BID952
AID138,BID1915
AID138,BID2266
AID138,BID2361
AID139,BID1210
AID140,BID1461
AID140,BID1667
AID140,BID765
AID141,BID529
AID141,BID797
AID142,BID1526
AID143,BID12
AID144,BID1879
AID144,BID293
AID145,BID2106
AID146,BID1676
AID146,BID208
AID147,BID674
AID147,BID961
AID148,BID2115
AID148,BID404
AID149,BID1276
AID150,BID2077
AID150,BID2784
AID150,BID706
AID151,BID2543
AID152,BID936
AID153,BID1848
AID153,BID341
AID154,BID1522
AID154,BID1974
AID154,BID342
AID155,BID1007
AID155,BID1114
AID155,BID1975
AID156,BID1235
AID156,BID1329
AID156,BID2450
AID157,BID722
AID158,BID1264
AID158,BID2758
AID158,BID60
AID159,BID2567
AID159,BID260
AID159,BID51
AID160,BID1116
AID161,BID1571
AID161,BID2519
AID161,BID2753
AID162,BID1418
AID162,BID1721
AID162,BID705
AID163,BID2666
AID164,BID1502
AID165,BID1886
AID165,BID2643
AID166,BID2402
AID167,BID2210
AID167,BID990
AID168,BID1826
AID169,BID2195
AID169,BID2551
AID170,BID22
AID170,BID2357
AID170,BID871
AID171,BID715
AID172,BID1268
AID173,BID1031
AID173,BID2461
AID173,BID48
AID174,BID2731
AID174,BID2897
AID175,BID2091
AID175,BID2145
AID175,BID2458
AID176,BID1525
AID176,BID2272
AID177,BID1440
AID177,BID2199
AID177,BID941
AID178,BID1378
AID179,BID2809
AID179,BID2958
AID180,BID1395
AID181,BID1497
AID181,BID1533
AID181,BID257
AID182,BID1001
AID182,BID520
AID183,BID1318
AID183,BID1781
AID183,BID741
AID184,BID2864
AID185,BID1753
AID185,BID2454
AID185,BID2556
AID186,BID2299
AID186,BID262
AID187,BID134
AID187,BID523
AID187,BID906
AID188,BID1439
AID188,BID2844
AID188,BID76
AID189,BID1039
AID189,BID1149
AID190,BID1189
AID190,BID1871
AID190,BID2730
AID191,BID111
AID192,BID385
AID193,BID240
AID193,BID769
AID193,BID852
AID194,BID1297
AID194,BID2052
AID195,BID2381
AID196,BID2858
AID197,BID1925
AID198,BID2427
AID198,BID2699
AID198,BID55
AID199,BID297
AID200,BID2562
AID201,BID694
AID202,BID2925
AID202,BID35
AID203,BID1313
AID204,BID2845
AID204,BID390
AID205,BID1382
AID205,BID2572
AID206,BID1081
AID207,BID811
AID208,BID598
AID209,BID1225
AID209,BID1604
AID210,BID1192
AID210,BID1487
AID210,BID2845
AID211,BID2806
AID211,BID2983
AID211,BID985
AID212,BID1282
AID212,BID1491
AID212,BID2815
