CID,DID
CID1,DID198
CID1,DID56
CID1,DID654
CID1,DID858
CID1,DID889
CID1,DID988
CID2,DID264
CID2,DID588
CID2,DID657
CID2,DID864
CID2,DID948
CID2,DID980
CID3,DID129
CID3,DID561
CID3,DID650
CID3,DID816
CID3,DID839
CID3,DID935
CID4,DID384
CID4,DID423
CID4,DID432
CID4,DID776
CID4,DID911
CID4,DID940
CID5,DID286
CID5,DID435
CID5,DID497
CID5,DID663
CID5,DID7
CID5,DID733
CID6,DID21
CID6,DID210
CID6,DID262
CID6,DID618
CID6,DID889
CID6,DID986
CID7,DID16
CID7,DID213
CID7,DID37
CID7,DID597
CID7,DID8
CID7,DID814
CID8,DID173
CID8,DID253
CID8,DID355
CID8,DID555
CID8,DID683
CID8,DID907
CID9,DID46
CID9,DID481
CID9,DID556
CID9,DID564
CID9,DID684
CID9,DID708
CID10,DID172
CID10,DID336
CID10,DID442
CID10,DID744
CID10,DID75
CID10,DID857
CID11,DID152
CID11,DID217
CID11,DID242
CID11,DID352
CID11,DID477
CID11,DID73
CID12,DID419
CID12,DID424
CID12,DID449
CID12,DID618
CID12,DID650
CID12,DID658
CID13,DID138
CID13,DID467
CID13,DID480
CID13,DID57
CID13,DID604
CID13,DID941
CID14,DID325
CID14,DID801
CID14,DID89
CID14,DID961
CID14,DID968
CID14,DID987
CID15,DID152
CID15,DID367
CID15,DID59
CID15,DID766
CID15,DID782
CID15,DID910
CID16,DID375
CID16,DID398
CID16,DID750
CID16,DID773
CID16,DID809
CID16,DID838
CID17,DID206
CID17,DID346
CID17,DID581
CID17,DID788
CID17,DID847
CID17,DID889
CID18,DID223
CID18,DID292
CID18,DID48
CID18,DID539
CID18,DID911
CID18,DID945
CID19,DID179
CID19,DID653
CID19,DID678
CID19,DID693
CID19,DID863
CID19,DID988
CID20,DID117
CID20,DID200
CID20,DID318
CID20,DID592
CID20,DID824
CID20,DID987
CID21,DID342
CID21,DID46
CID21,DID50
CID21,DID721
CID21,DID784
CID21,DID845
CID22,DID295
CID22,DID544
CID22,DID572
CID22,DID575
CID22,DID640
CID22,DID900
CID23,DID130
CID23,DID395
CID23,DID396
CID23,DID410
CID23,DID525
CID23,DID623
CID24,DID505
CID24,DID529
CID24,DID530
CID24,DID732
CID24,DID810
CID24,DID996
CID25,DID114
CID25,DID115
CID25,DID149
CID25,DID178
CID25,DID454
CID25,DID761
CID26,DID36
CID26,DID506
CID26,DID78
CID26,DID798
CID26,DID85
CID26,DID925
CID27,DID183
CID27,DID188
CID27,DID378
CID27,DID536
CID27,DID648
CID27,DID901
CID28,DID501
CID28,DID583
CID28,DID666
CID28,DID703
