"AID","DID"
"AID260","DID775"
"AID590","DID775"
"AID1104","DID775"
"AID2309","DID775"
"AID2564","DID775"
"AID224","DID775"
"AID2413","DID326"
"AID1679","DID326"
"AID1792","DID326"
"AID322","DID326"
"AID860","DID326"
"AID2496","DID326"
"AID36","DID326"
"AID2570","DID326"
"AID2413","DID779"
"AID1679","DID779"
"AID1792","DID779"
"AID322","DID779"
"AID860","DID779"
"AID2496","DID779"
"AID36","DID779"
"AID2570","DID779"
"AID407","DID72"
"AID452","DID72"
"AID2658","DID72"
"AID296","DID72"
"AID541","DID72"
"AID606","DID72"
"AID887","DID72"
"AID1751","DID72"
"AID2863","DID72"
"AID70","DID72"
"AID353","DID72"
"AID806","DID72"
"AID1519","DID72"
"AID2895","DID72"
"AID200","DID72"
"AID1600","DID72"
"AID2427","DID72"
"AID1626","DID1460"
"AID959","DID1460"
"AID90","DID1460"
"AID2385","DID1460"
"AID2818","DID1460"
"AID1387","DID1460"
"AID1821","DID1460"
"AID2967","DID1460"
"AID1626","DID357"
"AID959","DID357"
"AID90","DID357"
"AID2385","DID357"
"AID2818","DID357"
"AID1387","DID357"
"AID1821","DID357"
"AID2967","DID357"
"AID360","DID790"
"AID629","DID790"
"AID755","DID790"
"AID2810","DID790"
"AID1027","DID790"
"AID294","DID790"
"AID2234","DID1023"
"AID2099","DID1023"
"AID2467","DID1023"
"AID2506","DID1023"
"AID481","DID1023"
"AID1242","DID1023"
"AID1261","DID1023"
"AID2728","DID1023"
"AID2041","DID1023"
"AID2922","DID1023"
"AID2234","DID236"
"AID2099","DID236"
"AID2467","DID236"
"AID2506","DID236"
"AID481","DID236"
"AID1242","DID236"
"AID1261","DID236"
"AID2728","DID236"
"AID2041","DID236"
"AID2922","DID236"
"AID2234","DID989"
"AID2099","DID989"
"AID2467","DID989"
"AID2506","DID989"
"AID481","DID989"
"AID1242","DID989"
"AID1261","DID989"
"AID2728","DID989"
"AID2041","DID989"
"AID2922","DID989"
"AID423","DID1085"
"AID1168","DID1085"
"AID1284","DID1085"
"AID2471","DID1085"
"AID2906","DID1085"
"AID677","DID1085"
