"AID","DID"
"AID2718","DID1252"
"AID2718","DID1419"
"AID2718","DID1425"
"AID2718","DID2645"
"AID1608","DID1252"
"AID1608","DID1419"
"AID1608","DID1425"
"AID1608","DID2645"
"AID5609","DID1252"
"AID5609","DID1419"
"AID5609","DID1425"
"AID5609","DID2645"
"AID618","DID1252"
"AID618","DID1419"
"AID618","DID1425"
"AID618","DID2645"
"AID3307","DID1252"
"AID3307","DID1419"
"AID3307","DID1425"
"AID3307","DID2645"
"AID4937","DID1252"
"AID4937","DID1419"
"AID4937","DID1425"
"AID4937","DID2645"
"AID5453","DID1252"
"AID5453","DID1419"
"AID5453","DID1425"
"AID5453","DID2645"
"AID3977","DID1252"
"AID3977","DID1419"
"AID3977","DID1425"
"AID3977","DID2645"
"AID4938","DID1252"
"AID4938","DID1419"
"AID4938","DID1425"
"AID4938","DID2645"
"AID5148","DID1252"
"AID5148","DID1419"
"AID5148","DID1425"
"AID5148","DID2645"
"AID563","DID1425"
"AID563","DID1968"
"AID563","DID2261"
"AID563","DID551"
"AID2013","DID1425"
"AID2013","DID1968"
"AID2013","DID2261"
"AID2013","DID551"
"AID1638","DID1425"
"AID1638","DID1968"
"AID1638","DID2261"
"AID1638","DID551"
"AID2084","DID1425"
"AID2084","DID1968"
"AID2084","DID2261"
"AID2084","DID551"
"AID3291","DID1425"
"AID3291","DID1968"
"AID3291","DID2261"
"AID3291","DID551"
"AID1810","DID1425"
"AID1810","DID1968"
"AID1810","DID2261"
"AID1810","DID551"
"AID151","DID1425"
"AID151","DID1968"
"AID151","DID2261"
"AID151","DID551"
"AID2710","DID1425"
"AID2710","DID1968"
"AID2710","DID2261"
"AID2710","DID551"
"AID2892","DID1132"
"AID2892","DID1685"
"AID2892","DID2655"
"AID2892","DID502"
"AID1245","DID1132"
"AID1245","DID1685"
"AID1245","DID2655"
"AID1245","DID502"
"AID525","DID1132"
"AID525","DID1685"
"AID525","DID2655"
"AID525","DID502"
"AID1028","DID1132"
"AID1028","DID1685"
"AID1028","DID2655"
"AID1028","DID502"
"AID4476","DID1132"
"AID4476","DID1685"
"AID4476","DID2655"
"AID4476","DID502"
"AID416","DID1132"
"AID416","DID1685"
"AID416","DID2655"
"AID416","DID502"
"AID3340","DID1266"
"AID3340","DID2362"
"AID3340","DID2737"
"AID3340","DID2859"
"AID4223","DID1266"
"AID4223","DID2362"
"AID4223","DID2737"
"AID4223","DID2859"
"AID2418","DID1266"
"AID2418","DID2362"
"AID2418","DID2737"
"AID2418","DID2859"
"AID342","DID1526"
"AID342","DID2348"
"AID342","DID2998"
"AID342","DID745"
"AID2984","DID1526"
"AID2984","DID2348"
"AID2984","DID2998"
"AID2984","DID745"
"AID179","DID1526"
"AID179","DID2348"
"AID179","DID2998"
"AID179","DID745"
"AID759","DID1526"
"AID759","DID2348"
"AID759","DID2998"
"AID759","DID745"
"AID5729","DID1526"
"AID5729","DID2348"
"AID5729","DID2998"
"AID5729","DID745"
"AID2892","DID1526"
"AID2892","DID2348"
"AID2892","DID2998"
"AID2892","DID745"
"AID4503","DID1526"
"AID4503","DID2348"
"AID4503","DID2998"
"AID4503","DID745"
"AID4965","DID1526"
"AID4965","DID2348"
"AID4965","DID2998"
"AID4965","DID745"
"AID2709","DID1383"
"AID2709","DID1752"
"AID2709","DID214"
"AID2709","DID2922"
"AID2807","DID1383"
"AID2807","DID1752"
"AID2807","DID214"
"AID2807","DID2922"
"AID4516","DID1383"
"AID4516","DID1752"
"AID4516","DID214"
"AID4516","DID2922"
"AID5088","DID1383"
"AID5088","DID1752"
"AID5088","DID214"
"AID5088","DID2922"
"AID775","DID1383"
"AID775","DID1752"
"AID775","DID214"
"AID775","DID2922"
"AID1804","DID1383"
"AID1804","DID1752"
"AID1804","DID214"
"AID1804","DID2922"
"AID2850","DID1383"
"AID2850","DID1752"
"AID2850","DID214"
"AID2850","DID2922"
"AID1673","DID1383"
"AID1673","DID1752"
"AID1673","DID214"
"AID1673","DID2922"
"AID2650","DID1383"
"AID2650","DID1752"
"AID2650","DID214"
"AID2650","DID2922"
"AID4077","DID1383"
"AID4077","DID1752"
"AID4077","DID214"
"AID4077","DID2922"
"AID794","DID1383"
"AID794","DID1752"
"AID794","DID214"
"AID794","DID2922"
"AID1536","DID1383"
"AID1536","DID1752"
"AID1536","DID214"
"AID1536","DID2922"
"AID1743","DID1383"
"AID1743","DID1752"
"AID1743","DID214"
"AID1743","DID2922"
"AID4697","DID1383"
"AID4697","DID1752"
"AID4697","DID214"
"AID4697","DID2922"
"AID4749","DID1383"
"AID4749","DID1752"
"AID4749","DID214"
"AID4749","DID2922"
"AID716","DID1894"
"AID716","DID2783"
"AID716","DID2884"
"AID716","DID596"
"AID2317","DID1894"
"AID2317","DID2783"
"AID2317","DID2884"
"AID2317","DID596"
"AID2413","DID1894"
"AID2413","DID2783"
"AID2413","DID2884"
"AID2413","DID596"
"AID3740","DID1894"
"AID3740","DID2783"
"AID3740","DID2884"
"AID3740","DID596"
"AID1490","DID1894"
"AID1490","DID2783"
"AID1490","DID2884"
"AID1490","DID596"
"AID1322","DID1894"
"AID1322","DID2783"
"AID1322","DID2884"
"AID1322","DID596"
"AID3436","DID1894"
"AID3436","DID2783"
"AID3436","DID2884"
"AID3436","DID596"
"AID1272","DID1397"
"AID1272","DID1652"
"AID1272","DID269"
"AID1272","DID711"
"AID1275","DID1397"
"AID1275","DID1652"
"AID1275","DID269"
"AID1275","DID711"
"AID1741","DID1397"
"AID1741","DID1652"
"AID1741","DID269"
"AID1741","DID711"
"AID4143","DID1397"
"AID4143","DID1652"
"AID4143","DID269"
"AID4143","DID711"
"AID4347","DID1397"
"AID4347","DID1652"
"AID4347","DID269"
"AID4347","DID711"
"AID4274","DID1397"
"AID4274","DID1652"
"AID4274","DID269"
"AID4274","DID711"
"AID5092","DID1397"
"AID5092","DID1652"
"AID5092","DID269"
"AID5092","DID711"
