"AID","CID"
"AID475","CID1"
"AID943","CID1"
"AID1482","CID1"
"AID1971","CID1"
"AID377","CID2"
"AID177","CID3"
"AID284","CID5"
"AID145","CID6"
"AID1327","CID6"
"AID206","CID7"
"AID593","CID7"
"AID125","CID8"
"AID195","CID8"
"AID364","CID8"
"AID1029","CID8"
"AID1062","CID9"
"AID531","CID9"
"AID1516","CID10"
"AID393","CID10"
"AID715","CID10"
"AID554","CID11"
"AID604","CID11"
"AID1086","CID11"
"AID1069","CID12"
"AID1647","CID12"
"AID74","CID12"
"AID470","CID13"
"AID786","CID13"
"AID1466","CID13"
"AID1195","CID14"
"AID1296","CID14"
"AID1700","CID14"
"AID1775","CID14"
"AID1484","CID15"
"AID1049","CID16"
"AID1947","CID16"
"AID197","CID17"
"AID1502","CID17"
"AID1985","CID17"
"AID1244","CID17"
"AID161","CID18"
"AID1249","CID18"
"AID152","CID18"
"AID1208","CID18"
"AID1877","CID18"
"AID1985","CID18"
"AID1515","CID19"
"AID118","CID19"
"AID457","CID19"
"AID594","CID19"
"AID782","CID19"
"AID689","CID20"
"AID1068","CID20"
"AID442","CID20"
"AID704","CID20"
"AID1950","CID21"
"AID406","CID21"
"AID159","CID22"
"AID733","CID22"
"AID1200","CID22"
"AID1465","CID22"
"AID479","CID22"
"AID860","CID22"
"AID1155","CID22"
"AID1879","CID22"
"AID1962","CID23"
"AID1071","CID23"
"AID216","CID24"
"AID1974","CID24"
"AID721","CID25"
"AID1788","CID25"
"AID122","CID26"
"AID326","CID28"
"AID1339","CID28"
"AID1433","CID29"
"AID288","CID29"
"AID627","CID29"
"AID1403","CID29"
"AID841","CID30"
"AID996","CID30"
"AID1882","CID30"
"AID682","CID30"
"AID1499","CID30"
"AID1826","CID31"
"AID631","CID32"
"AID636","CID32"
"AID1428","CID32"
"AID1988","CID32"
"AID188","CID33"
"AID983","CID33"
"AID990","CID33"
"AID1801","CID33"
"AID1530","CID34"
"AID1582","CID34"
"AID1394","CID35"
"AID1748","CID35"
"AID532","CID36"
"AID1278","CID36"
"AID1108","CID36"
"AID550","CID37"
"AID644","CID37"
"AID1226","CID37"
"AID559","CID39"
"AID669","CID39"
"AID1110","CID39"
"AID440","CID40"
"AID278","CID40"
"AID948","CID40"
"AID536","CID41"
"AID1104","CID41"
"AID1540","CID41"
"AID50","CID41"
"AID329","CID41"
"AID712","CID41"
"AID1760","CID41"
"AID1788","CID41"
"AID639","CID42"
"AID607","CID43"
"AID1052","CID43"
"AID1639","CID43"
"AID1671","CID43"
"AID488","CID43"
"AID1033","CID43"
"AID1621","CID43"
"AID156","CID44"
"AID190","CID44"
"AID1126","CID44"
"AID1189","CID44"
"AID404","CID45"
"AID1428","CID45"
"AID147","CID46"
"AID656","CID46"
"AID264","CID47"
"AID544","CID47"
"AID477","CID47"
"AID108","CID48"
"AID363","CID48"
"AID735","CID48"
"AID1113","CID49"
"AID331","CID50"
"AID668","CID50"
"AID1015","CID50"
"AID1933","CID51"
"AID475","CID52"
"AID12","CID52"
"AID579","CID52"
"AID797","CID52"
"AID724","CID53"
"AID1473","CID53"
"AID50","CID54"
"AID329","CID54"
"AID712","CID54"
"AID1760","CID54"
"AID1788","CID54"
"AID1580","CID54"
"AID1255","CID55"
"AID105","CID55"
"AID1504","CID56"
"AID1742","CID56"
"AID1489","CID56"
"AID689","CID57"
"AID1831","CID57"
"AID792","CID58"
"AID1216","CID58"
"AID185","CID58"
"AID299","CID58"
"AID1127","CID58"
"AID893","CID59"
"AID1433","CID59"
"AID1587","CID60"
"AID1891","CID60"
