AID,BID
AID1,BID1493
AID1,BID2034
AID1,BID2446
AID2,BID1139
AID2,BID1158
AID2,BID4890
AID3,BID2620
AID3,BID2809
AID3,BID4219
AID4,BID2002
AID4,BID4725
AID4,BID517
AID5,BID1184
AID5,BID2412
AID5,BID672
AID6,BID1632
AID6,BID2790
AID6,BID954
AID7,BID3155
AID7,BID3215
AID7,BID4471
AID8,BID3500
AID8,BID4875
AID8,BID660
AID9,BID4460
AID9,BID520
AID9,BID578
AID10,BID3195
AID10,BID3258
AID10,BID3496
AID11,BID3068
AID11,BID3318
AID11,BID3729
AID12,BID1689
AID12,BID2463
AID12,BID2581
AID13,BID1923
AID13,BID2580
AID13,BID4116
AID14,BID2744
AID14,BID2859
AID14,BID3647
AID15,BID1287
AID15,BID3234
AID15,BID3335
AID16,BID2498
AID16,BID4337
AID16,BID4367
AID17,BID3002
AID17,BID3663
AID17,BID3776
AID18,BID2211
AID18,BID3013
AID18,BID3651
AID19,BID1993
AID19,BID2682
AID19,BID3003
AID20,BID2081
AID20,BID814
AID20,BID820
AID21,BID1666
AID21,BID3487
AID21,BID985
AID22,BID131
AID22,BID1789
AID22,BID2373
AID23,BID1768
AID23,BID4793
AID23,BID964
AID24,BID147
AID24,BID178
AID24,BID2141
AID25,BID1988
AID25,BID2029
AID25,BID2585
AID26,BID1339
AID26,BID1482
AID26,BID187
AID27,BID2065
AID27,BID3858
AID27,BID937
AID28,BID3558
AID28,BID603
AID28,BID971
AID29,BID1136
AID29,BID1464
AID29,BID2365
AID30,BID2437
AID30,BID2677
AID30,BID977
AID31,BID1460
AID31,BID4223
AID31,BID750
AID32,BID221
AID32,BID3634
AID32,BID4615
AID33,BID2294
AID33,BID3018
AID33,BID615
AID34,BID1208
AID34,BID2290
AID34,BID553
AID35,BID3397
AID35,BID3855
AID35,BID4436
AID36,BID2744
AID36,BID3157
AID36,BID3944
AID37,BID2213
AID37,BID3675
AID37,BID4588
AID38,BID1299
AID38,BID1477
AID38,BID3731
AID39,BID1413
AID39,BID3075
AID39,BID4304
AID40,BID1647
AID40,BID1735
AID40,BID2486
AID41,BID4446
AID41,BID4568
AID41,BID944
AID42,BID2847
AID42,BID304
AID42,BID4940
AID43,BID2575
AID43,BID2951
AID43,BID3469
AID44,BID1157
AID44,BID1347
AID44,BID3340
AID45,BID3044
AID45,BID3454
AID45,BID3540
AID46,BID1725
AID46,BID1789
AID46,BID751
AID47,BID1728
AID47,BID38
AID47,BID960
AID48,BID1520
AID48,BID1930
AID48,BID2458
AID49,BID3181
AID49,BID3451
AID49,BID3471
AID50,BID1012
AID50,BID2962
AID50,BID3668
AID51,BID1857
AID51,BID2865
AID51,BID3717
AID52,BID1676
AID52,BID2258
AID52,BID578
AID53,BID1397
AID53,BID3068
AID53,BID3763
AID54,BID3177
AID54,BID3574
AID54,BID4610
AID55,BID1348
AID55,BID180
AID55,BID54
AID56,BID2031
AID56,BID2973
AID56,BID700
AID57,BID1338
AID57,BID161
AID57,BID2887
AID58,BID1701
AID58,BID731
AID58,BID971
AID59,BID2807
AID59,BID3825
AID59,BID4400
AID60,BID3222
AID60,BID3929
AID60,BID4102
AID61,BID2811
AID61,BID3300
AID61,BID751
AID62,BID208
AID62,BID2889
AID62,BID3797
AID63,BID2916
AID63,BID3572
AID63,BID491
AID64,BID3375
AID64,BID4618
AID64,BID4699
AID65,BID4160
AID65,BID4922
AID65,BID4949
AID66,BID1101
AID66,BID2641
AID66,BID942
AID67,BID1929
AID67,BID463
AID67,BID662
AID68,BID1731
AID68,BID2142
AID68,BID3194
AID69,BID2534
AID69,BID2971
AID69,BID3948
AID70,BID1240
AID70,BID1959
AID70,BID4807
AID71,BID2867
AID71,BID3778
AID71,BID412
AID72,BID136
AID72,BID1802
AID72,BID2740
AID73,BID2398
AID73,BID4674
AID73,BID792
AID74,BID1246
AID74,BID1570
AID74,BID4618
AID75,BID1238
AID75,BID1650
AID75,BID4595
AID76,BID2660
AID76,BID471
AID76,BID58
AID77,BID3920
AID77,BID4204
AID77,BID4818
AID78,BID2365
AID78,BID2596
AID78,BID4650
AID79,BID2275
AID79,BID3134
AID79,BID90
AID80,BID3521
AID80,BID656
AID80,BID95
AID81,BID4187
AID81,BID4799
AID81,BID775
AID82,BID1862
AID82,BID1963
AID82,BID3329
AID83,BID2397
AID83,BID2861
AID83,BID3979
AID84,BID1288
AID84,BID2114
AID84,BID3335
AID85,BID4257
AID85,BID4939
AID85,BID834
AID86,BID1290
AID86,BID2907
AID86,BID4017
AID87,BID2674
AID87,BID3663
AID87,BID3811
AID88,BID143
AID88,BID1525
AID88,BID3427
AID89,BID118
AID89,BID1544
AID89,BID2539
AID90,BID122
AID90,BID1552
AID90,BID4936
AID91,BID2070
AID91,BID2145
AID91,BID3293
AID92,BID2361
AID92,BID3151
AID92,BID4817
AID93,BID2427
AID93,BID2858
AID93,BID81
AID94,BID2600
AID94,BID3392
AID94,BID3475
AID95,BID2283
AID95,BID4444
AID95,BID529
AID96,BID1375
AID96,BID2026
AID96,BID776
AID97,BID1001
AID97,BID1442
AID97,BID3788
AID98,BID3318
AID98,BID4276
AID98,BID441
AID99,BID2456
AID99,BID3424
AID99,BID3965
AID100,BID1548
AID100,BID3078
AID100,BID512
AID101,BID1833
AID101,BID2233
AID101,BID2906
AID102,BID2338
AID102,BID338
AID102,BID4600
AID103,BID1144
AID103,BID2951
AID103,BID3903
AID104,BID1303
AID104,BID1836
AID104,BID2046
AID105,BID1080
AID105,BID1141
AID105,BID3667
AID106,BID2024
AID106,BID3168
AID106,BID635
AID107,BID321
AID107,BID4654
AID107,BID4953
AID108,BID2326
AID108,BID442
AID108,BID790
AID109,BID1343
AID109,BID2017
AID109,BID2396
AID110,BID4017
AID110,BID824
AID110,BID910
AID111,BID1276
AID111,BID4262
AID111,BID4506
AID112,BID1281
AID112,BID1587
AID112,BID4220
AID113,BID1104
AID113,BID2416
AID113,BID2666
AID114,BID1547
AID114,BID2087
AID114,BID2100
AID115,BID127
AID115,BID2153
AID115,BID4773
AID116,BID1677
AID116,BID1938
AID116,BID3896
AID117,BID1290
AID117,BID141
AID117,BID803
AID118,BID1321
AID118,BID3372
AID118,BID4651
AID119,BID1742
AID119,BID1748
AID119,BID4721
AID120,BID193
AID120,BID3043
AID120,BID3902
AID121,BID337
AID121,BID4429
AID121,BID4479
AID122,BID2362
AID122,BID2565
AID122,BID4921
AID123,BID2767
AID123,BID3400
AID123,BID4316
AID124,BID2379
AID124,BID2532
AID124,BID4721
AID125,BID4606
AID125,BID4676
AID125,BID4711
AID126,BID2945
AID126,BID3313
AID126,BID49
AID127,BID4746
AID127,BID4779
AID127,BID987
AID128,BID1716
