CID,DID
CID1,DID339
CID1,DID922
CID2,DID335
CID2,DID787
CID3,DID137
CID3,DID873
CID4,DID360
CID4,DID532
CID5,DID44
CID5,DID608
CID6,DID720
CID6,DID872
CID7,DID851
CID7,DID886
CID8,DID435
CID8,DID468
CID9,DID141
CID9,DID37
CID10,DID265
CID10,DID53
CID11,DID317
CID11,DID875
CID12,DID794
CID12,DID807
CID13,DID202
CID13,DID461
CID14,DID816
CID14,DID824
CID15,DID108
CID15,DID845
CID16,DID274
CID16,DID545
CID17,DID276
CID17,DID288
CID18,DID839
CID18,DID938
CID19,DID381
CID19,DID519
CID20,DID46
CID20,DID866
CID21,DID212
CID21,DID617
CID22,DID423
CID22,DID948
CID23,DID194
CID23,DID471
CID24,DID761
CID24,DID820
CID25,DID342
CID25,DID824
CID26,DID179
CID26,DID236
CID27,DID442
CID27,DID839
CID28,DID112
CID28,DID491
CID29,DID182
CID29,DID193
CID30,DID205
CID30,DID34
CID31,DID122
CID31,DID929
CID32,DID171
CID32,DID725
CID33,DID30
CID33,DID36
CID34,DID402
CID34,DID547
CID35,DID615
CID35,DID637
CID36,DID37
CID36,DID380
CID37,DID615
CID37,DID942
CID38,DID493
CID38,DID726
CID39,DID693
CID39,DID86
CID40,DID205
CID40,DID818
CID41,DID119
CID41,DID7
CID42,DID237
CID42,DID801
CID43,DID268
CID43,DID925
CID44,DID775
CID44,DID879
CID45,DID615
CID45,DID841
CID46,DID196
CID46,DID674
CID47,DID886
CID47,DID944
CID48,DID11
CID48,DID384
CID49,DID272
CID49,DID818
CID50,DID348
CID50,DID759
CID51,DID660
CID51,DID781
CID52,DID292
CID52,DID800
CID53,DID209
CID53,DID940
CID54,DID591
CID54,DID876
CID55,DID15
CID55,DID940
CID56,DID117
CID56,DID484
CID57,DID37
CID57,DID688
CID58,DID22
CID58,DID705
CID59,DID405
CID59,DID485
CID60,DID238
CID60,DID989
CID61,DID512
CID61,DID559
CID62,DID200
CID62,DID599
CID63,DID784
CID63,DID839
CID64,DID193
CID64,DID503
CID65,DID620
CID65,DID794
CID66,DID174
CID66,DID931
CID67,DID190
CID67,DID307
CID68,DID368
CID68,DID600
CID69,DID501
CID69,DID812
CID70,DID501
CID70,DID586
CID71,DID373
CID71,DID763
CID72,DID227
CID72,DID348
CID73,DID517
CID73,DID744
CID74,DID669
CID74,DID901
CID75,DID298
CID75,DID984
CID76,DID471
CID76,DID79
CID77,DID234
CID77,DID9
CID78,DID172
CID78,DID225
CID79,DID251
CID79,DID729
CID80,DID118
CID80,DID431
CID81,DID131
CID81,DID70
CID82,DID226
CID82,DID872
