CID,BID
CID1,BID101
CID1,BID1638
CID1,BID2022
CID1,BID2376
CID2,BID1883
CID2,BID225
CID2,BID2250
CID2,BID259
CID3,BID1606
CID3,BID2434
CID3,BID532
CID3,BID649
CID4,BID1426
CID4,BID2429
CID4,BID275
CID4,BID304
CID5,BID1149
CID5,BID1383
CID5,BID208
CID5,BID2566
CID6,BID2373
CID6,BID247
CID6,BID358
CID6,BID454
CID7,BID1189
CID7,BID1637
CID7,BID765
CID7,BID793
CID8,BID2418
CID8,BID2932
CID8,BID433
CID8,BID71
CID9,BID107
CID9,BID2261
CID9,BID2769
CID9,BID858
CID10,BID2524
CID10,BID2739
CID10,BID2996
CID10,BID639
CID11,BID1045
CID11,BID18
CID11,BID2517
CID11,BID470
CID12,BID1308
CID12,BID1533
CID12,BID2018
CID12,BID2447
CID13,BID1552
CID13,BID1828
CID13,BID2180
CID13,BID337
CID14,BID1601
CID14,BID545
CID14,BID841
CID14,BID984
CID15,BID2744
CID15,BID405
CID15,BID432
CID15,BID571
CID16,BID1950
CID16,BID1985
CID16,BID232
CID16,BID260
CID17,BID22
CID17,BID2338
CID17,BID2748
CID17,BID664
CID18,BID1190
CID18,BID1858
CID18,BID2277
CID18,BID2835
CID19,BID1339
CID19,BID1508
CID19,BID1603
CID19,BID2712
CID20,BID1314
CID20,BID2127
CID20,BID2139
CID20,BID310
CID21,BID1051
CID21,BID570
CID21,BID744
CID21,BID948
CID22,BID1201
CID22,BID2491
CID22,BID426
CID22,BID895
CID23,BID1478
CID23,BID15
CID23,BID193
CID23,BID1977
CID24,BID1525
CID24,BID1587
CID24,BID2453
CID24,BID2850
CID25,BID1083
CID25,BID112
CID25,BID1789
CID25,BID2636
CID26,BID1187
CID26,BID1681
CID26,BID1887
CID26,BID286
CID27,BID1057
CID27,BID139
CID27,BID2154
CID27,BID2388
CID28,BID1361
CID28,BID2018
CID28,BID2646
CID28,BID568
CID29,BID1851
CID29,BID2987
CID29,BID2992
CID29,BID938
CID30,BID1956
CID30,BID2170
CID30,BID2484
CID30,BID2508
CID31,BID1789
CID31,BID2886
CID31,BID543
CID31,BID892
CID32,BID1294
CID32,BID146
CID32,BID1465
CID32,BID152
CID33,BID1262
CID33,BID1423
CID33,BID1448
CID33,BID626
CID34,BID216
CID34,BID2561
CID34,BID2737
CID34,BID438
CID35,BID1040
CID35,BID1449
CID35,BID2608
CID35,BID497
CID36,BID145
CID36,BID2762
CID36,BID361
CID36,BID91
CID37,BID1482
CID37,BID1998
CID37,BID604
CID37,BID728
CID38,BID2438
CID38,BID2828
CID38,BID359
CID38,BID456
CID39,BID1183
CID39,BID1206
CID39,BID2629
CID39,BID372
CID40,BID1044
CID40,BID1455
CID40,BID385
CID40,BID437
CID41,BID1316
CID41,BID2377
CID41,BID2933
CID41,BID530
CID42,BID1598
CID42,BID182
CID42,BID2262
CID42,BID424
CID43,BID313
CID43,BID506
CID43,BID643
CID43,BID974
CID44,BID1433
CID44,BID1704
CID44,BID237
CID44,BID477
CID45,BID1558
CID45,BID2224
CID45,BID2711
CID45,BID655
CID46,BID1780
CID46,BID1875
CID46,BID214
CID46,BID2648
CID47,BID1382
CID47,BID207
CID47,BID2323
CID47,BID2779
CID48,BID1615
CID48,BID1881
CID48,BID2883
CID48,BID69
CID49,BID1425
CID49,BID1969
CID49,BID2770
CID49,BID731
CID50,BID1687
CID50,BID405
CID50,BID571
CID50,BID997
CID51,BID1563
CID51,BID277
CID51,BID2970
CID51,BID668
CID52,BID1334
CID52,BID1810
CID52,BID384
CID52,BID72
CID53,BID1009
CID53,BID2377
CID53,BID2742
CID53,BID2816
CID54,BID1161
CID54,BID1519
CID54,BID1618
CID54,BID1720
CID55,BID1459
CID55,BID1666
CID55,BID2876
CID55,BID318
CID56,BID2220
CID56,BID55
CID56,BID641
CID56,BID650
CID57,BID2225
