CID,DID
CID1,DID851
CID2,DID212
CID2,DID997
CID3,DID742
CID3,DID817
CID4,DID223
CID4,DID724
CID5,DID255
CID6,DID276
CID7,DID827
CID8,DID280
CID8,DID938
CID9,DID192
CID9,DID703
CID10,DID284
CID11,DID341
CID12,DID827
CID13,DID207
CID13,DID841
CID14,DID124
CID14,DID540
CID15,DID79
CID15,DID93
CID16,DID59
CID17,DID923
CID18,DID72
CID19,DID771
CID20,DID36
CID21,DID573
CID22,DID219
CID22,DID957
CID23,DID516
CID23,DID75
CID24,DID491
CID25,DID466
CID25,DID529
CID26,DID103
CID26,DID340
CID27,DID743
CID27,DID898
CID28,DID206
CID29,DID774
CID30,DID267
CID30,DID591
CID31,DID995
CID32,DID270
CID32,DID835
CID33,DID195
CID34,DID451
CID34,DID826
CID35,DID223
CID35,DID751
CID36,DID221
CID37,DID336
CID38,DID460
CID39,DID147
CID39,DID835
CID40,DID722
CID40,DID920
CID41,DID15
CID42,DID335
CID43,DID135
CID44,DID243
CID44,DID355
CID45,DID332
CID45,DID593
CID46,DID725
CID47,DID992
CID48,DID256
CID49,DID163
CID50,DID475
CID51,DID55
CID52,DID382
CID52,DID457
CID53,DID419
CID54,DID640
CID54,DID964
CID55,DID391
CID55,DID46
CID56,DID322
CID57,DID223
CID58,DID428
CID59,DID548
CID60,DID297
CID60,DID891
CID61,DID737
CID62,DID778
CID62,DID88
CID63,DID258
CID63,DID985
CID64,DID452
CID64,DID785
CID65,DID453
CID66,DID581
CID67,DID723
CID67,DID769
CID68,DID674
CID69,DID717
CID70,DID264
CID70,DID441
CID71,DID968
CID72,DID574
CID72,DID598
CID73,DID52
CID73,DID963
CID74,DID215
CID75,DID502
CID76,DID660
CID77,DID612
CID78,DID724
CID78,DID902
CID79,DID400
CID79,DID765
CID80,DID221
CID81,DID173
CID82,DID270
CID82,DID591
CID83,DID676
CID84,DID324
CID85,DID761
CID85,DID807
CID86,DID386
CID86,DID587
CID87,DID120
CID87,DID873
CID88,DID156
CID89,DID257
CID89,DID887
CID90,DID679
CID91,DID812
CID92,DID165
CID93,DID370
CID94,DID909
CID95,DID436
CID95,DID951
CID96,DID812
CID97,DID387
CID97,DID538
CID98,DID731
CID99,DID176
CID99,DID65
CID100,DID527
CID101,DID533
CID102,DID464
CID103,DID766
CID104,DID386
CID104,DID452
CID105,DID341
CID106,DID560
CID107,DID419
CID107,DID618
CID108,DID355
CID108,DID364
CID109,DID144
CID109,DID882
CID110,DID102
CID110,DID496
CID111,DID662
CID112,DID470
CID113,DID894
CID114,DID208
CID114,DID369
CID115,DID73
CID116,DID730
CID117,DID59
CID118,DID690
CID119,DID278
CID119,DID450
CID120,DID287
CID120,DID701
CID121,DID405
CID121,DID595
CID122,DID615
CID122,DID873
CID123,DID220
CID124,DID198
CID125,DID867
CID126,DID73
CID127,DID710
CID128,DID337
CID129,DID59
CID130,DID701
CID131,DID581
CID131,DID8
CID132,DID574
CID133,DID279
CID134,DID901
CID135,DID36
CID135,DID734
CID136,DID308
CID136,DID719
CID137,DID921
CID138,DID896
CID138,DID971
CID139,DID996
CID140,DID492
CID140,DID702
CID141,DID837
CID141,DID860
CID142,DID504
CID143,DID250
CID144,DID523
CID145,DID555
CID146,DID487
CID147,DID519
CID147,DID687
CID148,DID602
CID148,DID9
CID149,DID211
CID149,DID386
CID150,DID684
CID151,DID123
CID152,DID343
CID153,DID90
CID153,DID981
CID154,DID70
CID155,DID706
CID155,DID83
CID156,DID611
CID156,DID991
CID157,DID644
CID158,DID685
CID158,DID721
CID159,DID323
CID159,DID391
CID160,DID227
CID160,DID245
CID161,DID689
CID161,DID996
CID162,DID430
CID162,DID499
CID163,DID218
CID164,DID764
CID165,DID456
CID165,DID536
CID166,DID41
CID166,DID69
CID167,DID265
CID167,DID464
CID168,DID820
CID169,DID262
CID169,DID927
CID170,DID450
CID170,DID592
CID171,DID331
CID171,DID869
CID172,DID72
CID172,DID744
CID173,DID186
CID174,DID192
CID175,DID680
CID176,DID213
CID176,DID881
CID177,DID372
CID177,DID596
CID178,DID616
CID179,DID146
CID179,DID408
CID180,DID460
CID180,DID566
CID181,DID781
CID181,DID869
CID182,DID464
CID182,DID95
CID183,DID734
CID184,DID40
CID184,DID618
CID185,DID375
CID186,DID607
CID187,DID235
CID187,DID295
CID188,DID433
CID188,DID900
CID189,DID413
CID189,DID562
CID190,DID531
CID191,DID340
CID191,DID755
CID192,DID449
CID193,DID631
CID193,DID753
CID194,DID612
CID194,DID926
CID195,DID538
CID196,DID433
CID196,DID516
CID197,DID124
CID198,DID523
CID198,DID623
CID199,DID618
CID200,DID594
CID200,DID669
CID201,DID701
CID202,DID19
CID203,DID860
CID204,DID831
CID204,DID900
CID205,DID505
CID206,DID382
CID206,DID670
CID207,DID858
CID207,DID985
CID208,DID321
CID208,DID856
CID209,DID585
CID210,DID386
CID211,DID395
CID211,DID861
CID212,DID264
CID213,DID34
CID213,DID616
CID214,DID96
CID215,DID728
CID215,DID994
CID216,DID507
CID217,DID153
CID217,DID90
CID218,DID332
CID219,DID329
CID220,DID173
CID220,DID989
CID221,DID328
CID221,DID994
CID222,DID668
CID222,DID723
CID223,DID307
CID224,DID719
CID225,DID830
CID225,DID831
CID226,DID365
CID226,DID770
CID227,DID35
CID227,DID497
CID228,DID271
CID228,DID394
CID229,DID583
CID229,DID872
CID230,DID43
CID231,DID41
CID232,DID201
CID233,DID598
CID233,DID932
CID234,DID677
CID234,DID817
CID235,DID766
CID235,DID786
CID236,DID846
CID236,DID98
CID237,DID494
CID238,DID489
CID239,DID207
CID240,DID15
CID240,DID481
CID241,DID200
CID241,DID906
CID242,DID222
CID242,DID552
CID243,DID497
CID243,DID679
CID244,DID432
CID244,DID893
CID245,DID677
CID245,DID799
CID246,DID717
CID247,DID264
CID247,DID291
CID248,DID284
CID248,DID332
CID249,DID35
CID249,DID872
CID250,DID869
CID251,DID853
CID252,DID442
CID253,DID972
CID254,DID802
CID255,DID127
CID256,DID764
CID257,DID250
CID258,DID872
CID258,DID963
CID259,DID630
CID260,DID625
CID260,DID741
CID261,DID278
CID261,DID32
CID262,DID632
CID262,DID691
CID263,DID377
CID264,DID949
CID265,DID105
CID266,DID725
CID267,DID13
CID267,DID400
CID268,DID905
CID269,DID396
CID270,DID351
CID270,DID744
CID271,DID380
CID271,DID769
CID272,DID197
CID273,DID955
CID274,DID195
CID274,DID495
CID275,DID19
CID276,DID293
CID276,DID696
CID277,DID288
CID278,DID920
CID279,DID750
CID280,DID110
CID280,DID631
CID281,DID246
CID282,DID19
CID282,DID394
CID283,DID14
CID284,DID238
CID284,DID941
CID285,DID462
CID286,DID451
CID286,DID563
CID287,DID771
CID287,DID979
CID288,DID588
CID288,DID612
CID289,DID482
CID290,DID681
CID291,DID993
CID292,DID184
CID292,DID482
CID293,DID452
CID293,DID84
CID294,DID392
CID295,DID376
CID295,DID43
CID296,DID467
CID297,DID802
CID298,DID976
CID299,DID323
CID300,DID254
CID301,DID505
CID301,DID654
CID302,DID220
CID302,DID874
CID303,DID217
CID304,DID181
CID304,DID999
CID305,DID542
CID306,DID488
CID307,DID155
CID307,DID514
CID308,DID386
CID308,DID738
CID309,DID135
CID309,DID608
CID310,DID909
CID311,DID91
CID312,DID94
CID313,DID454
CID314,DID536
CID314,DID823
CID315,DID300
CID316,DID428
CID316,DID535
CID317,DID998
CID318,DID225
CID318,DID793
CID319,DID310
CID320,DID253
CID321,DID123
CID321,DID41
CID322,DID784
CID323,DID84
CID324,DID558
CID324,DID736
CID325,DID412
CID326,DID15
CID326,DID660
CID327,DID751
CID327,DID814
CID328,DID217
CID329,DID125
CID329,DID422
CID330,DID12
CID331,DID411
CID331,DID908
CID332,DID221
CID332,DID888
CID333,DID691
CID333,DID739
CID334,DID470
CID334,DID997
CID335,DID437
CID335,DID92
CID336,DID935
CID337,DID717
CID338,DID109
CID338,DID975
CID339,DID144
CID340,DID922
CID341,DID224
CID341,DID338
CID342,DID381
CID342,DID986
CID343,DID542
CID343,DID901
CID344,DID852
CID345,DID593
CID346,DID49
CID346,DID535
CID347,DID332
CID347,DID432
CID348,DID623
CID349,DID176
CID349,DID857
CID350,DID321
CID351,DID585
CID352,DID497
CID352,DID88
CID353,DID37
CID353,DID592
CID354,DID600
CID354,DID936
CID355,DID547
CID356,DID85
CID356,DID985
CID357,DID747
CID357,DID795
CID358,DID645
CID359,DID285
CID359,DID76
CID360,DID192
CID360,DID316
CID361,DID696
CID362,DID879
CID363,DID211
CID363,DID441
CID364,DID555
CID365,DID761
CID366,DID142
CID366,DID827
CID367,DID87
CID368,DID297
CID369,DID405
CID369,DID821
CID370,DID402
CID370,DID936
CID371,DID205
CID371,DID961
CID372,DID632
CID373,DID342
CID373,DID472
CID374,DID213
CID375,DID494
CID376,DID252
CID376,DID387
CID377,DID884
CID378,DID49
CID378,DID532
CID379,DID471
CID380,DID332
CID380,DID663
CID381,DID118
CID381,DID422
CID382,DID227
CID383,DID10
CID383,DID225
CID384,DID230
CID385,DID193
CID385,DID699
CID386,DID224
CID386,DID942
CID387,DID992
CID388,DID858
CID388,DID904
CID389,DID202
CID389,DID937
CID390,DID550
CID390,DID581
CID391,DID63
CID392,DID189
CID392,DID78
CID393,DID322
CID393,DID940
CID394,DID297
CID394,DID823
CID395,DID269
CID396,DID848
CID397,DID68
CID397,DID954
CID398,DID281
CID398,DID787
CID399,DID793
CID400,DID54
CID400,DID574
CID401,DID957
CID402,DID132
CID402,DID521
CID403,DID447
CID403,DID747
CID404,DID300
CID404,DID390
CID405,DID68
CID406,DID784
CID407,DID887
CID407,DID910
CID408,DID386
CID408,DID737
CID409,DID912
CID409,DID922
CID410,DID562
CID410,DID588
CID411,DID572
CID411,DID917
CID412,DID458
CID413,DID432
CID414,DID485
CID415,DID490
CID415,DID905
CID416,DID397
CID417,DID269
CID417,DID511
CID418,DID397
CID419,DID33
CID420,DID22
CID421,DID541
CID422,DID360
CID423,DID556
CID424,DID509
CID425,DID950
CID425,DID992
CID426,DID210
CID427,DID266
CID427,DID267
CID428,DID440
CID428,DID534
CID429,DID200
CID429,DID818
CID430,DID473
CID430,DID580
CID431,DID396
CID431,DID446
CID432,DID139
CID433,DID344
CID434,DID595
CID435,DID542
CID435,DID965
CID436,DID24
CID436,DID65
CID437,DID760
CID438,DID294
CID439,DID435
CID439,DID893
CID440,DID34
CID441,DID455
CID441,DID813
CID442,DID802
CID442,DID840
CID443,DID43
CID443,DID773
CID444,DID553
CID444,DID723
CID445,DID600
CID445,DID61
CID446,DID468
CID446,DID600
CID447,DID325
CID447,DID634
CID448,DID24
CID448,DID350
CID449,DID63
CID449,DID801
CID450,DID139
CID450,DID949
CID451,DID179
CID451,DID458
CID452,DID554
CID453,DID341
CID454,DID393
CID454,DID942
CID455,DID103
CID456,DID261
CID456,DID325
CID457,DID511
CID458,DID980
CID459,DID717
CID459,DID995
CID460,DID564
CID461,DID920
CID462,DID111
CID463,DID196
CID463,DID562
CID464,DID523
CID465,DID194
