CID,DID
CID1,DID530
CID1,DID571
CID2,DID211
CID2,DID965
CID3,DID723
CID3,DID906
CID4,DID144
CID4,DID510
CID5,DID915
CID5,DID997
CID6,DID116
CID6,DID78
CID7,DID309
CID7,DID80
CID8,DID620
CID8,DID663
CID9,DID14
CID9,DID79
CID10,DID416
CID10,DID789
CID11,DID485
CID11,DID881
CID12,DID404
CID12,DID43
CID13,DID590
CID13,DID662
CID14,DID726
CID14,DID934
CID15,DID326
CID15,DID968
CID16,DID403
CID16,DID774
CID17,DID253
CID17,DID605
CID18,DID701
CID18,DID953
CID19,DID318
CID19,DID64
CID20,DID265
CID20,DID346
CID21,DID657
CID21,DID771
CID22,DID115
CID22,DID734
CID23,DID805
CID23,DID85
CID24,DID490
CID24,DID773
CID25,DID365
CID25,DID587
CID26,DID411
CID26,DID800
CID27,DID267
CID27,DID563
CID28,DID683
CID28,DID816
CID29,DID32
CID29,DID480
CID30,DID669
CID30,DID984
CID31,DID22
CID31,DID800
CID32,DID430
CID32,DID917
CID33,DID456
CID33,DID487
CID34,DID436
CID34,DID876
CID35,DID356
CID35,DID803
CID36,DID315
CID36,DID825
CID37,DID350
CID37,DID883
CID38,DID722
CID38,DID93
CID39,DID315
CID39,DID605
CID40,DID201
CID40,DID606
CID41,DID413
CID41,DID577
CID42,DID754
CID42,DID880
CID43,DID330
CID43,DID463
CID44,DID302
CID44,DID825
CID45,DID467
CID45,DID486
CID46,DID770
CID46,DID814
CID47,DID624
CID47,DID654
CID48,DID284
CID48,DID735
CID49,DID282
CID49,DID36
CID50,DID854
CID50,DID88
CID51,DID608
CID51,DID667
CID52,DID190
CID52,DID733
CID53,DID561
CID53,DID791
CID54,DID71
CID54,DID9
CID55,DID30
CID55,DID385
CID56,DID222
CID56,DID918
CID57,DID449
CID57,DID599
CID58,DID143
CID58,DID574
CID59,DID19
CID59,DID619
CID60,DID840
CID60,DID898
CID61,DID20
CID61,DID519
CID62,DID806
CID62,DID986
CID63,DID696
CID63,DID9
CID64,DID698
CID64,DID847
CID65,DID326
CID65,DID843
CID66,DID147
CID66,DID38
CID67,DID565
CID67,DID71
CID68,DID887
CID68,DID992
CID69,DID361
CID69,DID874
CID70,DID551
CID70,DID895
CID71,DID670
CID71,DID86
CID72,DID381
CID72,DID511
CID73,DID603
CID73,DID735
CID74,DID333
CID74,DID479
CID75,DID911
CID75,DID98
CID76,DID223
CID76,DID750
CID77,DID11
CID77,DID190
CID78,DID366
CID78,DID409
CID79,DID64
CID79,DID995
CID80,DID54
CID80,DID807
CID81,DID549
CID81,DID818
CID82,DID277
CID82,DID860
CID83,DID588
CID83,DID895
CID84,DID407
CID84,DID834
CID85,DID675
CID85,DID924
CID86,DID784
CID86,DID967
CID87,DID569
CID87,DID696
CID88,DID134
CID88,DID550
CID89,DID146
CID89,DID667
CID90,DID255
CID90,DID660
CID91,DID121
CID91,DID417
CID92,DID409
CID92,DID838
CID93,DID591
CID93,DID919
CID94,DID126
CID94,DID662
CID95,DID50
CID95,DID972
CID96,DID229
CID96,DID528
CID97,DID298
CID97,DID938
CID98,DID257
CID98,DID306
CID99,DID440
CID99,DID791
CID100,DID150
CID100,DID58
CID101,DID100
CID101,DID580
CID102,DID124
CID102,DID368
CID103,DID294
CID103,DID393
CID104,DID362
CID104,DID742
CID105,DID351
CID105,DID797
CID106,DID398
CID106,DID452
CID107,DID236
CID107,DID419
CID108,DID132
CID108,DID249
CID109,DID263
CID109,DID96
CID110,DID511
CID110,DID913
CID111,DID276
CID111,DID77
CID112,DID5
CID112,DID756
CID113,DID656
CID113,DID789
CID114,DID452
CID114,DID592
CID115,DID939
CID115,DID999
CID116,DID176
CID116,DID701
CID117,DID371
CID117,DID515
CID118,DID267
CID118,DID563
CID119,DID667
CID119,DID745
CID120,DID31
CID120,DID458
CID121,DID909
CID121,DID986
CID122,DID156
CID122,DID64
CID123,DID852
CID123,DID983
CID124,DID563
CID124,DID718
CID125,DID101
CID125,DID776
CID126,DID22
CID126,DID925
CID127,DID626
CID127,DID949
CID128,DID555
CID128,DID63
CID129,DID503
CID129,DID907
CID130,DID512
CID130,DID539
CID131,DID152
CID131,DID971
CID132,DID116
CID132,DID186
CID133,DID440
CID133,DID631
CID134,DID647
CID134,DID773
CID135,DID667
CID135,DID971
CID136,DID481
CID136,DID696
CID137,DID408
CID137,DID532
CID138,DID17
CID138,DID995
CID139,DID272
CID139,DID749
CID140,DID349
CID140,DID432
CID141,DID145
CID141,DID489
CID142,DID193
CID142,DID911
CID143,DID392
CID143,DID727
CID144,DID571
CID144,DID612
CID145,DID181
CID145,DID950
CID146,DID148
CID146,DID821
CID147,DID319
CID147,DID971
CID148,DID348
CID148,DID60
CID149,DID238
CID149,DID903
CID150,DID175
CID150,DID618
CID151,DID203
CID151,DID500
CID152,DID525
CID152,DID789
CID153,DID308
CID153,DID420
CID154,DID893
CID154,DID97
CID155,DID244
CID155,DID997
CID156,DID384
CID156,DID677
CID157,DID335
CID157,DID525
CID158,DID86
CID158,DID940
CID159,DID364
CID159,DID510
CID160,DID447
CID160,DID625
CID161,DID491
CID161,DID655
CID162,DID170
CID162,DID371
CID163,DID140
CID163,DID353
CID164,DID567
CID164,DID586
CID165,DID143
CID165,DID317
CID166,DID497
CID166,DID654
CID167,DID317
CID167,DID609
CID168,DID190
CID168,DID905
CID169,DID191
CID169,DID785
CID170,DID828
CID170,DID906
CID171,DID543
CID171,DID83
CID172,DID24
CID172,DID378
CID173,DID561
CID173,DID806
CID174,DID974
CID174,DID999
CID175,DID270
CID175,DID340
CID176,DID161
CID176,DID448
CID177,DID640
CID177,DID788
CID178,DID605
CID178,DID735
CID179,DID201
CID179,DID271
CID180,DID306
CID180,DID417
CID181,DID800
CID181,DID943
CID182,DID355
CID182,DID744
CID183,DID374
CID183,DID7
CID184,DID30
CID184,DID89
CID185,DID433
CID185,DID617
CID186,DID513
CID186,DID867
CID187,DID321
CID187,DID59
CID188,DID189
CID188,DID967
CID189,DID19
CID189,DID636
CID190,DID13
CID190,DID66
CID191,DID117
CID191,DID742
CID192,DID26
CID192,DID862
CID193,DID521
CID193,DID830
CID194,DID20
CID194,DID894
CID195,DID416
CID195,DID43
CID196,DID456
CID196,DID686
CID197,DID37
CID197,DID39
CID198,DID893
CID198,DID949
CID199,DID542
CID199,DID746
CID200,DID300
CID200,DID558
CID201,DID303
CID201,DID70
CID202,DID91
CID202,DID996
CID203,DID5
CID203,DID610
CID204,DID739
CID204,DID851
CID205,DID10
CID205,DID89
CID206,DID417
CID206,DID886
CID207,DID713
CID207,DID920
CID208,DID516
CID208,DID887
CID209,DID839
CID209,DID931
CID210,DID527
CID210,DID811
CID211,DID367
CID211,DID387
CID212,DID388
CID212,DID580
CID213,DID11
CID213,DID724
CID214,DID160
CID214,DID562
CID215,DID125
CID215,DID760
CID216,DID892
CID216,DID915
CID217,DID143
CID217,DID703
CID218,DID349
CID218,DID451
CID219,DID428
CID219,DID760
CID220,DID164
CID220,DID485
CID221,DID174
CID221,DID749
CID222,DID800
CID222,DID820
CID223,DID147
CID223,DID275
CID224,DID468
CID224,DID774
CID225,DID863
CID225,DID982
CID226,DID388
CID226,DID593
CID227,DID590
CID227,DID82
CID228,DID507
CID228,DID757
CID229,DID50
CID229,DID682
CID230,DID399
CID230,DID904
CID231,DID690
CID231,DID869
CID232,DID651
CID232,DID851
CID233,DID299
CID233,DID357
CID234,DID532
CID234,DID855
CID235,DID624
CID235,DID792
CID236,DID363
CID236,DID466
CID237,DID390
CID237,DID79
CID238,DID418
CID238,DID729
CID239,DID207
CID239,DID42
CID240,DID128
CID240,DID854
CID241,DID214
CID241,DID551
CID242,DID511
CID242,DID761
CID243,DID6
CID243,DID768
CID244,DID550
CID244,DID609
CID245,DID620
CID245,DID919
CID246,DID152
CID246,DID812
CID247,DID654
CID247,DID774
CID248,DID143
CID248,DID398
CID249,DID42
CID249,DID808
CID250,DID151
CID250,DID897
CID251,DID731
CID251,DID880
CID252,DID298
CID252,DID872
CID253,DID455
