"AID","CID"
"AID582","CID1"
"AID648","CID1"
"AID603","CID1"
"AID705","CID1"
"AID325","CID3"
"AID2353","CID3"
"AID1055","CID4"
"AID2657","CID4"
"AID418","CID4"
"AID632","CID4"
"AID801","CID4"
"AID2629","CID4"
"AID235","CID5"
"AID1472","CID5"
"AID2594","CID5"
"AID282","CID6"
"AID305","CID6"
"AID1574","CID6"
"AID570","CID7"
"AID1593","CID7"
"AID1754","CID7"
"AID680","CID7"
"AID741","CID7"
"AID1916","CID7"
"AID2534","CID7"
"AID2453","CID8"
"AID1049","CID9"
"AID1529","CID9"
"AID1029","CID9"
"AID1102","CID9"
"AID561","CID10"
"AID2864","CID10"
"AID2910","CID10"
"AID904","CID11"
"AID731","CID12"
"AID799","CID12"
"AID981","CID12"
"AID820","CID13"
"AID1404","CID13"
"AID1496","CID13"
"AID2498","CID13"
"AID1133","CID13"
"AID1894","CID13"
"AID2652","CID13"
"AID2874","CID13"
"AID511","CID14"
"AID1704","CID14"
"AID2316","CID14"
"AID2697","CID14"
"AID1433","CID16"
"AID640","CID16"
"AID820","CID16"
"AID2498","CID16"
"AID2758","CID16"
"AID956","CID17"
"AID1115","CID18"
"AID1524","CID18"
"AID2176","CID18"
"AID538","CID18"
"AID926","CID19"
"AID833","CID19"
"AID2171","CID19"
"AID2201","CID19"
"AID2639","CID19"
"AID2781","CID19"
"AID1409","CID19"
"AID1694","CID19"
"AID2218","CID19"
"AID1046","CID20"
"AID1600","CID20"
"AID2619","CID20"
"AID287","CID21"
"AID1887","CID21"
"AID1986","CID21"
"AID1069","CID21"
"AID1200","CID21"
"AID1589","CID21"
"AID2644","CID21"
"AID967","CID22"
"AID1691","CID22"
"AID2601","CID22"
"AID358","CID22"
"AID1020","CID22"
"AID1082","CID22"
"AID2359","CID22"
"AID846","CID22"
"AID1968","CID23"
"AID582","CID23"
"AID648","CID23"
"AID1087","CID24"
"AID2839","CID24"
"AID254","CID24"
"AID310","CID25"
"AID315","CID25"
"AID969","CID25"
"AID1051","CID25"
"AID2363","CID25"
"AID2772","CID25"
"AID1113","CID25"
"AID2221","CID25"
"AID1875","CID26"
"AID2002","CID26"
"AID1136","CID27"
"AID1561","CID27"
"AID2264","CID27"
"AID2640","CID27"
"AID557","CID27"
"AID1817","CID27"
"AID239","CID28"
"AID2768","CID28"
"AID1174","CID29"
"AID1424","CID29"
"AID1706","CID29"
"AID2098","CID29"
"AID790","CID30"
"AID1736","CID30"
"AID1920","CID30"
"AID2649","CID30"
"AID2437","CID31"
"AID268","CID32"
"AID329","CID32"
"AID2011","CID32"
"AID2685","CID32"
"AID1689","CID32"
"AID455","CID32"
"AID1448","CID32"
"AID1337","CID33"
"AID1626","CID33"
"AID1643","CID33"
"AID241","CID34"
"AID918","CID34"
"AID2022","CID35"
"AID1248","CID36"
"AID1469","CID36"
"AID511","CID37"
"AID668","CID37"
"AID409","CID37"
"AID1100","CID37"
"AID2088","CID37"
"AID517","CID38"
"AID2269","CID38"
"AID2776","CID38"
"AID1628","CID39"
"AID2087","CID39"
"AID2770","CID39"
"AID823","CID39"
"AID2276","CID39"
"AID2688","CID40"
"AID642","CID40"
"AID1240","CID40"
"AID259","CID41"
"AID1468","CID41"
"AID502","CID41"
"AID539","CID41"
"AID1618","CID41"
"AID56","CID42"
"AID351","CID42"
"AID949","CID42"
"AID1401","CID42"
"AID2613","CID42"
"AID438","CID42"
"AID2467","CID42"
"AID2659","CID42"
"AID2093","CID43"
"AID2582","CID43"
"AID490","CID44"
"AID1686","CID45"
"AID487","CID45"
"AID742","CID45"
"AID1296","CID45"
"AID1344","CID45"
"AID1687","CID46"
"AID1507","CID46"
"AID2566","CID46"
"AID654","CID47"
"AID946","CID47"
"AID1364","CID47"
"AID259","CID48"
"AID1468","CID48"
"AID1740","CID49"
"AID2975","CID50"
"AID1098","CID51"
"AID2786","CID51"
"AID640","CID52"
"AID820","CID52"
"AID2498","CID52"
"AID2758","CID52"
"AID367","CID52"
"AID884","CID53"
"AID1294","CID53"
"AID1606","CID53"
"AID802","CID53"
"AID1787","CID53"
"AID2159","CID53"
"AID2886","CID53"
"AID2683","CID54"
"AID123","CID55"
"AID631","CID56"
"AID715","CID56"
"AID2730","CID56"
"AID102","CID56"
"AID1991","CID56"
"AID138","CID57"
"AID177","CID57"
"AID1097","CID57"
"AID1111","CID57"
"AID1185","CID57"
"AID2962","CID58"
"AID1593","CID59"
"AID1754","CID59"
"AID982","CID59"
"AID1919","CID59"
"AID554","CID60"
"AID1035","CID60"
"AID1365","CID60"
"AID1037","CID60"
"AID67","CID61"
"AID695","CID61"
"AID113","CID62"
"AID1002","CID62"
"AID1347","CID62"
"AID1796","CID62"
"AID41","CID62"
"AID1138","CID62"
"AID1262","CID62"
"AID1958","CID63"
"AID909","CID65"
"AID1451","CID65"
"AID763","CID66"
"AID2118","CID66"
"AID1390","CID67"
"AID2630","CID67"
"AID2517","CID67"
"AID2865","CID67"
"AID69","CID68"
"AID2983","CID68"
"AID2224","CID68"
"AID210","CID68"
"AID706","CID68"
"AID1525","CID68"
"AID1117","CID69"
"AID2489","CID69"
"AID236","CID69"
"AID329","CID69"
"AID2770","CID69"
"AID69","CID70"
"AID2983","CID70"
"AID2130","CID71"
"AID2235","CID71"
"AID2402","CID71"
"AID23","CID72"
"AID754","CID72"
"AID1430","CID72"
"AID1414","CID72"
"AID2886","CID72"
"AID236","CID73"
"AID679","CID73"
"AID1046","CID73"
"AID2212","CID73"
"AID1811","CID73"
"AID2166","CID73"
"AID2199","CID73"
"AID902","CID73"
"AID1672","CID74"
"AID2680","CID76"
"AID127","CID76"
"AID1070","CID76"
"AID1497","CID76"
"AID2261","CID76"
"AID2711","CID76"
"AID1728","CID77"
"AID2234","CID77"
"AID1115","CID78"
"AID1524","CID78"
"AID2176","CID78"
"AID2326","CID79"
"AID268","CID79"
"AID1165","CID79"
"AID1719","CID80"
"AID1919","CID80"
"AID2986","CID80"
"AID769","CID80"
"AID1454","CID80"
"AID1790","CID80"
"AID2679","CID80"
"AID2089","CID81"
"AID2790","CID82"
"AID2940","CID82"
"AID1002","CID82"
"AID2376","CID82"
"AID2893","CID82"
"AID1455","CID83"
"AID2147","CID83"
"AID2477","CID83"
"AID2928","CID83"
"AID1323","CID83"
"AID1832","CID83"
"AID314","CID84"
"AID342","CID84"
"AID1331","CID84"
"AID2936","CID84"
"AID548","CID85"
"AID920","CID85"
"AID42","CID85"
"AID1699","CID85"
"AID2539","CID85"
"AID627","CID86"
"AID2172","CID86"
"AID2768","CID86"
"AID1498","CID86"
"AID8","CID87"
"AID296","CID87"
"AID696","CID87"
"AID1602","CID87"
"AID11","CID87"
"AID642","CID87"
"AID1240","CID87"
"AID1734","CID88"
"AID1942","CID88"
"AID1599","CID88"
"AID1647","CID88"
"AID2262","CID88"
"AID867","CID88"
"AID2946","CID89"
"AID1127","CID90"
"AID2473","CID90"
"AID33","CID90"
"AID427","CID90"
"AID2068","CID90"
"AID2102","CID90"
"AID108","CID91"
"AID707","CID91"
"AID1827","CID91"
"AID2729","CID91"
"AID1431","CID92"
"AID1595","CID92"
"AID1656","CID92"
"AID2053","CID92"
"AID1076","CID92"
"AID282","CID93"
"AID35","CID93"
"AID1095","CID93"
"AID1888","CID93"
"AID2593","CID93"
"AID312","CID94"
"AID1233","CID94"
"AID2576","CID94"
"AID409","CID94"
"AID1969","CID94"
"AID1411","CID94"
"AID1708","CID94"
"AID16","CID95"
"AID1907","CID95"
"AID1948","CID95"
"AID2903","CID95"
"AID609","CID96"
"AID1841","CID96"
"AID2006","CID96"
"AID2862","CID96"
"AID2132","CID97"
"AID2859","CID97"
"AID1534","CID98"
"AID42","CID98"
"AID1699","CID98"
"AID2539","CID98"
"AID1938","CID99"
"AID293","CID100"
"AID391","CID100"
"AID522","CID100"
"AID2318","CID100"
"AID335","CID100"
"AID892","CID100"
"AID1230","CID100"
"AID1217","CID101"
"AID1863","CID101"
"AID2101","CID101"
"AID790","CID101"
"AID1736","CID101"
"AID1920","CID101"
"AID2649","CID101"
"AID727","CID102"
"AID428","CID102"
"AID1089","CID102"
"AID1892","CID102"
"AID2106","CID102"
"AID2128","CID102"
"AID109","CID103"
"AID328","CID103"
"AID660","CID103"
"AID932","CID103"
"AID1165","CID103"
"AID1198","CID103"
"AID2165","CID103"
"AID1323","CID104"
"AID2804","CID104"
"AID1031","CID104"
"AID1955","CID104"
"AID1779","CID105"
"AID983","CID106"
"AID1047","CID106"
"AID1412","CID106"
"AID2275","CID106"
"AID431","CID106"
"AID751","CID106"
"AID1471","CID106"
"AID2228","CID106"
"AID2571","CID106"
"AID2584","CID106"
"AID349","CID107"
"AID767","CID107"
"AID2919","CID107"
"AID1547","CID107"
"AID835","CID108"
"AID327","CID108"
"AID341","CID108"
"AID308","CID109"
"AID322","CID109"
"AID1829","CID109"
"AID2704","CID109"
"AID1139","CID109"
"AID1619","CID109"
"AID656","CID110"
"AID1133","CID111"
"AID1405","CID111"
"AID2084","CID111"
"AID2478","CID111"
"AID2637","CID111"
"AID53","CID111"
"AID2685","CID111"
"AID2209","CID111"
"AID2606","CID112"
"AID1015","CID112"
"AID1554","CID112"
"AID2828","CID112"
"AID2667","CID113"
"AID2993","CID113"
"AID1086","CID113"
"AID1004","CID113"
"AID62","CID114"
"AID1515","CID114"
"AID2531","CID114"
"AID1315","CID115"
"AID2668","CID115"
"AID835","CID116"
"AID1520","CID116"
"AID1555","CID116"
"AID2901","CID117"
"AID591","CID117"
"AID2742","CID117"
"AID642","CID118"
"AID1240","CID118"
"AID2068","CID119"
"AID45","CID119"
"AID1275","CID119"
"AID2880","CID120"
"AID486","CID120"
"AID2131","CID120"
"AID2384","CID121"
"AID1810","CID122"
"AID1039","CID122"
"AID63","CID122"
"AID2313","CID122"
"AID1566","CID123"
"AID1446","CID123"
"AID2699","CID123"
"AID2432","CID123"
"AID326","CID124"
"AID429","CID124"
"AID1951","CID124"
"AID1975","CID124"
"AID2228","CID124"
"AID1767","CID125"
"AID2345","CID125"
"AID591","CID126"
"AID2742","CID126"
"AID423","CID127"
"AID1562","CID127"
"AID2108","CID127"
"AID2563","CID127"
"AID64","CID128"
"AID1547","CID128"
"AID354","CID129"
"AID2623","CID129"
"AID860","CID129"
"AID1476","CID129"
"AID1806","CID130"
"AID1989","CID130"
"AID410","CID130"
"AID2854","CID130"
"AID1561","CID131"
"AID476","CID132"
"AID1134","CID132"
"AID1988","CID132"
"AID198","CID132"
"AID879","CID132"
"AID1723","CID132"
"AID5","CID133"
"AID877","CID133"
"AID1764","CID133"
"AID1851","CID133"
"AID170","CID133"
"AID1875","CID133"
"AID2068","CID133"
"AID476","CID134"
"AID2071","CID134"
"AID809","CID135"
"AID975","CID135"
"AID1597","CID135"
"AID1582","CID136"
"AID204","CID136"
"AID2619","CID136"
"AID311","CID137"
"AID2014","CID137"
"AID2090","CID137"
"AID2134","CID137"
"AID1624","CID138"
"AID2801","CID138"
"AID1590","CID139"
"AID1821","CID139"
"AID1918","CID139"
"AID2435","CID139"
"AID2312","CID139"
"AID2382","CID139"
"AID2420","CID140"
"AID438","CID141"
"AID2467","CID141"
"AID429","CID142"
"AID1209","CID142"
"AID1945","CID142"
"AID2877","CID142"
"AID401","CID142"
"AID480","CID142"
"AID1049","CID142"
"AID1594","CID142"
"AID1952","CID142"
"AID2653","CID142"
"AID2779","CID142"
"AID372","CID143"
"AID1843","CID143"
"AID1861","CID143"
"AID322","CID144"
"AID1055","CID144"
"AID2301","CID144"
"AID2849","CID144"
"AID144","CID145"
"AID1735","CID145"
"AID820","CID145"
"AID994","CID146"
"AID1371","CID146"
"AID2209","CID146"
"AID2133","CID147"
"AID2265","CID147"
"AID2926","CID147"
"AID2606","CID148"
"AID411","CID149"
"AID965","CID149"
"AID2826","CID149"
"AID2864","CID149"
"AID2967","CID149"
"AID2917","CID149"
"AID1938","CID150"
"AID2302","CID150"
"AID740","CID150"
"AID1214","CID151"
"AID1617","CID151"
"AID133","CID151"
"AID1747","CID151"
"AID2357","CID151"
"AID1102","CID151"
"AID1966","CID151"
"AID516","CID152"
"AID2959","CID152"
"AID393","CID153"
"AID2485","CID154"
"AID688","CID154"
"AID1452","CID154"
"AID295","CID154"
"AID1129","CID154"
"AID2456","CID155"
"AID649","CID155"
"AID1268","CID155"
"AID2382","CID155"
"AID2788","CID155"
"AID92","CID156"
"AID1387","CID156"
"AID1230","CID156"
"AID2664","CID156"
"AID1433","CID157"
"AID2094","CID159"
"AID2173","CID159"
"AID2984","CID159"
"AID1433","CID160"
"AID1635","CID160"
"AID624","CID160"
"AID711","CID160"
"AID1077","CID160"
"AID1080","CID160"
"AID1529","CID160"
"AID2372","CID160"
"AID2632","CID161"
"AID2693","CID161"
"AID453","CID161"
"AID1188","CID161"
"AID1690","CID161"
"AID2859","CID162"
"AID340","CID162"
"AID1862","CID162"
"AID2885","CID162"
"AID453","CID165"
"AID381","CID166"
"AID1374","CID166"
"AID516","CID167"
"AID548","CID167"
"AID1894","CID167"
"AID2982","CID167"
"AID2077","CID168"
"AID2438","CID168"
"AID2651","CID168"
"AID978","CID168"
"AID1848","CID168"
"AID1909","CID168"
"AID2942","CID168"
"AID100","CID168"
"AID1599","CID168"
"AID1751","CID168"
"AID2471","CID168"
