CID,BID
CID1,BID3331
CID1,BID3442
CID2,BID709
CID2,BID783
CID3,BID2029
CID3,BID2516
CID4,BID4012
CID4,BID4180
CID5,BID2576
CID5,BID3098
CID6,BID2075
CID6,BID2658
CID7,BID3459
CID7,BID4716
CID8,BID3085
CID8,BID3283
CID9,BID2872
CID9,BID4935
CID10,BID4305
CID10,BID4836
CID11,BID1455
CID11,BID2163
CID12,BID1986
CID12,BID2176
CID13,BID3014
CID13,BID4719
CID14,BID3328
CID14,BID3501
CID15,BID3595
CID15,BID4264
CID16,BID658
CID16,BID835
CID17,BID1681
CID17,BID484
CID18,BID2075
CID18,BID3783
CID19,BID466
CID19,BID4933
CID20,BID1701
CID20,BID243
CID21,BID1664
CID21,BID275
CID22,BID4839
CID22,BID599
CID23,BID3136
CID23,BID588
CID24,BID1899
CID24,BID431
CID25,BID3418
CID25,BID3552
CID26,BID3214
CID26,BID4952
CID27,BID3436
CID27,BID4693
CID28,BID249
CID28,BID3765
CID29,BID1313
CID29,BID2054
CID30,BID3181
CID30,BID676
CID31,BID485
CID31,BID696
CID32,BID1429
CID32,BID318
CID33,BID2080
CID33,BID2757
CID34,BID1637
CID34,BID2571
CID35,BID3098
CID35,BID4170
CID36,BID1548
CID36,BID2858
CID37,BID1655
CID37,BID4188
CID38,BID2907
CID38,BID3184
CID39,BID1814
CID39,BID4957
CID40,BID1093
CID40,BID116
CID41,BID4857
CID41,BID77
CID42,BID11
CID42,BID391
CID43,BID2458
CID43,BID947
CID44,BID3786
CID44,BID598
CID45,BID2827
CID45,BID404
CID46,BID2884
CID46,BID4234
CID47,BID1001
CID47,BID2321
CID48,BID2895
CID48,BID801
CID49,BID1280
CID49,BID2015
CID50,BID3778
CID50,BID3813
CID51,BID1112
CID51,BID2761
CID52,BID2996
CID52,BID755
CID53,BID150
CID53,BID2293
CID54,BID3606
CID54,BID961
CID55,BID126
CID55,BID2962
CID56,BID1370
CID56,BID4527
CID57,BID1650
CID57,BID3576
CID58,BID1050
CID58,BID2346
CID59,BID4336
CID59,BID709
CID60,BID1547
CID60,BID3854
CID61,BID2416
CID61,BID2777
CID62,BID2459
CID62,BID525
CID63,BID279
CID63,BID850
CID64,BID2429
CID64,BID4690
CID65,BID1932
CID65,BID4464
CID66,BID3109
CID66,BID4756
CID67,BID1764
CID67,BID3336
CID68,BID2981
CID68,BID3513
CID69,BID4782
CID69,BID502
CID70,BID2552
CID70,BID594
CID71,BID3222
CID71,BID49
CID72,BID4561
CID72,BID586
CID73,BID1401
CID73,BID491
CID74,BID382
CID74,BID904
CID75,BID1722
CID75,BID2497
CID76,BID2486
CID76,BID3400
CID77,BID3994
CID77,BID761
CID78,BID186
CID78,BID2248
CID79,BID1209
CID79,BID2290
CID80,BID2941
CID80,BID3572
CID81,BID2025
CID81,BID2250
CID82,BID2862
CID82,BID4537
CID83,BID3195
CID83,BID828
CID84,BID1422
CID84,BID2114
CID85,BID3116
CID85,BID4489
CID86,BID381
CID86,BID4884
CID87,BID2716
CID87,BID4222
CID88,BID1413
CID88,BID43
CID89,BID2165
CID89,BID326
CID90,BID2329
CID90,BID3321
CID91,BID1344
CID91,BID2372
CID92,BID4133
CID92,BID4870
CID93,BID222
CID93,BID4873
CID94,BID4390
CID94,BID837
CID95,BID214
CID95,BID2531
CID96,BID2879
CID96,BID3477
CID97,BID253
CID97,BID4483
CID98,BID1702
CID98,BID4584
CID99,BID190
CID99,BID3686
CID100,BID1609
CID100,BID2480
CID101,BID3206
CID101,BID918
CID102,BID2448
CID102,BID3047
CID103,BID2561
CID103,BID4347
CID104,BID4260
CID104,BID4985
CID105,BID4026
CID105,BID4546
CID106,BID1803
CID106,BID3613
CID107,BID1691
CID107,BID2454
CID108,BID1654
CID108,BID4454
CID109,BID385
CID109,BID81
CID110,BID2381
CID110,BID312
CID111,BID2441
CID111,BID3391
CID112,BID2526
CID112,BID692
CID113,BID2591
CID113,BID4779
CID114,BID2490
CID114,BID3829
CID115,BID2270
CID115,BID3007
CID116,BID161
CID116,BID4644
CID117,BID1454
CID117,BID4298
CID118,BID3050
CID118,BID4147
CID119,BID1244
CID119,BID4340
CID120,BID3017
CID120,BID3070
CID121,BID219
CID121,BID2365
CID122,BID2255
CID122,BID4344
CID123,BID3429
CID123,BID467
CID124,BID1175
CID124,BID4688
CID125,BID3185
CID125,BID4058
CID126,BID1025
CID126,BID4215
CID127,BID2556
CID127,BID374
CID128,BID2312
CID128,BID3278
CID129,BID2170
CID129,BID3152
CID130,BID1334
CID130,BID3193
CID131,BID183
CID131,BID4249
CID132,BID1400
CID132,BID1689
CID133,BID1694
CID133,BID861
CID134,BID2164
CID134,BID2271
CID135,BID3045
CID135,BID3152
CID136,BID3192
CID136,BID933
CID137,BID3848
CID137,BID559
CID138,BID1806
CID138,BID3123
CID139,BID2671
CID139,BID690
CID140,BID1045
CID140,BID4595
CID141,BID2324
CID141,BID3264
CID142,BID1397
CID142,BID817
CID143,BID1477
CID143,BID358
CID144,BID3460
CID144,BID4645
CID145,BID3620
CID145,BID784
CID146,BID1957
CID146,BID4071
CID147,BID1958
CID147,BID4942
CID148,BID1599
CID148,BID651
CID149,BID499
CID149,BID951
CID150,BID1390
CID150,BID4950
CID151,BID1252
CID151,BID208
CID152,BID2389
CID152,BID2570
CID153,BID4478
CID153,BID4859
CID154,BID3598
CID154,BID3807
CID155,BID1395
CID155,BID3341
CID156,BID1719
CID156,BID3414
CID157,BID1350
CID157,BID2813
CID158,BID2319
CID158,BID2330
CID159,BID1277
CID159,BID1329
CID160,BID2079
CID160,BID4304
CID161,BID2648
CID161,BID900
CID162,BID169
CID162,BID4436
CID163,BID1349
CID163,BID3453
CID164,BID2044
CID164,BID3457
CID165,BID2838
CID165,BID3713
CID166,BID1171
CID166,BID260
CID167,BID1055
CID167,BID2341
CID168,BID3552
CID168,BID668
CID169,BID197
CID169,BID3825
CID170,BID1590
CID170,BID2091
CID171,BID4307
CID171,BID948
CID172,BID3639
CID172,BID729
CID173,BID1883
CID173,BID956
CID174,BID1537
CID174,BID1843
CID175,BID2694
CID175,BID4773
CID176,BID1131
CID176,BID3501
CID177,BID1072
CID177,BID3834
CID178,BID3939
CID178,BID4475
CID179,BID1866
CID179,BID70
CID180,BID3850
CID180,BID487
CID181,BID2410
CID181,BID4258
CID182,BID2937
CID182,BID990
CID183,BID2567
CID183,BID4929
CID184,BID3059
CID184,BID4629
CID185,BID1022
CID185,BID3559
CID186,BID3104
CID186,BID347
CID187,BID2744
CID187,BID935
CID188,BID4208
CID188,BID711
CID189,BID2390
CID189,BID3032
CID190,BID3103
CID190,BID569
CID191,BID3632
CID191,BID3811
CID192,BID2131
CID192,BID3842
CID193,BID2634
CID193,BID4008
CID194,BID182
CID194,BID2380
CID195,BID3805
CID195,BID4838
CID196,BID316
CID196,BID4408
CID197,BID3601
CID197,BID4830
CID198,BID1939
CID198,BID3870
CID199,BID2012
CID199,BID2718
CID200,BID1780
CID200,BID2236
CID201,BID119
CID201,BID3033
CID202,BID1356
CID202,BID71
CID203,BID1473
CID203,BID248
CID204,BID1705
CID204,BID4367
CID205,BID2584
CID205,BID4555
CID206,BID1163
CID206,BID4403
CID207,BID3991
CID207,BID426
CID208,BID4146
CID208,BID780
CID209,BID1453
CID209,BID966
CID210,BID1379
CID210,BID4718
CID211,BID1845
CID211,BID613
CID212,BID1224
CID212,BID1900
CID213,BID1070
CID213,BID2062
CID214,BID1577
CID214,BID4493
CID215,BID3355
CID215,BID340
CID216,BID2968
CID216,BID955
CID217,BID1983
CID217,BID3994
CID218,BID2767
CID218,BID4433
CID219,BID1329
CID219,BID4238
CID220,BID434
CID220,BID4379
CID221,BID220
CID221,BID987
CID222,BID2807
CID222,BID611
CID223,BID1037
CID223,BID51
CID224,BID2342
CID224,BID2757
CID225,BID424
CID225,BID981
CID226,BID478
CID226,BID4878
CID227,BID256
CID227,BID4008
CID228,BID3191
CID228,BID3315
CID229,BID2721
CID229,BID3508
CID230,BID1537
CID230,BID3736
CID231,BID1390
CID231,BID4182
CID232,BID1505
CID232,BID173
CID233,BID2296
CID233,BID614
CID234,BID1834
CID234,BID2646
CID235,BID1498
CID235,BID3373
CID236,BID2591
CID236,BID715
CID237,BID1260
CID237,BID2207
CID238,BID2332
CID238,BID2868
CID239,BID2124
CID239,BID3154
CID240,BID2981
CID240,BID3632
CID241,BID19
CID241,BID2732
CID242,BID643
CID242,BID730
CID243,BID83
CID243,BID838
CID244,BID3563
CID244,BID569
CID245,BID2649
CID245,BID320
CID246,BID1412
CID246,BID3875
CID247,BID1315
CID247,BID3277
CID248,BID4794
CID248,BID4899
CID249,BID2268
CID249,BID4335
CID250,BID4328
CID250,BID4486
CID251,BID386
CID251,BID4211
CID252,BID1819
CID252,BID3870
CID253,BID238
CID253,BID4308
CID254,BID2633
CID254,BID4676
CID255,BID1382
CID255,BID1439
CID256,BID1898
CID256,BID4096
CID257,BID1374
CID257,BID4765
CID258,BID1619
CID258,BID1988
CID259,BID2030
CID259,BID398
CID260,BID1055
CID260,BID1884
CID261,BID3144
CID261,BID81
CID262,BID2473
CID262,BID584
CID263,BID4909
CID263,BID763
CID264,BID1794
CID264,BID2801
CID265,BID3254
CID265,BID970
CID266,BID1912
CID266,BID4173
CID267,BID3105
CID267,BID4860
CID268,BID1555
CID268,BID3154
CID269,BID137
CID269,BID2325
CID270,BID4273
CID270,BID4682
CID271,BID2853
CID271,BID683
CID272,BID2375
CID272,BID4995
CID273,BID2413
CID273,BID313
CID274,BID1015
CID274,BID323
CID275,BID4216
CID275,BID4296
CID276,BID1964
CID276,BID699
CID277,BID12
CID277,BID2677
CID278,BID1538
CID278,BID4063
CID279,BID1041
CID279,BID2788
CID280,BID2742
CID280,BID4803
CID281,BID2304
CID281,BID945
CID282,BID1190
CID282,BID4568
CID283,BID2907
CID283,BID738
CID284,BID399
CID284,BID84
CID285,BID1385
CID285,BID15
CID286,BID2433
CID286,BID4091
CID287,BID1766
CID287,BID2712
CID288,BID1934
CID288,BID3912
CID289,BID2948
CID289,BID4864
CID290,BID2007
CID290,BID4723
CID291,BID2001
CID291,BID2594
CID292,BID1950
CID292,BID3840
CID293,BID2787
CID293,BID564
CID294,BID231
CID294,BID2676
CID295,BID1193
CID295,BID2888
CID296,BID339
CID296,BID4933
CID297,BID3201
CID297,BID4242
CID298,BID1879
CID298,BID540
CID299,BID3835
CID299,BID662
CID300,BID3120
CID300,BID434
CID301,BID1815
CID301,BID52
CID302,BID3657
