"DID","AID"
"DID387","AID146"
"DID387","AID474"
"DID387","AID2669"
"DID387","AID1356"
"DID387","AID2461"
"DID1304","AID1278"
"DID614","AID1278"
"DID1304","AID2331"
"DID614","AID2331"
"DID177","AID899"
"DID177","AID957"
"DID177","AID2397"
"DID177","AID2796"
"DID177","AID100"
"DID177","AID1172"
"DID177","AID2028"
"DID1272","AID2252"
"DID1272","AID2785"
"DID1272","AID2923"
"DID581","AID1619"
"DID581","AID34"
"DID581","AID2557"
"DID581","AID556"
"DID581","AID992"
"DID581","AID1859"
"DID581","AID1186"
"DID581","AID725"
"DID581","AID1878"
"DID581","AID1907"
"DID1424","AID2254"
"DID1424","AID325"
"DID1424","AID39"
"DID1424","AID1590"
"DID1424","AID2358"
"DID1424","AID2629"
"DID1424","AID1429"
"DID1424","AID1890"
"DID1424","AID1915"
"DID1424","AID884"
"DID1424","AID1928"
"DID1424","AID1909"
"DID1424","AID2764"
"DID160","AID1922"
"DID657","AID1922"
"DID160","AID2590"
"DID657","AID2590"
"DID160","AID2804"
"DID657","AID2804"
"DID160","AID2210"
"DID657","AID2210"
"DID160","AID2227"
"DID657","AID2227"
"DID160","AID2496"
"DID657","AID2496"
"DID160","AID2520"
"DID657","AID2520"
"DID160","AID24"
"DID657","AID24"
"DID160","AID323"
"DID657","AID323"
"DID160","AID85"
"DID657","AID85"
"DID160","AID254"
"DID657","AID254"
"DID160","AID1817"
"DID657","AID1817"
"DID160","AID2884"
"DID657","AID2884"
"DID1285","AID344"
"DID1285","AID330"
"DID1285","AID393"
"DID1285","AID2427"
"DID1285","AID2739"
"DID1285","AID2383"
"DID1229","AID641"
"DID1229","AID749"
"DID1229","AID2518"
"DID1229","AID1182"
"DID1229","AID1384"
"DID1229","AID447"
"DID1229","AID1769"
"DID1229","AID200"
"DID1229","AID316"
"DID1229","AID704"
"DID1229","AID1828"
"DID1229","AID1876"
"DID1229","AID2893"
"DID1392","AID665"
"DID730","AID665"
"DID1392","AID707"
"DID730","AID707"
"DID1392","AID1499"
"DID730","AID1499"
"DID1392","AID2860"
"DID730","AID2860"
"DID1392","AID235"
"DID730","AID235"
"DID1392","AID243"
"DID730","AID243"
"DID1392","AID988"
"DID730","AID988"
"DID1392","AID546"
"DID730","AID546"
"DID849","AID1680"
"DID1167","AID265"
"DID1167","AID948"
"DID1167","AID1617"
"DID1167","AID2103"
"DID1167","AID2429"
"DID1167","AID2611"
"DID1167","AID121"
"DID1167","AID1762"
"DID1167","AID2115"
"DID1167","AID1015"
"DID1167","AID1252"
"DID1167","AID2399"
"DID1167","AID2830"
"DID1167","AID454"
"DID1167","AID1868"
"DID1167","AID2633"
"DID1336","AID257"
"DID1336","AID1339"
"DID1336","AID343"
"DID1336","AID395"
"DID1336","AID799"
"DID1399","AID604"
"DID1399","AID873"
"DID1399","AID2319"
"DID1399","AID631"
"DID1399","AID1063"
"DID1399","AID1325"
"DID1399","AID2508"
"DID1399","AID2835"
"DID1399","AID2847"
"DID1399","AID147"
"DID1399","AID2909"
"DID1399","AID1383"
"DID1399","AID423"
"DID1478","AID118"
"DID856","AID118"
"DID1478","AID1539"
"DID856","AID1539"
"DID340","AID1215"
"DID340","AID2437"
"DID340","AID2770"
"DID340","AID725"
"DID340","AID1878"
"DID340","AID1907"
"DID108","AID1509"
"DID640","AID1509"
"DID108","AID2639"
"DID640","AID2639"
"DID108","AID2153"
"DID640","AID2153"
"DID1283","AID16"
"DID185","AID16"
"DID1283","AID181"
"DID185","AID181"
"DID1283","AID1143"
"DID185","AID1143"
"DID1283","AID2885"
"DID185","AID2885"
"DID1283","AID2923"
"DID185","AID2923"
"DID1283","AID816"
"DID185","AID816"
"DID1283","AID1046"
"DID185","AID1046"
"DID1283","AID1427"
"DID185","AID1427"
"DID1283","AID1502"
"DID185","AID1502"
"DID1283","AID1711"
"DID185","AID1711"
"DID1283","AID1909"
"DID185","AID1909"
"DID1283","AID2764"
"DID185","AID2764"
"DID1283","AID219"
"DID185","AID219"
"DID1283","AID2029"
"DID185","AID2029"
"DID1283","AID2882"
"DID185","AID2882"
"DID1063","AID1240"
"DID1063","AID1325"
"DID1063","AID2"
"DID1063","AID894"
"DID1063","AID2580"
"DID1063","AID820"
"DID760","AID522"
"DID816","AID522"
"DID760","AID1126"
"DID816","AID1126"
"DID760","AID2171"
"DID816","AID2171"
"DID760","AID9"
"DID816","AID9"
"DID760","AID1311"
"DID816","AID1311"
"DID760","AID1949"
"DID816","AID1949"
"DID760","AID2169"
"DID816","AID2169"
"DID760","AID947"
"DID816","AID947"
"DID760","AID1008"
"DID816","AID1008"
"DID760","AID1143"
"DID816","AID1143"
"DID760","AID1530"
"DID816","AID1530"
"DID1296","AID437"
"DID1300","AID437"
"DID1296","AID1083"
"DID1300","AID1083"
"DID1296","AID1358"
"DID1300","AID1358"
"DID1296","AID256"
"DID1300","AID256"
"DID1220","AID468"
"DID1220","AID1476"
"DID1220","AID2477"
"DID1220","AID1879"
"DID1220","AID2921"
"DID1220","AID374"
"DID1220","AID1127"
"DID1220","AID1735"
"DID631","AID489"
"DID947","AID489"
"DID631","AID1139"
"DID947","AID1139"
"DID631","AID2339"
"DID947","AID2339"
"DID631","AID2977"
"DID947","AID2977"
"DID418","AID2369"
"DID418","AID2261"
"DID418","AID451"
"DID418","AID1092"
"DID418","AID1253"
"DID418","AID1239"
"DID418","AID1867"
"DID1330","AID725"
"DID23","AID725"
"DID1330","AID1577"
"DID23","AID1577"
"DID1330","AID601"
"DID23","AID601"
"DID1330","AID2056"
"DID23","AID2056"
"DID1330","AID2087"
"DID23","AID2087"
"DID1330","AID2559"
"DID23","AID2559"
"DID1330","AID425"
