"DID","AID"
"DID1017","AID582"
"DID1728","AID582"
"DID1809","AID582"
"DID1946","AID582"
"DID1017","AID648"
"DID1728","AID648"
"DID1809","AID648"
"DID1946","AID648"
"DID1017","AID603"
"DID1728","AID603"
"DID1809","AID603"
"DID1946","AID603"
"DID1017","AID705"
"DID1728","AID705"
"DID1809","AID705"
"DID1946","AID705"
"DID116","AID325"
"DID1468","AID325"
"DID1557","AID325"
"DID9","AID325"
"DID116","AID2353"
"DID1468","AID2353"
"DID1557","AID2353"
"DID9","AID2353"
"DID118","AID1055"
"DID1227","AID1055"
"DID118","AID2657"
"DID1227","AID2657"
"DID118","AID418"
"DID1227","AID418"
"DID118","AID632"
"DID1227","AID632"
"DID118","AID801"
"DID1227","AID801"
"DID118","AID2629"
"DID1227","AID2629"
"DID1220","AID235"
"DID299","AID235"
"DID397","AID235"
"DID1220","AID1472"
"DID299","AID1472"
"DID397","AID1472"
"DID1220","AID2594"
"DID299","AID2594"
"DID397","AID2594"
"DID1208","AID282"
"DID1253","AID282"
"DID1337","AID282"
"DID501","AID282"
"DID1208","AID305"
"DID1253","AID305"
"DID1337","AID305"
"DID501","AID305"
"DID1208","AID1574"
"DID1253","AID1574"
"DID1337","AID1574"
"DID501","AID1574"
"DID1019","AID570"
"DID159","AID570"
"DID888","AID570"
"DID1019","AID1593"
"DID159","AID1593"
"DID888","AID1593"
"DID1019","AID1754"
"DID159","AID1754"
"DID888","AID1754"
"DID1019","AID680"
"DID159","AID680"
"DID888","AID680"
"DID1019","AID741"
"DID159","AID741"
"DID888","AID741"
"DID1019","AID1916"
"DID159","AID1916"
"DID888","AID1916"
"DID1019","AID2534"
"DID159","AID2534"
"DID888","AID2534"
"DID1443","AID2453"
"DID1904","AID2453"
"DID73","AID2453"
"DID730","AID2453"
"DID122","AID1049"
"DID1244","AID1049"
"DID505","AID1049"
"DID923","AID1049"
"DID122","AID1529"
"DID1244","AID1529"
"DID505","AID1529"
"DID923","AID1529"
"DID122","AID1029"
"DID1244","AID1029"
"DID505","AID1029"
"DID923","AID1029"
"DID122","AID1102"
"DID1244","AID1102"
"DID505","AID1102"
"DID923","AID1102"
"DID1205","AID561"
"DID1713","AID561"
"DID598","AID561"
"DID951","AID561"
"DID1205","AID2864"
"DID1713","AID2864"
"DID598","AID2864"
"DID951","AID2864"
"DID1205","AID2910"
"DID1713","AID2910"
"DID598","AID2910"
"DID951","AID2910"
"DID1362","AID904"
"DID160","AID904"
"DID848","AID904"
"DID898","AID904"
"DID136","AID731"
"DID172","AID731"
"DID952","AID731"
"DID136","AID799"
"DID172","AID799"
"DID952","AID799"
"DID136","AID981"
"DID172","AID981"
"DID952","AID981"
"DID1285","AID820"
"DID1385","AID820"
"DID508","AID820"
"DID784","AID820"
"DID1285","AID1404"
"DID1385","AID1404"
"DID508","AID1404"
"DID784","AID1404"
"DID1285","AID1496"
"DID1385","AID1496"
"DID508","AID1496"
"DID784","AID1496"
"DID1285","AID2498"
"DID1385","AID2498"
"DID508","AID2498"
"DID784","AID2498"
"DID1285","AID1133"
"DID1385","AID1133"
"DID508","AID1133"
"DID784","AID1133"
"DID1285","AID1894"
"DID1385","AID1894"
"DID508","AID1894"
"DID784","AID1894"
"DID1285","AID2652"
"DID1385","AID2652"
"DID508","AID2652"
"DID784","AID2652"
"DID1285","AID2874"
"DID1385","AID2874"
"DID508","AID2874"
"DID784","AID2874"
"DID1166","AID511"
"DID344","AID511"
"DID423","AID511"
"DID847","AID511"
"DID1166","AID1704"
"DID344","AID1704"
"DID423","AID1704"
"DID847","AID1704"
"DID1166","AID2316"
"DID344","AID2316"
"DID423","AID2316"
"DID847","AID2316"
"DID1166","AID2697"
"DID344","AID2697"
"DID423","AID2697"
"DID847","AID2697"
"DID1108","AID1433"
"DID1283","AID1433"
"DID1290","AID1433"
"DID26","AID1433"
"DID1108","AID640"
"DID1283","AID640"
"DID1290","AID640"
"DID26","AID640"
"DID1108","AID820"
"DID1283","AID820"
"DID1290","AID820"
"DID26","AID820"
"DID1108","AID2498"
"DID1283","AID2498"
"DID1290","AID2498"
"DID26","AID2498"
"DID1108","AID2758"
"DID1283","AID2758"
"DID1290","AID2758"
"DID26","AID2758"
"DID679","AID956"
"DID823","AID956"
"DID1357","AID1115"
"DID629","AID1115"
"DID669","AID1115"
"DID1357","AID1524"
"DID629","AID1524"
"DID669","AID1524"
"DID1357","AID2176"
"DID629","AID2176"
"DID669","AID2176"
"DID1357","AID538"
"DID629","AID538"
"DID669","AID538"
"DID1205","AID926"
"DID1528","AID926"
"DID1205","AID833"
"DID1528","AID833"
"DID1205","AID2171"
"DID1528","AID2171"
"DID1205","AID2201"
"DID1528","AID2201"
"DID1205","AID2639"
"DID1528","AID2639"
"DID1205","AID2781"
"DID1528","AID2781"
"DID1205","AID1409"
"DID1528","AID1409"
"DID1205","AID1694"
"DID1528","AID1694"
"DID1205","AID2218"
"DID1528","AID2218"
"DID1232","AID1046"
"DID1435","AID1046"
"DID1998","AID1046"
"DID555","AID1046"
"DID1232","AID1600"
"DID1435","AID1600"
"DID1998","AID1600"
"DID555","AID1600"
"DID1232","AID2619"
"DID1435","AID2619"
"DID1998","AID2619"
"DID555","AID2619"
"DID142","AID287"
"DID1719","AID287"
"DID463","AID287"
"DID918","AID287"
"DID142","AID1887"
"DID1719","AID1887"
"DID463","AID1887"
"DID918","AID1887"
"DID142","AID1986"
"DID1719","AID1986"
"DID463","AID1986"
"DID918","AID1986"
"DID142","AID1069"
"DID1719","AID1069"
"DID463","AID1069"
"DID918","AID1069"
"DID142","AID1200"
"DID1719","AID1200"
"DID463","AID1200"
"DID918","AID1200"
"DID142","AID1589"
"DID1719","AID1589"
"DID463","AID1589"
"DID918","AID1589"
"DID142","AID2644"
"DID1719","AID2644"
"DID463","AID2644"
"DID918","AID2644"
"DID1318","AID967"
"DID1404","AID967"
"DID378","AID967"
"DID390","AID967"
"DID1318","AID1691"
"DID1404","AID1691"
"DID378","AID1691"
"DID390","AID1691"
"DID1318","AID2601"
"DID1404","AID2601"
"DID378","AID2601"
"DID390","AID2601"
"DID1318","AID358"
"DID1404","AID358"
"DID378","AID358"
"DID390","AID358"
"DID1318","AID1020"
"DID1404","AID1020"
"DID378","AID1020"
"DID390","AID1020"
"DID1318","AID1082"
"DID1404","AID1082"
"DID378","AID1082"
"DID390","AID1082"
"DID1318","AID2359"
"DID1404","AID2359"
"DID378","AID2359"
"DID390","AID2359"
"DID1318","AID846"
"DID1404","AID846"
"DID378","AID846"
"DID390","AID846"
"DID402","AID1968"
"DID954","AID1968"
"DID402","AID582"
"DID954","AID582"
"DID402","AID648"
"DID954","AID648"
"DID1253","AID1087"
"DID1544","AID1087"
"DID806","AID1087"
"DID809","AID1087"
"DID1253","AID2839"
"DID1544","AID2839"
"DID806","AID2839"
"DID809","AID2839"
