"DID","AID"
"DID1052","AID295"
"DID1094","AID295"
"DID447","AID295"
"DID1052","AID2371"
"DID1094","AID2371"
"DID447","AID2371"
"DID1052","AID1989"
"DID1094","AID1989"
"DID447","AID1989"
"DID1052","AID2291"
"DID1094","AID2291"
"DID447","AID2291"
"DID1052","AID2464"
"DID1094","AID2464"
"DID447","AID2464"
"DID1052","AID2606"
"DID1094","AID2606"
"DID447","AID2606"
"DID1715","AID2434"
"DID1946","AID2434"
"DID45","AID2434"
"DID504","AID2434"
"DID1715","AID2955"
"DID1946","AID2955"
"DID45","AID2955"
"DID504","AID2955"
"DID1715","AID2726"
"DID1946","AID2726"
"DID45","AID2726"
"DID504","AID2726"
"DID1715","AID2942"
"DID1946","AID2942"
"DID45","AID2942"
"DID504","AID2942"
"DID1528","AID226"
"DID42","AID226"
"DID1528","AID587"
"DID42","AID587"
"DID1528","AID1802"
"DID42","AID1802"
"DID1528","AID2878"
"DID42","AID2878"
"DID1528","AID112"
"DID42","AID112"
"DID1528","AID596"
"DID42","AID596"
"DID1528","AID1429"
"DID42","AID1429"
"DID1528","AID355"
"DID42","AID355"
"DID1528","AID1218"
"DID42","AID1218"
"DID1037","AID411"
"DID110","AID411"
"DID1037","AID1039"
"DID110","AID1039"
"DID1037","AID2010"
"DID110","AID2010"
"DID1037","AID2794"
"DID110","AID2794"
"DID1037","AID544"
"DID110","AID544"
"DID1037","AID1392"
"DID110","AID1392"
"DID1037","AID993"
"DID110","AID993"
"DID1037","AID1450"
"DID110","AID1450"
"DID1037","AID1643"
"DID110","AID1643"
"DID1037","AID1916"
"DID110","AID1916"
"DID1037","AID452"
"DID110","AID452"
"DID1037","AID1428"
"DID110","AID1428"
"DID1195","AID764"
"DID433","AID764"
"DID682","AID764"
"DID912","AID764"
"DID1195","AID1091"
"DID433","AID1091"
"DID682","AID1091"
"DID912","AID1091"
"DID1195","AID1337"
"DID433","AID1337"
"DID682","AID1337"
"DID912","AID1337"
"DID1195","AID1513"
"DID433","AID1513"
"DID682","AID1513"
"DID912","AID1513"
"DID1195","AID1624"
"DID433","AID1624"
"DID682","AID1624"
"DID912","AID1624"
"DID1195","AID1885"
"DID433","AID1885"
"DID682","AID1885"
"DID912","AID1885"
"DID1195","AID186"
"DID433","AID186"
"DID682","AID186"
"DID912","AID186"
"DID1195","AID1569"
"DID433","AID1569"
"DID682","AID1569"
"DID912","AID1569"
"DID1195","AID1973"
"DID433","AID1973"
"DID682","AID1973"
"DID912","AID1973"
"DID1195","AID2666"
"DID433","AID2666"
"DID682","AID2666"
"DID912","AID2666"
"DID1062","AID1534"
"DID1110","AID1534"
"DID272","AID1534"
"DID1062","AID2799"
"DID1110","AID2799"
"DID272","AID2799"
"DID1062","AID594"
"DID1110","AID594"
"DID272","AID594"
"DID1062","AID991"
"DID1110","AID991"
"DID272","AID991"
"DID1062","AID1408"
"DID1110","AID1408"
"DID272","AID1408"
"DID1062","AID2108"
"DID1110","AID2108"
"DID272","AID2108"
"DID1062","AID2474"
"DID1110","AID2474"
"DID272","AID2474"
"DID1062","AID2484"
"DID1110","AID2484"
"DID272","AID2484"
"DID1062","AID435"
"DID1110","AID435"
"DID272","AID435"
"DID1062","AID1118"
"DID1110","AID1118"
"DID272","AID1118"
"DID1062","AID2460"
"DID1110","AID2460"
"DID272","AID2460"
"DID153","AID1864"
"DID1615","AID1864"
"DID1763","AID1864"
"DID1885","AID1864"
"DID153","AID2021"
"DID1615","AID2021"
"DID1763","AID2021"
"DID1885","AID2021"
"DID1381","AID738"
"DID1867","AID738"
"DID351","AID738"
"DID921","AID738"
"DID1381","AID2441"
"DID1867","AID2441"
"DID351","AID2441"
"DID921","AID2441"
"DID1381","AID1368"
"DID1867","AID1368"
"DID351","AID1368"
"DID921","AID1368"
"DID1381","AID682"
"DID1867","AID682"
"DID351","AID682"
"DID921","AID682"
"DID1381","AID2570"
"DID1867","AID2570"
"DID351","AID2570"
"DID921","AID2570"
"DID1209","AID1400"
"DID317","AID1400"
"DID567","AID1400"
"DID746","AID1400"
"DID1209","AID1536"
"DID317","AID1536"
"DID567","AID1536"
"DID746","AID1536"
"DID1209","AID2588"
"DID317","AID2588"
"DID567","AID2588"
"DID746","AID2588"
"DID1209","AID494"
"DID317","AID494"
"DID567","AID494"
"DID746","AID494"
"DID1209","AID1596"
"DID317","AID1596"
"DID567","AID1596"
"DID746","AID1596"
"DID1209","AID2220"
"DID317","AID2220"
"DID567","AID2220"
"DID746","AID2220"
"DID1345","AID768"
"DID16","AID768"
"DID901","AID768"
"DID1345","AID2097"
"DID16","AID2097"
"DID901","AID2097"
"DID1345","AID2619"
"DID16","AID2619"
"DID901","AID2619"
"DID1106","AID2755"
"DID233","AID2755"
"DID656","AID2755"
"DID1106","AID200"
"DID233","AID200"
"DID656","AID200"
"DID1106","AID2068"
"DID233","AID2068"
"DID656","AID2068"
"DID1099","AID35"
"DID1140","AID35"
"DID1488","AID35"
"DID1560","AID35"
"DID1099","AID43"
"DID1140","AID43"
"DID1488","AID43"
"DID1560","AID43"
"DID1099","AID317"
"DID1140","AID317"
"DID1488","AID317"
"DID1560","AID317"
"DID1099","AID938"
"DID1140","AID938"
"DID1488","AID938"
"DID1560","AID938"
"DID1099","AID2201"
"DID1140","AID2201"
"DID1488","AID2201"
"DID1560","AID2201"
"DID1099","AID2280"
"DID1140","AID2280"
"DID1488","AID2280"
"DID1560","AID2280"
"DID1099","AID2672"
"DID1140","AID2672"
"DID1488","AID2672"
"DID1560","AID2672"
"DID1099","AID2736"
"DID1140","AID2736"
"DID1488","AID2736"
"DID1560","AID2736"
"DID1099","AID2411"
"DID1140","AID2411"
"DID1488","AID2411"
"DID1560","AID2411"
"DID1099","AID456"
"DID1140","AID456"
"DID1488","AID456"
"DID1560","AID456"
"DID1099","AID2635"
"DID1140","AID2635"
"DID1488","AID2635"
"DID1560","AID2635"
"DID1099","AID2823"
"DID1140","AID2823"
"DID1488","AID2823"
"DID1560","AID2823"
"DID1667","AID186"
"DID1945","AID186"
"DID851","AID186"
"DID914","AID186"
"DID1667","AID1569"
"DID1945","AID1569"
"DID851","AID1569"
"DID914","AID1569"
"DID1667","AID965"
"DID1945","AID965"
"DID851","AID965"
"DID914","AID965"
"DID1667","AID2111"
"DID1945","AID2111"
"DID851","AID2111"
"DID914","AID2111"
"DID1667","AID1610"
"DID1945","AID1610"
"DID851","AID1610"
"DID914","AID1610"
"DID1667","AID2403"
"DID1945","AID2403"
"DID851","AID2403"
"DID914","AID2403"
"DID1667","AID2889"
"DID1945","AID2889"
"DID851","AID2889"
"DID914","AID2889"
"DID1667","AID165"
"DID1945","AID165"
"DID851","AID165"
"DID914","AID165"
"DID1667","AID1072"
"DID1945","AID1072"
"DID851","AID1072"
