AID,BID
AID1,BID3507
AID2,BID3361
AID3,BID3733
AID4,BID67
AID5,BID4217
AID6,BID2169
AID7,BID149
AID8,BID4566
AID9,BID600
AID10,BID4210
AID11,BID3626
AID12,BID74
AID13,BID5124
AID14,BID17
AID15,BID5800
AID16,BID2529
AID17,BID2090
AID18,BID1031
AID19,BID965
AID20,BID4970
AID21,BID5105
AID22,BID1396
AID23,BID1615
AID24,BID5836
AID25,BID1899
AID26,BID5787
AID27,BID849
AID28,BID4149
AID29,BID1934
AID30,BID1032
AID31,BID497
AID32,BID2270
AID33,BID1781
AID34,BID1800
AID35,BID4625
AID36,BID1983
AID37,BID3918
AID38,BID1644
AID39,BID5616
AID40,BID5717
AID41,BID1082
AID42,BID4706
AID43,BID5132
AID44,BID1823
AID45,BID3070
AID46,BID1085
AID47,BID3704
AID48,BID978
AID49,BID1585
AID50,BID1486
AID51,BID5121
AID52,BID3979
AID53,BID3523
AID54,BID1986
AID55,BID5243
AID56,BID50
AID57,BID3707
AID58,BID3160
AID59,BID4163
AID60,BID2339
AID61,BID2121
AID62,BID3851
AID63,BID2651
AID64,BID4292
AID65,BID2428
AID66,BID946
AID67,BID3803
AID68,BID4162
AID69,BID739
AID70,BID5430
AID71,BID5695
AID72,BID2832
AID73,BID338
AID74,BID877
AID75,BID2274
AID76,BID111
AID77,BID4212
AID78,BID4027
AID79,BID5900
AID80,BID1733
AID81,BID3037
AID82,BID1444
AID83,BID1780
AID84,BID718
AID85,BID322
AID86,BID1494
AID87,BID3194
AID88,BID1914
AID89,BID5771
AID90,BID2125
AID91,BID5123
AID92,BID1098
AID93,BID5909
AID94,BID4752
AID95,BID3419
AID96,BID3541
AID97,BID3418
AID98,BID736
AID99,BID2691
AID100,BID1427
AID101,BID2002
AID102,BID955
AID103,BID3696
AID104,BID4652
AID105,BID2008
AID106,BID1803
AID107,BID2907
AID108,BID3343
AID109,BID5382
AID110,BID820
AID111,BID5304
AID112,BID350
AID113,BID127
AID114,BID3007
AID115,BID5556
AID116,BID4155
AID117,BID5473
AID118,BID1477
AID119,BID2380
AID120,BID369
AID121,BID2910
AID122,BID5246
AID123,BID637
AID124,BID1939
AID125,BID3838
AID126,BID1937
AID127,BID2650
AID128,BID5760
AID129,BID3914
AID130,BID1818
