CID,BID
CID1,BID1368
CID2,BID3598
CID3,BID2310
CID4,BID1840
CID4,BID2190
CID5,BID1058
CID6,BID1586
CID7,BID1790
CID8,BID1693
CID9,BID3602
CID10,BID2418
CID11,BID1238
CID12,BID3237
CID13,BID2268
CID14,BID1581
CID15,BID1914
CID16,BID3518
CID17,BID141
CID18,BID1438
CID19,BID2349
CID19,BID3891
CID19,BID789
CID20,BID1393
CID20,BID188
CID21,BID1854
CID22,BID3698
CID23,BID1773
CID23,BID2127
CID24,BID272
CID25,BID1478
CID25,BID3365
CID26,BID3779
CID27,BID1851
CID28,BID2888
CID29,BID2386
CID30,BID2304
CID31,BID2436
CID32,BID24
CID33,BID3090
CID34,BID2511
CID35,BID179
CID36,BID2988
CID37,BID2628
CID38,BID3299
CID39,BID1854
CID39,BID361
CID39,BID569
CID40,BID3988
CID41,BID1841
CID42,BID2085
CID43,BID1257
CID43,BID3292
CID44,BID1016
CID44,BID1265
CID44,BID334
CID45,BID1417
CID46,BID450
CID47,BID3064
CID48,BID637
CID49,BID2093
CID50,BID3061
CID51,BID2926
CID52,BID1874
CID53,BID3581
CID54,BID1027
CID54,BID3641
CID54,BID613
CID55,BID987
CID56,BID1317
CID57,BID2834
CID57,BID3969
CID58,BID1824
CID58,BID3532
CID59,BID2313
CID59,BID702
CID60,BID3705
CID61,BID2357
CID62,BID2421
CID63,BID3718
CID64,BID2471
CID64,BID2691
CID64,BID3468
CID65,BID1226
CID66,BID283
CID67,BID2750
CID68,BID1132
CID68,BID2689
CID69,BID1786
CID70,BID2286
CID71,BID336
CID72,BID407
CID73,BID934
CID74,BID2522
CID75,BID843
CID76,BID3851
CID77,BID3036
CID78,BID2760
CID79,BID345
CID79,BID553
CID80,BID2438
CID81,BID402
CID82,BID2310
CID83,BID641
CID84,BID1637
CID84,BID196
CID85,BID2638
CID86,BID1044
CID86,BID1663
CID86,BID9
CID87,BID2768
CID88,BID828
CID89,BID1836
CID90,BID1349
CID91,BID1076
CID92,BID2756
CID92,BID2851
CID93,BID204
CID94,BID3105
CID95,BID560
CID96,BID55
CID97,BID498
CID98,BID1618
CID99,BID1311
CID99,BID2430
CID99,BID2603
CID100,BID1297
CID101,BID136
CID102,BID2080
CID102,BID331
CID102,BID3877
CID103,BID1933
CID104,BID2250
CID105,BID3029
CID106,BID126
CID107,BID1651
CID108,BID1777
CID109,BID1313
CID109,BID2197
CID109,BID2286
CID110,BID1134
CID111,BID874
CID112,BID1650
CID113,BID1917
CID114,BID1072
CID115,BID2605
CID116,BID162
CID116,BID2102
CID116,BID2282
CID117,BID788
CID118,BID3631
CID119,BID2374
CID120,BID3623
CID121,BID3660
CID122,BID661
CID123,BID2162
CID124,BID837
CID125,BID1966
CID125,BID621
CID126,BID676
CID127,BID1029
CID128,BID3631
CID129,BID1782
CID130,BID480
CID131,BID3524
CID132,BID1251
CID132,BID1888
CID132,BID2545
CID133,BID1204
CID134,BID2459
CID135,BID1780
CID136,BID1413
CID137,BID3578
CID138,BID3593
CID139,BID3631
CID140,BID442
CID141,BID2541
CID142,BID3029
CID143,BID3353
CID143,BID3707
CID144,BID3866
CID145,BID3740
CID146,BID263
CID147,BID1830
CID147,BID449
CID147,BID84
CID148,BID3329
CID149,BID2179
CID150,BID2701
CID151,BID3807
CID152,BID2949
CID153,BID2705
CID154,BID1726
CID155,BID3752
CID156,BID3839
CID157,BID1695
CID158,BID2432
CID159,BID2534
CID160,BID1882
CID160,BID2559
CID160,BID340
CID161,BID85
CID162,BID918
CID163,BID1413
CID163,BID3696
CID163,BID605
CID164,BID2138
CID165,BID1685
CID166,BID494
CID167,BID1997
CID168,BID3185
CID169,BID716
CID170,BID2851
CID171,BID1327
CID171,BID485
CID172,BID2142
CID173,BID2843
CID174,BID1113
CID175,BID701
CID176,BID972
CID177,BID3141
CID178,BID2618
CID178,BID863
CID179,BID2035
CID180,BID674
CID181,BID1322
CID182,BID561
CID183,BID1797
CID184,BID1629
CID184,BID434
CID185,BID1052
CID186,BID1963
CID187,BID399
CID188,BID1869
