CID,DID
CID1,DID222
CID1,DID475
CID2,DID711
CID2,DID995
CID3,DID193
CID3,DID215
CID4,DID453
CID4,DID778
CID5,DID769
CID5,DID813
CID6,DID126
CID6,DID560
CID7,DID583
CID7,DID788
CID8,DID374
CID8,DID909
CID9,DID17
CID9,DID196
CID10,DID452
CID10,DID861
CID11,DID822
CID11,DID955
CID12,DID122
CID12,DID435
CID13,DID496
CID13,DID679
CID14,DID353
CID14,DID841
CID15,DID485
CID15,DID528
CID16,DID17
CID16,DID736
CID17,DID666
CID17,DID976
CID18,DID450
CID18,DID487
CID19,DID180
CID19,DID909
CID20,DID87
CID20,DID994
CID21,DID569
CID21,DID824
CID22,DID285
CID22,DID772
CID23,DID345
CID23,DID963
CID24,DID367
CID24,DID683
CID25,DID706
CID25,DID773
CID26,DID479
CID26,DID595
CID27,DID708
CID27,DID798
CID28,DID480
CID28,DID557
CID29,DID753
CID29,DID896
CID30,DID412
CID30,DID42
CID31,DID308
CID31,DID390
CID32,DID87
CID32,DID983
CID33,DID413
CID33,DID803
CID34,DID292
CID34,DID942
CID35,DID623
CID35,DID929
CID36,DID303
CID36,DID925
CID37,DID154
CID37,DID994
CID38,DID865
CID38,DID994
CID39,DID257
CID39,DID848
CID40,DID618
CID40,DID916
CID41,DID469
CID41,DID671
CID42,DID322
CID42,DID602
CID43,DID235
CID43,DID362
CID44,DID307
CID44,DID332
CID45,DID408
CID45,DID953
CID46,DID214
CID46,DID342
CID47,DID125
CID47,DID227
CID48,DID744
CID48,DID779
CID49,DID655
CID49,DID670
CID50,DID324
CID50,DID949
CID51,DID576
CID51,DID802
CID52,DID300
CID52,DID591
CID53,DID772
CID53,DID947
CID54,DID432
CID54,DID945
CID55,DID302
CID55,DID860
CID56,DID504
CID56,DID821
CID57,DID154
CID57,DID857
CID58,DID402
CID58,DID958
CID59,DID382
CID59,DID687
CID60,DID694
CID60,DID719
CID61,DID355
CID61,DID969
CID62,DID623
CID62,DID724
CID63,DID23
CID63,DID659
CID64,DID250
CID64,DID90
CID65,DID17
CID65,DID302
CID66,DID157
CID66,DID23
CID67,DID528
CID67,DID974
CID68,DID6
CID68,DID923
CID69,DID248
CID69,DID841
CID70,DID236
CID70,DID80
CID71,DID80
CID71,DID826
CID72,DID319
CID72,DID602
CID73,DID31
CID73,DID403
CID74,DID30
CID74,DID525
CID75,DID189
CID75,DID892
CID76,DID340
CID76,DID814
CID77,DID395
CID77,DID974
CID78,DID4
CID78,DID611
CID79,DID834
CID79,DID949
CID80,DID359
CID80,DID999
CID81,DID141
CID81,DID507
CID82,DID242
CID82,DID965
CID83,DID234
CID83,DID371
CID84,DID591
CID84,DID762
CID85,DID575
CID85,DID806
CID86,DID55
CID86,DID635
CID87,DID391
CID87,DID889
CID88,DID260
CID88,DID497
CID89,DID128
CID89,DID756
CID90,DID329
CID90,DID467
CID91,DID26
CID91,DID807
CID92,DID453
CID92,DID992
CID93,DID219
CID93,DID22
CID94,DID542
CID94,DID812
CID95,DID630
CID95,DID712
CID96,DID159
CID96,DID865
CID97,DID809
CID97,DID899
CID98,DID242
CID98,DID952
CID99,DID697
CID99,DID824
CID100,DID462
CID100,DID695
CID101,DID215
CID101,DID797
CID102,DID157
CID102,DID681
CID103,DID552
CID103,DID962
CID104,DID355
CID104,DID674
CID105,DID437
CID105,DID578
CID106,DID418
CID106,DID427
CID107,DID247
CID107,DID754
CID108,DID52
CID108,DID740
CID109,DID922
CID109,DID99
CID110,DID247
CID110,DID457
CID111,DID251
CID111,DID810
CID112,DID542
CID112,DID947
CID113,DID556
CID113,DID772
CID114,DID200
CID114,DID778
CID115,DID836
CID115,DID969
CID116,DID496
CID116,DID845
CID117,DID136
CID117,DID17
CID118,DID231
CID118,DID681
CID119,DID833
CID119,DID877
CID120,DID137
CID120,DID262
CID121,DID394
CID121,DID875
CID122,DID149
CID122,DID732
CID123,DID616
CID123,DID798
CID124,DID153
CID124,DID307
CID125,DID183
CID125,DID557
CID126,DID102
CID126,DID123
CID127,DID417
CID127,DID972
CID128,DID368
CID128,DID45
CID129,DID216
CID129,DID765
CID130,DID141
CID130,DID872
CID131,DID200
CID131,DID684
CID132,DID627
CID132,DID901
CID133,DID302
CID133,DID971
CID134,DID473
CID134,DID533
CID135,DID444
CID135,DID526
CID136,DID57
CID136,DID97
CID137,DID239
CID137,DID504
CID138,DID19
CID138,DID481
CID139,DID274
CID139,DID471
CID140,DID532
CID140,DID632
CID141,DID164
CID141,DID467
CID142,DID775
CID142,DID921
CID143,DID15
CID143,DID150
CID144,DID295
CID144,DID86
CID145,DID431
CID145,DID751
CID146,DID396
CID146,DID479
CID147,DID206
CID147,DID704
CID148,DID1
CID148,DID552
CID149,DID748
CID149,DID791
CID150,DID44
CID150,DID892
CID151,DID543
CID151,DID624
CID152,DID259
CID152,DID643
CID153,DID760
CID153,DID827
CID154,DID354
CID154,DID893
CID155,DID147
CID155,DID335
CID156,DID674
CID156,DID688
CID157,DID415
CID157,DID805
CID158,DID572
CID158,DID66
CID159,DID59
CID159,DID854
CID160,DID456
CID160,DID548
CID161,DID573
CID161,DID809
CID162,DID303
CID162,DID337
CID163,DID296
CID163,DID820
CID164,DID591
CID164,DID834
CID165,DID86
CID165,DID938
CID166,DID482
CID166,DID982
CID167,DID140
CID167,DID988
CID168,DID375
CID168,DID615
CID169,DID189
CID169,DID297
CID170,DID38
CID170,DID993
CID171,DID727
CID171,DID988
CID172,DID342
CID172,DID774
CID173,DID787
CID173,DID813
CID174,DID109
CID174,DID352
CID175,DID17
CID175,DID224
CID176,DID120
CID176,DID193
CID177,DID232
CID177,DID655
CID178,DID507
CID178,DID807
CID179,DID212
CID179,DID97
CID180,DID291
CID180,DID849
CID181,DID573
CID181,DID735
CID182,DID602
CID182,DID945
CID183,DID188
CID183,DID579
CID184,DID458
CID184,DID519
CID185,DID547
CID185,DID835
CID186,DID584
CID186,DID857
CID187,DID835
CID187,DID985
CID188,DID114
CID188,DID134
CID189,DID497
CID189,DID869
CID190,DID161
CID190,DID453
CID191,DID722
CID191,DID782
CID192,DID228
CID192,DID32
CID193,DID227
CID193,DID875
CID194,DID192
CID194,DID76
CID195,DID511
CID195,DID992
CID196,DID735
CID196,DID879
CID197,DID182
CID197,DID276
CID198,DID303
CID198,DID678
CID199,DID113
CID199,DID328
CID200,DID667
CID200,DID84
CID201,DID62
CID201,DID986
CID202,DID273
CID202,DID295
CID203,DID21
