CID,BID
CID1,BID2859
CID2,BID2751
CID3,BID1924
CID4,BID637
CID5,BID2709
CID6,BID2581
CID7,BID1482
CID8,BID1169
CID9,BID2512
CID10,BID1117
CID11,BID2719
CID12,BID1083
CID13,BID431
CID14,BID850
CID15,BID1098
CID16,BID2422
CID17,BID1347
CID18,BID821
CID19,BID3
CID20,BID2064
CID21,BID1650
CID22,BID1414
CID23,BID2585
CID24,BID2745
CID25,BID1728
CID26,BID2650
CID27,BID2443
CID28,BID2676
CID29,BID1265
CID30,BID2752
CID31,BID1344
CID32,BID216
CID33,BID683
CID34,BID2737
CID35,BID1349
CID36,BID2861
CID37,BID2823
CID38,BID2103
CID39,BID2737
CID40,BID2977
CID41,BID1360
CID42,BID1484
CID43,BID2393
CID44,BID2809
CID45,BID2246
CID46,BID2086
CID47,BID2573
CID48,BID1586
CID49,BID2857
CID50,BID201
CID51,BID1475
CID52,BID1609
CID53,BID1037
CID54,BID1223
CID55,BID2024
CID56,BID757
CID57,BID1178
CID58,BID1088
CID59,BID1594
CID60,BID775
CID61,BID767
CID62,BID520
CID63,BID1189
CID64,BID177
CID65,BID1004
CID66,BID1213
CID67,BID801
CID68,BID918
CID69,BID351
CID70,BID511
CID71,BID1373
CID72,BID820
CID73,BID1727
CID74,BID1197
CID75,BID2820
CID76,BID49
CID77,BID188
CID78,BID1654
CID79,BID1792
CID80,BID1027
CID81,BID9
CID82,BID457
CID83,BID767
CID84,BID1523
CID85,BID304
CID86,BID620
CID87,BID2157
CID88,BID1305
CID89,BID440
CID90,BID1163
CID91,BID1475
CID92,BID51
CID93,BID2213
CID94,BID2344
CID95,BID167
CID96,BID2836
CID97,BID1003
CID98,BID1642
CID99,BID2576
CID100,BID1816
CID101,BID744
CID102,BID2748
CID103,BID625
CID104,BID2099
CID105,BID213
CID106,BID639
CID107,BID621
CID108,BID2496
CID109,BID1928
CID110,BID2123
CID111,BID483
CID112,BID1158
CID113,BID920
CID114,BID1994
CID115,BID221
CID116,BID760
CID117,BID297
CID118,BID2787
CID119,BID588
CID120,BID2808
CID121,BID2656
CID122,BID2506
CID123,BID2233
CID124,BID201
CID125,BID883
CID126,BID1602
CID127,BID389
CID128,BID1912
CID129,BID2928
CID130,BID2596
CID131,BID1626
CID132,BID555
CID133,BID1881
CID134,BID793
CID135,BID317
CID136,BID2234
CID137,BID39
CID138,BID2230
CID139,BID1513
CID140,BID1501
CID141,BID2581
CID142,BID1042
CID143,BID401
CID144,BID48
CID145,BID1678
CID146,BID332
CID147,BID263
CID148,BID2052
CID149,BID2694
CID150,BID943
CID151,BID414
CID152,BID1994
CID153,BID1635
CID154,BID406
CID155,BID2020
CID156,BID648
CID157,BID326
CID158,BID1395
CID159,BID2082
CID160,BID1627
CID161,BID2368
CID162,BID2681
CID163,BID1523
CID164,BID2753
CID165,BID2522
CID166,BID2363
CID167,BID1966
CID168,BID90
