"AID","DID"
"AID728","DID1303"
"AID2383","DID1303"
"AID2724","DID1303"
"AID2841","DID1303"
"AID728","DID251"
"AID2383","DID251"
"AID2724","DID251"
"AID2841","DID251"
"AID728","DID717"
"AID2383","DID717"
"AID2724","DID717"
"AID2841","DID717"
"AID728","DID868"
"AID2383","DID868"
"AID2724","DID868"
"AID2841","DID868"
"AID104","DID637"
"AID2552","DID637"
"AID104","DID655"
"AID2552","DID655"
"AID330","DID1769"
"AID872","DID1769"
"AID1386","DID1769"
"AID2199","DID1769"
"AID2946","DID1769"
"AID330","DID1816"
"AID872","DID1816"
"AID1386","DID1816"
"AID2199","DID1816"
"AID2946","DID1816"
"AID330","DID880"
"AID872","DID880"
"AID1386","DID880"
"AID2199","DID880"
"AID2946","DID880"
"AID842","DID1642"
"AID1171","DID1642"
"AID842","DID180"
"AID1171","DID180"
"AID1045","DID1131"
"AID1045","DID703"
"AID1363","DID1466"
"AID1406","DID1466"
"AID2236","DID1466"
"AID1363","DID278"
"AID1406","DID278"
"AID2236","DID278"
"AID1363","DID573"
"AID1406","DID573"
"AID2236","DID573"
"AID1363","DID9"
"AID1406","DID9"
"AID2236","DID9"
"AID732","DID650"
"AID732","DID937"
"AID1700","DID1949"
"AID2422","DID1949"
"AID1700","DID328"
"AID2422","DID328"
"AID1700","DID380"
"AID2422","DID380"
"AID1700","DID982"
"AID2422","DID982"
"AID2510","DID1565"
"AID2906","DID1565"
"AID2510","DID50"
"AID2906","DID50"
"AID2911","DID1568"
"AID2911","DID1723"
"AID2911","DID79"
"AID2911","DID838"
"AID1738","DID1533"
"AID2379","DID1533"
"AID1738","DID1910"
"AID2379","DID1910"
"AID1738","DID481"
"AID2379","DID481"
"AID2168","DID1264"
"AID2168","DID1488"
"AID2168","DID866"
"AID996","DID1431"
"AID2167","DID1431"
"AID2434","DID1431"
"AID996","DID1771"
"AID2167","DID1771"
"AID2434","DID1771"
"AID539","DID1992"
"AID539","DID424"
"AID539","DID515"
"AID539","DID743"
"AID521","DID1451"
"AID2487","DID1451"
"AID521","DID24"
"AID2487","DID24"
"AID1630","DID1650"
"AID1630","DID254"
"AID1630","DID775"
"AID893","DID1477"
"AID1289","DID1477"
"AID2446","DID1477"
"AID2504","DID1477"
"AID893","DID1727"
"AID1289","DID1727"
"AID2446","DID1727"
"AID2504","DID1727"
"AID893","DID682"
"AID1289","DID682"
"AID2446","DID682"
"AID2504","DID682"
"AID689","DID353"
"AID1256","DID353"
"AID689","DID632"
"AID1256","DID632"
"AID758","DID1382"
"AID1925","DID1382"
"AID2441","DID1382"
"AID758","DID1787"
"AID1925","DID1787"
"AID2441","DID1787"
"AID758","DID385"
"AID1925","DID385"
"AID2441","DID385"
"AID462","DID1184"
"AID2406","DID1184"
"AID462","DID1240"
"AID2406","DID1240"
"AID462","DID1730"
"AID2406","DID1730"
"AID462","DID1891"
"AID2406","DID1891"
"AID443","DID1229"
"AID779","DID1229"
"AID443","DID1471"
"AID779","DID1471"
"AID443","DID1626"
"AID779","DID1626"
"AID3","DID1364"
"AID200","DID1364"
"AID1263","DID1364"
"AID1841","DID1364"
"AID2315","DID1364"
"AID2631","DID1364"
"AID3","DID1392"
"AID200","DID1392"
"AID1263","DID1392"
"AID1841","DID1392"
"AID2315","DID1392"
"AID2631","DID1392"
"AID3","DID1739"
"AID200","DID1739"
"AID1263","DID1739"
"AID1841","DID1739"
"AID2315","DID1739"
"AID2631","DID1739"
"AID3","DID407"
"AID200","DID407"
"AID1263","DID407"
"AID1841","DID407"
