CID,DID
CID1,DID382
CID1,DID855
CID2,DID21
CID2,DID620
CID3,DID39
CID3,DID584
CID4,DID281
CID4,DID786
CID5,DID235
CID5,DID324
CID6,DID620
CID6,DID83
CID7,DID129
CID7,DID681
CID8,DID111
CID8,DID394
CID9,DID173
CID9,DID355
CID10,DID17
CID10,DID221
CID11,DID151
CID11,DID995
CID12,DID503
CID12,DID589
CID13,DID81
CID13,DID874
CID14,DID299
CID14,DID846
CID15,DID770
CID15,DID841
CID16,DID613
CID16,DID99
CID17,DID536
CID17,DID816
CID18,DID20
CID18,DID236
CID19,DID822
CID19,DID904
CID20,DID345
CID20,DID536
CID21,DID219
CID21,DID882
CID22,DID268
CID22,DID32
CID23,DID158
CID23,DID916
CID24,DID703
CID24,DID962
CID25,DID28
CID25,DID571
CID26,DID261
CID26,DID418
CID27,DID315
CID27,DID741
CID28,DID211
CID28,DID35
CID29,DID374
CID29,DID391
CID30,DID460
CID30,DID470
CID31,DID564
CID31,DID92
CID32,DID215
CID32,DID997
CID33,DID196
CID33,DID207
CID34,DID326
CID34,DID999
CID35,DID108
CID35,DID593
CID36,DID154
CID36,DID852
CID37,DID525
CID37,DID624
CID38,DID506
CID38,DID614
CID39,DID326
CID39,DID669
CID40,DID427
CID40,DID779
CID41,DID355
CID41,DID524
CID42,DID397
CID42,DID937
CID43,DID526
CID43,DID922
CID44,DID67
CID44,DID779
CID45,DID67
CID45,DID927
CID46,DID395
CID46,DID651
CID47,DID320
CID47,DID667
CID48,DID394
CID48,DID817
CID49,DID665
CID49,DID797
CID50,DID152
CID50,DID54
CID51,DID196
CID51,DID269
CID52,DID633
CID52,DID659
CID53,DID811
CID53,DID981
CID54,DID512
CID54,DID710
CID55,DID26
CID55,DID987
CID56,DID336
CID56,DID521
CID57,DID253
CID57,DID799
CID58,DID166
CID58,DID937
CID59,DID265
CID59,DID704
CID60,DID348
CID60,DID812
CID61,DID301
CID61,DID562
CID62,DID434
CID62,DID855
CID63,DID106
CID63,DID767
CID64,DID240
CID64,DID515
CID65,DID330
CID65,DID693
CID66,DID188
CID66,DID823
CID67,DID565
CID67,DID585
CID68,DID249
CID68,DID295
CID69,DID154
CID69,DID494
CID70,DID304
CID70,DID343
CID71,DID587
CID71,DID845
CID72,DID637
CID72,DID79
CID73,DID100
CID73,DID820
CID74,DID559
CID74,DID850
CID75,DID235
CID75,DID910
CID76,DID424
CID76,DID761
CID77,DID129
CID77,DID263
CID78,DID647
CID78,DID931
CID79,DID341
CID79,DID654
CID80,DID299
CID80,DID660
CID81,DID362
CID81,DID648
CID82,DID385
CID82,DID967
CID83,DID270
CID83,DID526
CID84,DID229
CID84,DID878
CID85,DID225
CID85,DID266
CID86,DID877
CID86,DID947
CID87,DID320
CID87,DID418
CID88,DID396
CID88,DID556
CID89,DID514
CID89,DID985
CID90,DID666
CID90,DID765
CID91,DID269
CID91,DID399
CID92,DID370
CID92,DID514
CID93,DID364
CID93,DID547
CID94,DID298
CID94,DID511
CID95,DID647
CID95,DID682
CID96,DID301
CID96,DID96
CID97,DID237
CID97,DID511
CID98,DID681
CID98,DID788
CID99,DID156
CID99,DID461
CID100,DID476
CID100,DID744
CID101,DID320
CID101,DID486
CID102,DID404
CID102,DID776
CID103,DID729
CID103,DID962
CID104,DID222
CID104,DID299
CID105,DID707
CID105,DID900
CID106,DID319
CID106,DID325
CID107,DID104
CID107,DID995
CID108,DID216
CID108,DID525
CID109,DID10
CID109,DID69
CID110,DID119
CID110,DID545
CID111,DID325
CID111,DID382
CID112,DID178
CID112,DID410
CID113,DID19
CID113,DID927
CID114,DID371
CID114,DID906
CID115,DID174
CID115,DID367
CID116,DID289
CID116,DID4
CID117,DID691
CID117,DID936
CID118,DID156
CID118,DID736
CID119,DID375
CID119,DID650
CID120,DID414
CID120,DID679
CID121,DID659
CID121,DID726
CID122,DID287
CID122,DID988
CID123,DID348
CID123,DID773
CID124,DID521
CID124,DID544
CID125,DID18
CID125,DID632
CID126,DID140
CID126,DID829
CID127,DID280
CID127,DID315
CID128,DID301
CID128,DID487
CID129,DID136
CID129,DID725
CID130,DID139
CID130,DID391
CID131,DID182
CID131,DID975
CID132,DID158
CID132,DID457
CID133,DID537
CID133,DID889
CID134,DID416
CID134,DID872
CID135,DID11
CID135,DID314
CID136,DID624
CID136,DID659
CID137,DID47
CID137,DID64
CID138,DID870
CID138,DID971
CID139,DID305
CID139,DID569
CID140,DID603
CID140,DID900
CID141,DID350
CID141,DID67
CID142,DID802
CID142,DID960
CID143,DID29
CID143,DID812
CID144,DID698
CID144,DID899
CID145,DID266
CID145,DID304
CID146,DID352
CID146,DID394
CID147,DID32
CID147,DID723
CID148,DID442
CID148,DID868
CID149,DID3
CID149,DID490
CID150,DID327
CID150,DID965
CID151,DID129
CID151,DID142
CID152,DID322
CID152,DID610
CID153,DID273
CID153,DID433
CID154,DID128
CID154,DID159
CID155,DID646
CID155,DID936
CID156,DID267
CID156,DID753
CID157,DID105
CID157,DID812
CID158,DID506
CID158,DID744
CID159,DID268
CID159,DID894
CID160,DID757
CID160,DID832
CID161,DID799
CID161,DID84
CID162,DID331
CID162,DID700
CID163,DID329
CID163,DID400
CID164,DID596
CID164,DID708
CID165,DID182
CID165,DID982
CID166,DID779
CID166,DID827
CID167,DID480
CID167,DID493
CID168,DID11
CID168,DID260
CID169,DID562
CID169,DID654
CID170,DID296
CID170,DID934
CID171,DID280
CID171,DID400
CID172,DID30
CID172,DID393
CID173,DID132
CID173,DID768
CID174,DID412
CID174,DID618
CID175,DID306
CID175,DID629
CID176,DID274
CID176,DID372
CID177,DID348
CID177,DID950
CID178,DID312
CID178,DID500
CID179,DID780
CID179,DID817
CID180,DID181
CID180,DID655
CID181,DID356
CID181,DID37
CID182,DID494
CID182,DID959
CID183,DID504
CID183,DID796
CID184,DID15
CID184,DID711
CID185,DID298
CID185,DID436
CID186,DID306
CID186,DID429
CID187,DID413
CID187,DID47
CID188,DID694
CID188,DID912
CID189,DID250
CID189,DID317
CID190,DID580
CID190,DID67
CID191,DID469
CID191,DID556
CID192,DID341
CID192,DID572
CID193,DID105
CID193,DID447
CID194,DID292
CID194,DID76
CID195,DID281
CID195,DID882
CID196,DID295
CID196,DID539
CID197,DID211
CID197,DID764
CID198,DID880
CID198,DID964
CID199,DID899
CID199,DID972
