CID,BID
CID1,BID2014
CID1,BID3744
CID2,BID3516
CID2,BID5093
CID3,BID5169
CID3,BID626
CID4,BID1050
CID4,BID210
CID5,BID4272
CID5,BID486
CID6,BID2391
CID6,BID5991
CID7,BID5594
CID7,BID5607
CID8,BID226
CID8,BID5125
CID9,BID1313
CID9,BID3397
CID10,BID2616
CID10,BID644
CID11,BID3009
CID11,BID3532
CID12,BID3881
CID12,BID951
CID13,BID1371
CID13,BID3528
CID14,BID4617
CID14,BID5403
CID15,BID4905
CID15,BID5121
CID16,BID5860
CID16,BID5958
CID17,BID2763
CID17,BID4075
CID18,BID2217
CID18,BID4247
CID19,BID3400
CID19,BID3726
CID20,BID3216
CID20,BID576
CID21,BID2082
CID21,BID2124
CID22,BID3263
CID22,BID5030
CID23,BID662
CID23,BID75
CID24,BID1591
CID24,BID4970
CID25,BID3708
CID25,BID4981
CID26,BID1480
CID26,BID2644
CID27,BID1701
CID27,BID5227
CID28,BID1703
CID28,BID2899
CID29,BID5017
CID29,BID5631
CID30,BID1279
CID30,BID1384
CID31,BID1312
CID31,BID4059
CID32,BID1973
CID32,BID4846
CID33,BID1117
CID33,BID1748
CID34,BID3702
CID34,BID5260
CID35,BID1273
CID35,BID4313
CID36,BID2492
CID36,BID998
CID37,BID3220
CID37,BID5576
CID38,BID1604
CID38,BID784
CID39,BID4108
CID39,BID4422
CID40,BID4888
CID40,BID5058
CID41,BID1329
CID41,BID4135
CID42,BID5437
CID42,BID983
CID43,BID1201
CID43,BID831
CID44,BID1770
CID44,BID3936
CID45,BID3710
CID45,BID5750
CID46,BID1616
CID46,BID2214
CID47,BID2810
CID47,BID3072
CID48,BID1895
CID48,BID5422
CID49,BID289
CID49,BID655
CID50,BID1392
CID50,BID4370
CID51,BID3512
CID51,BID5948
CID52,BID3196
CID52,BID3728
CID53,BID1288
CID53,BID3986
CID54,BID2577
CID54,BID5928
CID55,BID5795
CID55,BID598
CID56,BID2388
CID56,BID2731
CID57,BID4131
CID57,BID5005
CID58,BID2736
CID58,BID4747
CID59,BID2803
CID59,BID3868
CID60,BID113
CID60,BID3153
CID61,BID1527
CID61,BID3048
CID62,BID3898
CID62,BID4933
CID63,BID5043
CID63,BID906
CID64,BID1808
CID64,BID3084
CID65,BID3589
CID65,BID5633
CID66,BID1139
CID66,BID4809
CID67,BID2797
CID67,BID41
CID68,BID1259
CID68,BID1807
CID69,BID4258
CID69,BID5414
CID70,BID4785
CID70,BID5764
CID71,BID2461
CID71,BID3273
CID72,BID1620
CID72,BID831
CID73,BID2402
CID73,BID3990
CID74,BID1856
CID74,BID3317
CID75,BID3127
CID75,BID4780
CID76,BID4685
CID76,BID5703
CID77,BID4397
CID77,BID5412
CID78,BID3156
CID78,BID5682
CID79,BID2569
CID79,BID5231
CID80,BID4188
CID80,BID486
CID81,BID3308
CID81,BID5808
CID82,BID1370
CID82,BID2455
CID83,BID2889
CID83,BID316
CID84,BID1277
CID84,BID353
CID85,BID3619
CID85,BID373
CID86,BID1714
CID86,BID2219
CID87,BID4521
CID87,BID5622
CID88,BID1051
CID88,BID850
CID89,BID3059
CID89,BID514
CID90,BID4521
CID90,BID5731
CID91,BID2986
CID91,BID5451
CID92,BID435
CID92,BID976
CID93,BID5029
CID93,BID5786
CID94,BID5309
CID94,BID5792
CID95,BID1174
CID95,BID5577
CID96,BID3802
CID96,BID3866
CID97,BID596
CID97,BID5970
CID98,BID1160
CID98,BID128
CID99,BID1939
CID99,BID3204
CID100,BID1501
CID100,BID273
CID101,BID2475
CID101,BID4534
CID102,BID3069
CID102,BID5924
CID103,BID1203
CID103,BID5568
CID104,BID1375
CID104,BID5877
CID105,BID1763
CID105,BID5674
CID106,BID2068
CID106,BID5276
CID107,BID2245
CID107,BID2485
CID108,BID3722
CID108,BID842
CID109,BID2229
CID109,BID4479
CID110,BID1819
CID110,BID3151
CID111,BID1501
CID111,BID840
CID112,BID1175
CID112,BID1424
CID113,BID1760
CID113,BID3231
CID114,BID4822
CID114,BID5017
CID115,BID2419
CID115,BID677
CID116,BID4231
CID116,BID5712
CID117,BID2027
CID117,BID460
CID118,BID1468
CID118,BID90
CID119,BID1137
CID119,BID1255
CID120,BID2009
CID120,BID2310
CID121,BID268
CID121,BID4914
CID122,BID2025
CID122,BID5657
CID123,BID4171
CID123,BID4919
CID124,BID2472
CID124,BID2582
CID125,BID3886
CID125,BID4203
CID126,BID1353
CID126,BID5423
CID127,BID4182
CID127,BID5264
CID128,BID4457
CID128,BID5375
CID129,BID194
CID129,BID5107
CID130,BID2631
CID130,BID5260
CID131,BID406
CID131,BID48
CID132,BID2612
CID132,BID3414
CID133,BID5168
CID133,BID5929
CID134,BID2032
CID134,BID2409
CID135,BID3318
CID135,BID4262
CID136,BID4626
CID136,BID691
CID137,BID2446
CID137,BID2567
CID138,BID1232
CID138,BID1238
CID139,BID1390
CID139,BID592
CID140,BID4078
CID140,BID779
CID141,BID3182
CID141,BID513
CID142,BID433
CID142,BID5424
CID143,BID1960
CID143,BID5082
CID144,BID2902
CID144,BID3469
CID145,BID1570
CID145,BID2850
CID146,BID2066
CID146,BID585
CID147,BID2012
CID147,BID3013
CID148,BID3211
CID148,BID5217
CID149,BID417
CID149,BID4974
CID150,BID1680
CID150,BID2949
CID151,BID4274
CID151,BID840
CID152,BID550
CID152,BID700
CID153,BID1092
CID153,BID5235
CID154,BID5820
CID154,BID5988
CID155,BID2
CID155,BID3916
CID156,BID3739
CID156,BID435
CID157,BID1279
CID157,BID4994
CID158,BID1419
CID158,BID3713
CID159,BID3926
CID159,BID5706
CID160,BID1303
CID160,BID321
CID161,BID1550
CID161,BID4310
CID162,BID5617
CID162,BID5959
CID163,BID1159
CID163,BID177
CID164,BID3883
CID164,BID4797
CID165,BID4097
CID165,BID4249
CID166,BID3250
CID166,BID4224
CID167,BID1913
CID167,BID5239
CID168,BID3640
CID168,BID543
CID169,BID118
CID169,BID3547
CID170,BID1283
CID170,BID1533
CID171,BID1496
CID171,BID2720
CID172,BID2753
CID172,BID5196
CID173,BID2306
CID173,BID5643
CID174,BID3887
CID174,BID5014
CID175,BID2791
CID175,BID4140
CID176,BID2657
CID176,BID4810
CID177,BID3642
CID177,BID5562
CID178,BID3433
CID178,BID5227
CID179,BID5224
CID179,BID5363
CID180,BID1010
CID180,BID5962
CID181,BID306
CID181,BID3480
CID182,BID103
CID182,BID2995
CID183,BID299
CID183,BID3416
CID184,BID2358
CID184,BID4276
CID185,BID3296
CID185,BID871
CID186,BID2849
CID186,BID4470
CID187,BID4424
CID187,BID5103
CID188,BID3226
CID188,BID432
CID189,BID340
CID189,BID4249
CID190,BID3251
CID190,BID4086
CID191,BID2376
CID191,BID3620
CID192,BID408
CID192,BID5206
CID193,BID3285
CID193,BID64
CID194,BID3473
CID194,BID5609
CID195,BID5701
CID195,BID5978
CID196,BID2190
CID196,BID3686
CID197,BID1329
CID197,BID2004
CID198,BID1766
CID198,BID3736
CID199,BID2177
CID199,BID3373
CID200,BID4367
CID200,BID4933
CID201,BID5170
