CID,BID
CID1,BID554
CID1,BID996
CID2,BID428
CID2,BID567
CID3,BID530
CID3,BID766
CID4,BID796
CID4,BID963
CID5,BID114
CID5,BID795
CID6,BID140
CID6,BID255
CID7,BID248
CID7,BID514
CID8,BID642
CID8,BID80
CID9,BID151
CID9,BID296
CID10,BID198
CID10,BID709
CID11,BID229
CID11,BID795
CID12,BID262
CID12,BID329
CID13,BID368
CID13,BID975
CID14,BID195
CID14,BID627
CID15,BID325
CID15,BID697
CID16,BID787
CID16,BID972
CID17,BID240
CID17,BID584
CID18,BID261
CID18,BID791
CID19,BID650
CID19,BID800
CID20,BID35
CID20,BID969
CID21,BID366
CID21,BID582
CID22,BID449
CID22,BID833
CID23,BID58
CID23,BID855
CID24,BID431
CID24,BID526
CID25,BID272
CID25,BID669
CID26,BID114
CID26,BID148
CID27,BID154
CID27,BID234
CID28,BID363
CID28,BID669
CID29,BID59
CID29,BID879
CID30,BID689
CID30,BID862
CID31,BID268
CID31,BID92
CID32,BID44
CID32,BID862
CID33,BID410
CID33,BID907
CID34,BID567
CID34,BID99
CID35,BID241
CID35,BID882
CID36,BID729
CID36,BID879
CID37,BID266
CID37,BID729
CID38,BID394
CID38,BID515
CID39,BID701
CID39,BID786
CID40,BID279
CID40,BID95
CID41,BID302
CID41,BID78
CID42,BID175
CID42,BID319
CID43,BID359
CID43,BID926
CID44,BID431
CID44,BID976
CID45,BID10
CID45,BID847
CID46,BID148
CID46,BID291
CID47,BID356
CID47,BID455
CID48,BID640
CID48,BID67
CID49,BID467
CID49,BID809
CID50,BID539
CID50,BID609
CID51,BID247
CID51,BID894
CID52,BID398
CID52,BID618
CID53,BID177
CID53,BID824
CID54,BID206
CID54,BID644
CID55,BID109
CID55,BID325
CID56,BID607
CID56,BID877
CID57,BID522
CID57,BID604
CID58,BID222
CID58,BID966
CID59,BID21
CID59,BID436
CID60,BID400
CID60,BID927
CID61,BID342
CID61,BID634
CID62,BID18
CID62,BID492
CID63,BID814
CID63,BID925
CID64,BID690
CID64,BID750
CID65,BID404
CID65,BID73
CID66,BID169
CID66,BID511
CID67,BID246
CID67,BID497
CID68,BID155
CID68,BID822
CID69,BID399
CID69,BID710
CID70,BID659
CID70,BID949
CID71,BID629
CID71,BID855
CID72,BID467
CID72,BID633
CID73,BID226
CID73,BID27
CID74,BID236
CID74,BID319
CID75,BID206
CID75,BID331
CID76,BID128
CID76,BID834
CID77,BID52
CID77,BID772
CID78,BID62
CID78,BID939
CID79,BID695
CID79,BID821
CID80,BID46
CID80,BID489
CID81,BID190
CID81,BID943
CID82,BID298
CID82,BID462
CID83,BID606
CID83,BID728
CID84,BID401
CID84,BID982
CID85,BID387
CID85,BID67
CID86,BID410
CID86,BID621
CID87,BID316
CID87,BID77
CID88,BID258
CID88,BID406
CID89,BID256
CID89,BID554
CID90,BID85
CID90,BID999
CID91,BID261
CID91,BID513
CID92,BID139
CID92,BID744
CID93,BID633
CID93,BID820
CID94,BID14
CID94,BID332
CID95,BID205
CID95,BID380
CID96,BID414
CID96,BID735
CID97,BID133
CID97,BID614
CID98,BID160
CID98,BID903
CID99,BID135
CID99,BID178
CID100,BID263
CID100,BID618
CID101,BID276
CID101,BID394
CID102,BID436
CID102,BID750
CID103,BID356
CID103,BID729
CID104,BID238
CID104,BID708
CID105,BID369
CID105,BID521
CID106,BID265
CID106,BID830
CID107,BID680
CID107,BID921
CID108,BID222
CID108,BID332
CID109,BID167
CID109,BID948
CID110,BID134
CID110,BID547
CID111,BID570
CID111,BID848
CID112,BID872
CID112,BID886
