AID,BID
AID1,BID1249
AID1,BID1794
AID1,BID360
AID2,BID1533
AID3,BID1947
AID3,BID228
AID4,BID1174
AID4,BID2736
AID5,BID103
AID5,BID642
AID6,BID132
AID6,BID1691
AID6,BID597
AID7,BID2327
AID7,BID2485
AID7,BID2910
AID8,BID1979
AID8,BID2284
AID9,BID958
AID9,BID975
AID10,BID1037
AID10,BID1199
AID10,BID158
AID11,BID2433
AID12,BID1020
AID12,BID2427
AID13,BID1266
AID14,BID1014
AID14,BID1180
AID14,BID421
AID15,BID2918
AID16,BID1163
AID16,BID1812
AID16,BID483
AID17,BID2085
AID17,BID313
AID18,BID1163
AID18,BID767
AID19,BID1164
AID19,BID1900
AID19,BID544
AID20,BID107
AID20,BID1084
AID20,BID738
AID21,BID2045
AID21,BID855
AID22,BID1501
AID22,BID1709
AID22,BID993
AID23,BID1577
AID23,BID1928
AID23,BID2583
AID24,BID2963
AID24,BID793
AID25,BID2528
AID25,BID642
AID26,BID1112
AID27,BID524
AID28,BID2221
AID28,BID2634
AID28,BID690
AID29,BID1741
AID30,BID1430
AID30,BID2425
AID31,BID1139
AID31,BID1502
AID31,BID1545
AID32,BID2083
AID32,BID508
AID33,BID2200
AID33,BID2484
AID34,BID2679
AID34,BID2939
AID34,BID620
AID35,BID1859
AID35,BID849
AID36,BID2846
AID36,BID749
AID37,BID1414
AID38,BID206
AID38,BID2855
AID39,BID2650
AID40,BID419
AID41,BID2172
AID42,BID2148
AID42,BID52
AID42,BID731
AID43,BID1087
AID43,BID2576
AID43,BID2663
AID44,BID1016
AID45,BID2135
AID45,BID2571
AID46,BID1463
AID47,BID2204
AID48,BID1453
AID48,BID203
AID48,BID409
AID49,BID2366
AID49,BID2869
AID50,BID1956
AID50,BID1963
AID50,BID2281
AID51,BID2002
AID51,BID212
AID52,BID1444
AID53,BID236
AID53,BID766
AID54,BID2343
AID54,BID2388
AID55,BID1559
AID55,BID2504
AID56,BID1922
AID56,BID2557
AID56,BID2836
AID57,BID2733
AID58,BID2245
AID58,BID2748
AID58,BID677
AID59,BID1013
AID59,BID151
AID59,BID2697
AID60,BID2944
AID61,BID339
AID61,BID974
AID62,BID1880
AID62,BID281
AID62,BID383
AID63,BID2023
AID63,BID2336
AID63,BID424
AID64,BID1623
AID64,BID2091
AID64,BID2531
AID65,BID1181
AID65,BID1287
AID65,BID602
AID66,BID1441
AID66,BID2498
AID67,BID1467
AID67,BID1754
AID67,BID2910
AID68,BID1440
AID69,BID1158
AID69,BID281
AID69,BID95
AID70,BID1154
AID70,BID1365
AID70,BID670
AID71,BID1145
AID71,BID1874
AID71,BID2970
