"AID","CID"
"AID1281","CID1"
"AID1950","CID1"
"AID1983","CID1"
"AID1125","CID1"
"AID477","CID2"
"AID281","CID2"
"AID800","CID2"
"AID1710","CID2"
"AID563","CID4"
"AID1233","CID4"
"AID1850","CID4"
"AID172","CID5"
"AID829","CID5"
"AID1740","CID5"
"AID1799","CID5"
"AID829","CID7"
"AID1536","CID7"
"AID918","CID7"
"AID1058","CID7"
"AID511","CID8"
"AID1677","CID8"
"AID286","CID8"
"AID972","CID8"
"AID1775","CID8"
"AID1119","CID9"
"AID1730","CID9"
"AID735","CID9"
"AID1990","CID9"
"AID443","CID10"
"AID1416","CID10"
"AID1459","CID10"
"AID1859","CID10"
"AID732","CID10"
"AID860","CID10"
"AID889","CID10"
"AID1522","CID10"
"AID96","CID11"
"AID847","CID11"
"AID1057","CID11"
"AID1287","CID11"
"AID1479","CID12"
"AID732","CID12"
"AID1723","CID12"
"AID114","CID13"
"AID1351","CID13"
"AID1825","CID13"
"AID1706","CID14"
"AID1990","CID14"
"AID557","CID15"
"AID1040","CID15"
"AID840","CID15"
"AID1152","CID16"
"AID233","CID17"
"AID473","CID17"
"AID1621","CID17"
"AID1867","CID17"
"AID544","CID18"
"AID501","CID18"
"AID611","CID18"
"AID1307","CID18"
"AID1789","CID19"
"AID855","CID19"
"AID1066","CID19"
"AID582","CID20"
"AID15","CID20"
"AID1300","CID20"
"AID1350","CID20"
"AID317","CID21"
"AID1404","CID21"
"AID1720","CID21"
"AID277","CID22"
"AID550","CID22"
"AID1378","CID22"
"AID1118","CID22"
"AID1132","CID23"
"AID1408","CID23"
"AID551","CID24"
"AID1497","CID24"
"AID502","CID24"
"AID1751","CID24"
"AID32","CID25"
"AID255","CID25"
"AID1628","CID25"
"AID1612","CID26"
"AID395","CID26"
"AID1216","CID26"
"AID1053","CID27"
"AID1410","CID27"
"AID1975","CID27"
"AID1242","CID27"
"AID1750","CID28"
"AID1846","CID28"
"AID253","CID29"
"AID290","CID29"
"AID430","CID29"
"AID877","CID29"
"AID1835","CID29"
"AID206","CID30"
"AID202","CID30"
"AID445","CID30"
"AID978","CID30"
"AID1419","CID30"
"AID1609","CID30"
"AID640","CID31"
"AID382","CID31"
"AID855","CID31"
"AID906","CID31"
"AID945","CID31"
"AID36","CID32"
"AID60","CID32"
"AID1660","CID32"
"AID127","CID32"
"AID510","CID32"
"AID857","CID32"
"AID1354","CID32"
"AID625","CID33"
"AID1259","CID33"
"AID1450","CID33"
"AID1672","CID33"
"AID403","CID34"
"AID1011","CID34"
"AID1244","CID34"
"AID855","CID34"
"AID1066","CID34"
"AID937","CID35"
"AID182","CID35"
"AID266","CID35"
"AID657","CID35"
"AID1370","CID35"
"AID21","CID36"
"AID1242","CID36"
"AID1668","CID37"
"AID1921","CID37"
"AID1423","CID37"
"AID480","CID38"
"AID970","CID38"
"AID875","CID39"
"AID930","CID39"
"AID1246","CID39"
"AID1540","CID39"
"AID983","CID39"
"AID1431","CID39"
"AID1973","CID40"
"AID264","CID40"
"AID1598","CID40"
"AID1599","CID40"
"AID711","CID41"
"AID1669","CID41"
"AID1603","CID42"
"AID173","CID43"
"AID876","CID43"
"AID1249","CID43"
"AID33","CID43"
"AID700","CID43"
"AID1514","CID43"
"AID1579","CID43"
"AID1684","CID44"
"AID1087","CID44"
"AID508","CID45"
"AID1526","CID46"
"AID1904","CID46"
"AID158","CID46"
"AID1170","CID46"
"AID948","CID47"
"AID1675","CID47"
"AID73","CID47"
"AID235","CID47"
"AID1448","CID47"
"AID1637","CID48"
"AID295","CID48"
"AID741","CID48"
"AID878","CID48"
"AID1456","CID48"
"AID549","CID49"
"AID563","CID49"
"AID943","CID49"
"AID1249","CID50"
"AID305","CID51"
"AID661","CID51"
"AID1773","CID52"
"AID1199","CID52"
"AID1501","CID52"
"AID1857","CID52"
"AID32","CID53"
"AID1838","CID53"
"AID828","CID54"
"AID251","CID54"
"AID598","CID54"
"AID673","CID55"
"AID1295","CID56"
"AID1427","CID56"
"AID810","CID56"
"AID867","CID56"
"AID1790","CID56"
"AID845","CID57"
"AID121","CID57"
"AID1654","CID57"
"AID335","CID58"
"AID1220","CID58"
"AID1280","CID58"
"AID476","CID58"
"AID1661","CID58"
"AID808","CID59"
"AID1270","CID59"
"AID1343","CID59"
"AID1203","CID59"
"AID1753","CID59"
"AID1910","CID59"
