AID,BID
AID1,BID1920
AID1,BID2730
AID1,BID665
AID2,BID3214
AID2,BID3884
AID2,BID445
AID3,BID178
AID3,BID2193
AID3,BID972
AID4,BID1312
AID4,BID3627
AID4,BID393
AID5,BID1586
AID5,BID1855
AID5,BID965
AID6,BID3411
AID6,BID811
AID6,BID830
AID7,BID1693
AID7,BID1710
AID7,BID308
AID8,BID1641
AID8,BID1654
AID8,BID3157
AID9,BID1236
AID9,BID2370
AID9,BID3041
AID10,BID3502
AID10,BID3961
AID10,BID73
AID11,BID2320
AID11,BID2935
AID11,BID3755
AID12,BID2201
AID12,BID2678
AID12,BID3292
AID13,BID1472
AID13,BID2360
AID13,BID3629
AID14,BID1490
AID14,BID2445
AID14,BID3729
AID15,BID2992
AID15,BID611
AID15,BID992
AID16,BID1817
AID16,BID2311
AID16,BID2652
AID17,BID1150
AID17,BID1289
AID17,BID77
AID18,BID1101
AID18,BID1439
AID18,BID380
AID19,BID1160
AID19,BID3574
AID19,BID3853
AID20,BID3373
AID20,BID3633
AID20,BID3836
AID21,BID2445
AID21,BID2707
AID21,BID840
AID22,BID1848
AID22,BID2040
AID22,BID260
AID23,BID1557
AID23,BID2494
AID23,BID975
AID24,BID1454
AID24,BID1801
AID24,BID3010
AID25,BID1997
AID25,BID2032
AID25,BID2661
AID26,BID1546
AID26,BID1990
AID26,BID938
AID27,BID1778
AID27,BID2174
AID27,BID377
AID28,BID1956
AID28,BID3788
AID28,BID552
AID29,BID1315
AID29,BID3042
AID29,BID3843
AID30,BID1306
AID30,BID3020
AID30,BID3746
AID31,BID1345
AID31,BID2015
AID31,BID2835
AID32,BID1658
AID32,BID896
AID32,BID935
AID33,BID2006
AID33,BID2622
AID33,BID98
AID34,BID1662
AID34,BID2007
AID34,BID332
AID35,BID1055
AID35,BID1754
AID35,BID912
AID36,BID2021
AID36,BID3539
AID36,BID3963
AID37,BID2564
AID37,BID3067
AID37,BID3730
AID38,BID227
AID38,BID2506
AID38,BID56
AID39,BID1143
AID39,BID3176
AID39,BID3976
AID40,BID1756
AID40,BID2106
AID40,BID2613
AID41,BID2853
AID41,BID287
AID41,BID3993
AID42,BID1500
AID42,BID633
AID42,BID707
AID43,BID1945
AID43,BID2126
AID43,BID2784
AID44,BID1409
AID44,BID1892
AID44,BID555
AID45,BID1470
AID45,BID2169
AID45,BID3621
AID46,BID2210
AID46,BID2501
AID46,BID3375
AID47,BID1047
AID47,BID107
AID47,BID914
AID48,BID1357
AID48,BID2794
AID48,BID3399
AID49,BID1913
AID49,BID747
AID49,BID939
AID50,BID2521
AID50,BID3638
AID50,BID58
AID51,BID291
AID51,BID3756
AID51,BID432
AID52,BID1666
AID52,BID189
AID52,BID508
AID53,BID1699
AID53,BID3639
AID53,BID640
AID54,BID3482
AID54,BID595
AID54,BID792
AID55,BID1072
AID55,BID1214
AID55,BID969
AID56,BID1682
AID56,BID1853
AID56,BID3728
AID57,BID1074
AID57,BID1863
AID57,BID2183
AID58,BID2764
AID58,BID3698
AID58,BID432
AID59,BID3077
AID59,BID3394
AID59,BID497
AID60,BID1321
AID60,BID2330
AID60,BID769
AID61,BID1869
AID61,BID2012
AID61,BID48
AID62,BID1532
AID62,BID2249
AID62,BID835
AID63,BID1093
AID63,BID2995
AID63,BID898
AID64,BID1157
AID64,BID2438
AID64,BID637
AID65,BID1054
AID65,BID1457
AID65,BID1637
AID66,BID1854
AID66,BID505
AID66,BID557
AID67,BID3056
AID67,BID3462
AID67,BID684
AID68,BID2004
AID68,BID501
AID68,BID922
AID69,BID2269
AID69,BID3710
AID69,BID77
AID70,BID1274
AID70,BID1501
AID70,BID3941
AID71,BID1057
AID71,BID3432
AID71,BID3663
AID72,BID1161
AID72,BID1170
AID72,BID3826
AID73,BID1986
AID73,BID3978
AID73,BID754
AID74,BID2940
AID74,BID3317
AID74,BID3827
AID75,BID1321
AID75,BID1412
AID75,BID1683
AID76,BID1796
AID76,BID2108
AID76,BID2638
AID77,BID1194
AID77,BID2462
AID77,BID3323
AID78,BID1222
AID78,BID2652
AID78,BID3903
AID79,BID3161
AID79,BID3527
AID79,BID395
AID80,BID1894
AID80,BID3782
AID80,BID814
AID81,BID1053
AID81,BID1506
AID81,BID265
AID82,BID2344
AID82,BID3410
AID82,BID562
AID83,BID1213
AID83,BID2543
AID83,BID3684
AID84,BID1063
AID84,BID1434
AID84,BID979
AID85,BID2527
AID85,BID3996
AID85,BID49
AID86,BID1460
AID86,BID2315
AID86,BID3161
AID87,BID1691
AID87,BID365
AID87,BID972
AID88,BID189
AID88,BID1920
AID88,BID3120
AID89,BID1758
AID89,BID2309
AID89,BID689
AID90,BID1903
AID90,BID2600
AID90,BID3873
AID91,BID2150
AID91,BID2484
AID91,BID789
AID92,BID2015
AID92,BID715
AID92,BID95
AID93,BID1513
AID93,BID2818
AID93,BID820
AID94,BID3453
AID94,BID3521
AID94,BID636
AID95,BID337
AID95,BID3745
AID95,BID82
AID96,BID1632
AID96,BID3681
AID96,BID3764
AID97,BID1218
AID97,BID1332
AID97,BID3937
AID98,BID1327
AID98,BID2297
AID98,BID3284
AID99,BID1816
AID99,BID270
AID99,BID3112
AID100,BID1336
AID100,BID1979
AID100,BID2901
AID101,BID1712
AID101,BID3452
AID101,BID3572
AID102,BID1833
AID102,BID2111
AID102,BID3264
AID103,BID2642
AID103,BID2701
AID103,BID3447
AID104,BID1581
AID104,BID1916
AID104,BID3581
AID105,BID1315
AID105,BID3646
AID105,BID3775
AID106,BID3167
AID106,BID3372
AID106,BID3508
AID107,BID2540
AID107,BID3231
AID107,BID3609
AID108,BID1067
AID108,BID3876
AID108,BID3997
AID109,BID1243
AID109,BID163
AID109,BID2839
AID110,BID2219
AID110,BID2509
AID110,BID3987
AID111,BID1307
AID111,BID3222
AID111,BID3392
AID112,BID1846
AID112,BID1891
AID112,BID2417
AID113,BID2291
AID113,BID2381
AID113,BID3592
AID114,BID3614
AID114,BID3692
AID114,BID3694
AID115,BID2176
AID115,BID464
AID115,BID517
AID116,BID1691
AID116,BID2071
AID116,BID3518
AID117,BID1899
AID117,BID217
AID117,BID3097
AID118,BID1044
AID118,BID1812
AID118,BID316
AID119,BID3085
AID119,BID336
AID119,BID719
AID120,BID16
AID120,BID352
AID120,BID466
AID121,BID1138
AID121,BID83
AID121,BID985
AID122,BID1183
AID122,BID661
AID122,BID810
AID123,BID1450
AID123,BID2446
AID123,BID3102
AID124,BID2623
AID124,BID2890
AID124,BID3537
AID125,BID2908
AID125,BID310
AID125,BID3343
AID126,BID2627
AID126,BID2964
AID126,BID761
AID127,BID1464
AID127,BID1967
AID127,BID905
AID128,BID2283
AID128,BID2440
AID128,BID451
AID129,BID1383
AID129,BID1471
AID129,BID3598
AID130,BID110
AID130,BID2430
AID130,BID723
AID131,BID2849
AID131,BID3070
AID131,BID63
AID132,BID255
AID132,BID3660
AID132,BID3820
AID133,BID3099
AID133,BID3457
AID133,BID466
AID134,BID1750
AID134,BID2784
AID134,BID3313
AID135,BID1378
AID135,BID63
AID135,BID800
AID136,BID20
AID136,BID224
AID136,BID3031
AID137,BID132
AID137,BID1340
AID137,BID2943
AID138,BID2521
AID138,BID3097
AID138,BID3660
AID139,BID2410
AID139,BID3253
AID139,BID326
AID140,BID1381
AID140,BID3314
AID140,BID603
AID141,BID1928
AID141,BID3042
AID141,BID3431
AID142,BID1289
AID142,BID2360
AID142,BID2564
